wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
coif17,1,antisymmetric,2.5783794874899073e-26,315.1149535068035,6837717.646837877,0.6049382716049383,315.1649454756792,223,raw,1.1344786594949948e-13,-2.338802485013521e-10,7.160941366910199,133310.23996402597,0.9351759734238978,1.1139294253631245e-05,0.9999999999999999,391.0000000000003,,,,[],[],14,382.5714285714285,39.99999999999994,914.9999999999997,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 564.9999999999999, 246.00000000000014, 327.0, 396.9999999999999, 581.9999999999999, 39.99999999999994, 52.999999999999986, 360.99999999999983, 914.9999999999997, 309.9999999999998, 489.99999999999966, 434.0000000000001, 85.99999999999997]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.1198156682027,3865.000000000001,85.1198156682027,,0.0,85.1198156682027,,,36.99999999999994,0.0,34.5,3.410605131648481e-13,2.2737367544323206e-13,,2.8421709430404007e-13,1.358019359470474e-13,1.9011935556745616e-26,0.9525382246715304,0.9980533841659334,0.001226748090986517,0.48646031652567634,0.005519014369192156,0.9999999957859232,0.9186295791447392,0.9186295791447392,0.9186295791415654,,2.494416668720997e-10,0.9999999999994479,1.484472626841203e-13,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930626747,0.5966483135103764,26,1.2679547332893661,0.7427613394275452,25,0,0.5346870330854429,0.6888186409079906,26,0,0.3491139554033507,0.7014149682320014,30,2.217355782608345,0.9976757276911862,26.75,26.621160409556314,0.9848179477030354,2,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,2.0,1
dmey,1,smooth,1.2850855261353835,58.13910155957704,245131614.35239127,0.5598591549295775,271.9778760992933,223,raw,0.6781915171641035,,4.587846771380298,3690616.0190206384,0.9982620219847808,1.1089954498874523e-05,0.9999837760316449,391.0011394130351,,,,[],[],14,383.0431541776324,39.812018164898745,912.7024802815624,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[549.3514665447535, 566.4230897192277, 246.20249327398724, 327.1438586263085, 398.08246374798296, 583.4578637145222, 39.812018164898745, 53.77573001323863, 361.1902621714241, 912.7024802815624, 311.30230315291305, 491.0253229551191, 434.26110920511917, 87.8736969157965]","[0, 23, 38, 53, 70, 27, 107, 112, 125, 27, 157, 186, 202, 213]","[23, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34476915.9629403,915.9803912747426,-915.9803912747426,0.0,,,,DWT,mdp.39015067403835,73831.96294029802,,0.0,39.0,17.0,0.0,34.5,,0.9803912747426011,85.59154127440661,3858.3958415131465,85.73976835301548,,0.0,85.59154127440661,,,36.812018164898745,0.0,21.0,2.29751971843757,0.9803912747426011,,0.001139413035105008,0.9999999999999999,1.0,0.0,0.23074462389823347,0.17032741286342115,0.20031423303999973,0.1961033363366628,0.0,0.9609559186442053,0.9609559186442053,0.9742558319184222,,0.9999999733596299,0.9711608799728902,1.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,1.0,3.8544307274283103,1.0,1,1.2591030461314923,0.737576066769964,34,0,0.7762377516099539,1.0,1,0,0.399641372305474,0.8029310662645229,9,15.628499608087784,0.9836179249391114,11.25,1.868702290076336,0.9859127360544613,1,dmey,512.2222222222222,456.0,290.94190905478786,9,0.8270073268373743,0.967125776242196,0.13095713834117917,6,2.25,2
coif14,1,smooth,2.1622741086979207e-26,315.8793144007476,827926969.0613365,0.545751633986928,268.4381238425746,223,raw,1.0919416840582354e-13,-2.379844099564838e-10,4.634699662399478,10913979.165171515,0.9994523498229874,1.1139294253631242e-05,1.0,391.0000000000003,,,,[],[],14,382.5714285714286,39.99999999999977,915.0,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000002, 246.00000000000009, 327.0, 397.00000000000017, 582.0000000000003, 39.99999999999977, 53.00000000000004, 361.00000000000006, 915.0, 309.9999999999999, 490.00000000000006, 434.0000000000001, 86.00000000000009]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,915.0,-915.0,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,0.0,85.11981566820282,3864.999999999999,85.11981566820283,,0.0,85.11981566820282,,,36.99999999999977,0.0,34.5,0.0,0.0,,2.8421709430404007e-13,1.295298174731049e-13,1.577397691251955e-26,0.9553714985508029,0.24471637362921472,0.5838968884985591,0.11076474398273684,0.5830983974975469,0.9999999957850161,0.9186295791447493,0.9186295791447493,0.9186295791415768,,2.494416668720997e-10,0.99999999999944,0.0,,,,,1.0,,0.0,0.0,0.7297297297297296,0.0,0.0,1.0,2.2997395930622413,0.5966483135102639,31,1.2650747867865209,0.7410742816282626,30,0,0.534687033085336,0.688818640907853,31,0,0.3539782717369986,0.7111880071891352,27,1.8929694486000912,0.9980157552949684,29.75,29.654561558901687,0.9834156344609014,3,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,2.75,3
coif16,1,smooth,2.6815044790101e-26,314.9446366141604,1196190950.3507104,0.5440251572327044,268.6170417143359,223,raw,1.2125427717197586e-13,-2.410784905038114e-10,4.797444416643921,15220810.027510779,0.999622662933251,1.1139294253631238e-05,1.0,391.0000000000002,,,,[],[],14,382.5714285714287,40.000000000000114,915.0000000000002,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000007, 246.00000000000009, 327.00000000000006, 397.0000000000002, 582.0, 40.000000000000114, 53.0, 361.00000000000006, 915.0000000000002, 310.0000000000002, 489.99999999999994, 434.0000000000002, 86.00000000000006]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[23, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.00000001,915.0000000000002,-915.0000000000002,0.0,,,,DWT,mdp.39015067403835,7.450580596923828e-09,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820293,3864.999999999998,85.1198156682029,,0.0,85.11981566820293,,,37.000000000000114,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.473125653561553e-13,1.9814411263014898e-26,0.9519069071787758,0.2932476152852015,0.8452283153992016,0.09980568804098217,0.8138388765870851,0.9999999957868304,0.9186295791447595,0.9186295791447595,0.9186295791415832,,1.9955333349767976e-10,0.999999999999436,9.896484178941353e-14,,,,,1.0,,1.0091267115501879e-13,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930380398,0.5966483135039851,32,1.5058399355007381,0.882113263266444,5,0,0.5346870330819512,0.6888186409034924,32,0,0.4291467717844849,0.8622112196870129,5,15.588457268119896,0.9836598980418031,18.5,8.648648648648647,0.9821339322494131,4,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,3.5,4
db37,1,smooth,1.7560906898474762e-26,316.78295247699884,1314098012.3614697,0.5675675675675675,302.3869444734654,223,raw,9.539753142895701e-14,-2.25665153230638e-10,4.494571335359473,17452248.539521836,0.9996473186963118,1.1139294253631245e-05,1.0,391.0000000000002,,,,[],[],14,382.57142857142856,40.0,914.9999999999997,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0000000000002, 245.9999999999999, 327.0, 397.00000000000017, 581.9999999999998, 40.0, 52.99999999999993, 361.0000000000001, 914.9999999999997, 310.00000000000006, 490.0, 434.0000000000001, 85.99999999999986]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820276,3865.0,85.11981566820278,,0.0,85.11981566820276,,,37.0,0.0,34.5,3.410605131648481e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.0918654182353855e-13,1.2613226825543213e-26,0.9587210343238168,0.20292945561763276,0.9288987863723652,0.24924447499964192,0.9333892392035119,0.9999999957862257,0.9186295791447442,0.9186295791447442,0.9186295791415717,,1.9955333349767976e-10,0.999999999999444,1.484472626841203e-13,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.299739593037824,0.5966483135039291,35,1.6142002272705833,0.9455901629874073,3,0,0.5346870330819019,0.6888186409034289,35,0,0.4675975700738684,0.9394638331767347,3,18.475208614068023,0.9806339532347296,19.0,5.526315789473684,0.9803589053385389,5,db,497.640350877193,466.0,290.00281504932576,342,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,5.0,5
coif17,1,symmetric,2.3034625232682393e-26,315.6046103734416,6837956.330870028,0.6049382716049383,315.80915849292944,223,raw,1.1073951919884438e-13,-2.344934246778523e-10,7.160691408841333,32486.986421104164,0.7266351050817035,1.1139294253631242e-05,0.9999999999999999,391.0000000000002,,,,[],[],14,382.5714285714286,39.99999999999994,914.9999999999998,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000005, 565.0000000000002, 246.00000000000023, 327.0, 396.9999999999999, 581.9999999999999, 39.99999999999994, 52.999999999999986, 360.99999999999983, 914.9999999999998, 309.99999999999994, 489.9999999999998, 434.0000000000001, 86.0]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820282,3864.999999999999,85.11981566820278,,0.0,85.11981566820282,,,36.99999999999994,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,2.2737367544323206e-13,1.3180845227449974e-13,1.6872646313885483e-26,0.9543532468960367,0.9979788455087562,0.001226917468503379,0.48646031652567634,0.00011736137434390669,0.9999999957859232,0.9186295791447493,0.9186295791447493,0.9186295791415717,,1.9955333349767976e-10,0.99999999999944,9.896484178941353e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.29973959303771,0.5966483135038995,37,1.2668459007862993,0.742111791069425,27,0,0.5346870330818771,0.6888186409033971,36,0,0.3485909553962069,0.7003641937564514,33,4.5,0.9952830188679245,33.25,32.747997764946916,0.9802148846960168,6,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,5.0,6
coif17,1,antireflect,2.5831231106344667e-26,315.1069708316163,6868222.91597409,0.5987654320987654,311.0443391505395,223,raw,1.1768463632598384e-13,-2.3239687951815013e-10,7.164482331094111,134938.95931861133,0.9348755782810892,1.1139294253631245e-05,0.9999999999999999,391.0000000000003,,,,[],[],14,382.57142857142856,39.99999999999994,914.9999999999998,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0, 246.00000000000014, 327.0, 396.9999999999999, 581.9999999999999, 39.99999999999994, 52.999999999999986, 360.99999999999983, 914.9999999999998, 309.9999999999998, 489.9999999999998, 434.00000000000034, 85.99999999999989]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820276,3865.0,85.11981566820273,,0.0,85.11981566820276,,,36.99999999999994,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,2.8421709430404007e-13,1.4204909514803653e-13,1.9048848455133203e-26,0.9525086351081792,0.9991093161331566,0.001248395566483423,0.44727734270217945,0.005606273770870937,0.9999999957859232,0.9186295791447442,0.9186295791447442,0.918629579141568,,2.494416668720997e-10,0.999999999999444,9.896484178941353e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930626516,0.5966483135103704,27,1.2528374835039904,0.7339057325164711,42,0,0.5346870330854399,0.6888186409079867,27,0,0.3436785661830017,0.6904945701834189,47,10.307764064044152,0.9891952158657819,35.75,33.56825696740671,0.9758607106582577,7,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,5.75,7
coif16,1,antireflect,2.934505635896633e-26,314.55307240193525,6709318.365531965,0.60062893081761,311.4577270286312,223,raw,1.2707423553873286e-13,-2.41337949624666e-10,7.13502220525864,130529.97731669067,0.9314663968339668,1.1139294253631238e-05,0.9999999999999999,391.00000000000034,,,,[],[],14,382.5714285714287,40.000000000000114,915.0000000000002,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000005, 565.0000000000007, 246.00000000000006, 327.0, 397.0000000000002, 582.0, 40.000000000000114, 53.0, 361.00000000000006, 915.0000000000002, 310.0000000000002, 490.0000000000001, 434.0, 86.00000000000006]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.00000001,915.0000000000002,-915.0000000000002,0.0,,,,DWT,mdp.39015067403835,7.450580596923828e-09,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820293,3864.999999999998,85.11981566820292,,0.0,85.11981566820293,,,37.000000000000114,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,3.410605131648481e-13,1.5589415067455277e-13,2.178316082669086e-26,0.9504554872234313,0.99032416976838,0.0011356320190882875,0.459106164988518,0.005370060496670575,0.9999999957868304,0.9186295791447595,0.9186295791447595,0.9186295791415845,,2.993300002465196e-10,0.999999999999436,9.896484178941353e-14,,,,,1.0,,1.0091267115501879e-13,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930879283,0.5966483135169283,21,1.2517936834219152,0.7332942798149653,44,0,0.5346870330890783,0.688818640912674,21,0,0.3437702163566064,0.6906787072040462,46,13.880441875771343,0.9854502705704703,33.0,28.63186257999326,0.9754295378009584,8,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,6.5,8
coif14,1,antireflect,2.1429456899601878e-26,315.9183102355373,6441290.917986883,0.6013071895424836,307.42583949404934,223,raw,1.0787384936487915e-13,-2.381685959562692e-10,7.07342471167366,122003.27477340089,0.92408651149513,1.1139294253631243e-05,1.0,391.00000000000034,,,,[],[],14,382.5714285714286,39.99999999999977,915.0,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000006, 564.9999999999998, 246.00000000000014, 326.9999999999999, 397.00000000000017, 582.0000000000003, 39.99999999999977, 53.00000000000004, 361.00000000000006, 915.0, 309.9999999999999, 490.0, 434.0000000000001, 86.00000000000014]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.00000001,915.0,-915.0,0.0,,,,DWT,mdp.39015067403835,7.450580596923828e-09,,0.0,39.0,17.0,0.0,34.5,,0.0,85.11981566820282,3864.999999999999,85.11981566820283,,0.0,85.11981566820282,,,36.99999999999977,0.0,34.5,0.0,0.0,,3.410605131648481e-13,1.2758299418273785e-13,1.5623571213096114e-26,0.955516045296961,0.9719555110644217,0.0009454315138141798,0.46341150839420736,0.004913238417332163,0.9999999957850161,0.9186295791447493,0.9186295791447493,0.9186295791415768,,2.993300002465196e-10,0.99999999999944,0.0,,,,,1.0,,1.0091267115501879e-13,0.0,0.7297297297297296,0.0,0.0,1.0,2.299739593087236,0.5966483135167486,22,1.2470899971919487,0.7305388846950203,46,0,0.5346870330889067,0.688818640912453,22,0,0.3423916763838377,0.687909042582393,48,14.45683229480096,0.9848460877412988,34.5,29.966687230104874,0.9743412828643601,9,coif,401.6470588235294,300.0,300.8315114764635,153,0.6484784260407086,1.0,0.24606510177150395,2,7.25,9
db37,1,periodic,1.6051501149923447e-26,317.17326533906504,6358625.090364645,0.6013513513513513,310.96505842541063,223,raw,9.014015244239123e-14,-2.2497348428629654e-10,7.019142113648622,32988.23544922707,0.7412117092172381,1.1139294253631243e-05,1.0,391.00000000000017,,,,[],[],14,382.57142857142856,40.0,914.9999999999998,"[11, 26, 47, 63, 76, 96, 108, 119, 132, 150, 171, 192, 205, 218]","[550.0000000000002, 565.0, 245.99999999999994, 326.99999999999983, 397.00000000000017, 581.9999999999998, 40.0, 52.99999999999993, 361.0000000000001, 914.9999999999998, 310.00000000000006, 489.9999999999998, 434.00000000000017, 85.99999999999989]","[0, 0, 38, 53, 70, 0, 107, 112, 125, 0, 157, 186, 202, 213]","[16, 27, 53, 70, 90, 125, 125, 125, 136, 222, 222, 222, 222, 222]",34403084.0,914.9999999999998,-914.9999999999998,0.0,,,,DWT,mdp.39015067403835,0.0,,0.0,39.0,17.0,0.0,34.5,,2.2737367544323206e-13,85.11981566820276,3865.0,85.11981566820275,,0.0,85.11981566820276,,,37.0,0.0,34.5,2.2737367544323206e-13,2.2737367544323206e-13,,1.7053025658242404e-13,1.014344852827107e-13,1.1438670177091553e-26,0.960167815871117,0.9557681881937192,0.0008867693046760383,0.46369183173634676,0.0001442160256151256,0.9999999957862257,0.9186295791447442,0.9186295791447442,0.9186295791415692,,1.496650001232598e-10,0.999999999999444,9.896484178941353e-14,,,,,1.0,,0.0,0.0,0.7297297297297296,2.319213576262481e-13,2.319213576262481e-13,1.0,2.2997395930128546,0.596648313497451,59,1.2399625873766829,0.7263636848065336,51,0,0.5346870330783348,0.6888186408988335,58,0,0.3400941173045109,0.6832929500323967,54,3.696845502136472,0.9961248998929387,55.5,55.3121104342008,0.9689743996320039,10,db,497.640350877193,466.0,290.00281504932576,342,0.8034641966915931,0.9640041152138912,0.14837382775171748,5,8.75,10
