signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
raw,cgau8,12.278925290212461,0.907608695652174,902.0182191474939,-16.57648815113042,48,23,7979.058760651337,-65409.59835521556,True,"[1, 5, 19, 23, 32, 37, 44]","[123.75161796650264, 844.5337089699933, 131.0810786222155, 11069.074842673333, 1110.604960903779, 1972.6672640064753, 2465.7148119918]",7,9.641581117936674,406255.3776546098,0.07668330875025806,8.54182998630745e-07,0.432648054943458,4,9823.636762724673,2926.841657169478,18541.115658055758,"[5, 17, 38, 43]","[6634.439356998868, 18541.115658055758, 2926.841657169478, 11192.150378674593]","[0, 11, 26, 26]","[11, 26, 40, 47]",0.05,10,4211874172.421469,15293.795109969304,-15293.795109969304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,9053.803429391339,,,17239.115658055758,,13987.795109969304,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,9053.803429391339,30056.54705089869,9053.80342939134,,,,13987.795109969304,,,,,,,2789.841657169478,,,,,,10.0,,,0.11816533870631428,0.8123339593440864,0.9999999999999999,0.1710863654511524,1.0,0.6786538102102337,0.12807482978935034,0.6541860863326401,0.8645813607445478,0.6510599835737491,0.6510599835737491,0.6452960998534152,0.646683843782964,0.32239006701995676,1.0,,0.6206896551724138,0.9310344827586208,0.10346762215485075,0.10346762215485075,0.6206896551724137,2.048833577414625,0.7178799548580277,8,2.0927590504768117,1.0,1,0,0,0.5967016979967942,0.7522441721635706,8,0,0.0,0.5703125487292221,1.0,1,4.041451884327381,0.7113248654051871,4.5,1.7777777777777777,0.6949481469883079,5,cgau,0.5,,,2,4.25,,0.285683986376987,0.021501787789410018,0.5712123366149067,1.0,2.3378778280209058e-07,1.0,0.5926400266958324,0.20806288603135512,0.2592615886602685,0.8645813607445477,0.6537371880819486,0.6570798904094536,0.6570798904094536,0.6466838437829641,0.36521196577176235,1.0,,0.5142857142857142,0.4354838709677419,0.2933463829720723,0.2933463829720723,0.2903225806451613,2.026071431514191,0.7250491874553578,7,1.758869051667737,0.9079864241825147,2,3.5355339059327378,0.8690542997802689,4.5,3.1111111111111116,0.8511938165568012,1,11.5,11.5,14.849242404917497,2,0.46938775510204084,0.84,0.4194285714285713,4,1.75,1
raw,cmor,14.484865426378297,0.8079710144927537,683.8907638615929,-16.881038931033846,48,23,8417.182197643613,-68400.32358812567,True,"[4, 17, 38, 44]","[970.7011610303034, 9846.346960727997, 1588.3513925698471, 1668.5270451308625]",4,9.634551114114782,189001.37406373938,0.06250493175271936,2.887966080026951e-06,0.39061753701290897,4,7796.917299403756,2144.785388597228,17695.52419599741,"[8, 17, 38, 43]","[2788.47594732547, 17695.52419599741, 2144.785388597228, 8558.883665694917]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4543179820.939948,15723.041809517052,-15723.041809517052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,7027.083966070423,,,16393.52419599741,,14417.041809517052,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,7027.083966070423,21949.669197615025,7027.083966070422,,,,14417.041809517052,,,,,,,2007.7853885972281,,,,,,10.0,,,0.14275781489923606,0.787172527965637,0.9877152090757857,0.4299566480075314,0.6333333333333334,0.6073401269052845,0.0,0.541656017862971,0.6210592343027711,0.4771258902782091,0.4771258902782091,0.46848891708242624,0.4705684016285562,0.29951614762809053,1.0,,0.6206896551724138,0.9310344827586208,0.11676139986560674,0.11676139986560674,0.6206896551724137,1.724197158984637,0.6041323181652163,9,1.9368985810314472,0.9255239300435215,3,0,0,0.518318422836077,0.653428696805128,9,0,0.0,0.5162414597562224,0.9051904274358303,3,3.4641016151377544,0.7525641703473033,6.0,4.5,0.6619963708879373,6,cmor,0.6,,,3,5.25,,0.3056047269991299,0.08511147298319013,0.5535194655426882,0.9935456514160388,5.875313978038717e-07,0.6333333333333333,0.5303647656691082,0.09173729463811707,0.21466460787296934,0.6210592343027711,0.48113758529130846,0.48614650493732603,0.4861465049373258,0.4705684016285562,0.34378357516066194,1.0,,0.5142857142857142,0.4354838709677419,0.3038246393467612,0.3038246393467612,0.2903225806451613,1.7040942676283108,0.6098265563953221,9,1.5341396593994383,0.791973673204309,9,0.0,1.0,9.0,9.0,0.8333333333333334,2,14.5,14.5,17.67766952966369,2,0.5918367346938775,1.0,0.2857142857142857,6,3.0,2
smoothed,gaus7,5891335.881199001,0.6847195357833655,213.91856615696335,-11.487395656398585,47,22,2189.601482029394,,False,"[6, 11, 16, 25, 33, 37, 43]","[1514.316687451017, 4069.173515901677, 4164.303176873141, 5615.197503134494, 539.5235263653179, 2402.6507337662338, 4410.565592428931]",7,8.863475483883978,50065.18918056337,0.11427961848837348,6.918320313634361e-07,0.23974506731136358,6,3896.0377824768243,334.88493708878866,9610.743955883732,"[6, 16, 29, 33, 37, 43]","[4106.768211683723, 9610.743955883732, 334.88493708878866, 648.490143312044, 3084.7766244986055, 5590.562822394053]","[0, 11, 25, 25, 25, 25]","[11, 25, 30, 34, 40, 46]",0.05,10,408534867.4303425,5935.5742264342525,-5935.5742264342525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,3552.462024901067,,,8381.410622550398,,4706.2408931009195,0.0,16.5,,,0.0,16.5,,,0.0,0.0,3.0,,5.0,,,,,3438.0007454397874,19253.893361527615,3438.0007454397874,,,,4706.2408931009195,,,,,,,331.21827042212203,,,,,,10.0,,,0.32841579196310305,0.7514865975008886,0.37596417417250416,0.9446337254122938,0.16250000000000003,0.03016291774127078,0.7769206924560047,,0.8191473093775876,1.0,1.0,1.0,1.0,0.9435535723794983,,,0.6666666666666666,0.8,0.763099308726813,0.763099308726813,0.8333333333333334,2.7360940358270844,1.0,1,1.5975490899607734,0.7374289824366387,10,0,0,0.8717181362918829,1.0,1,1,0.11111111111111112,0.4157049318502025,0.700470961435534,10,5.196152422706632,0.6002959674841053,5.5,1.8181818181818181,0.5886095222035911,7,gaus,0.5096153846153846,1.0,0.34326923076923077,1,5.5,0.0,0.0224470374884522,0.01642401228166531,0.8668630567097201,0.285609919345908,0.9447303622471471,0.17976789168278498,0.3068218997939946,0.017345874432616787,,0.09899809094573847,0.18523162605667656,0.18344346352164315,0.18344346352164306,0.4120048261172513,0.140746166464032,0.25,,0.7428571428571429,0.8548387096774193,0.06677619677753896,0.06677619677753896,0.8548387096774194,0.9291582954043077,0.33250825050961685,14,1.3485235561171534,0.6961524966760337,14,0.0,1.0,14.0,14.0,0.7407407407407407,4,14.5625,14.5,6.271297048192397,16,0.5943877551020408,0.3547581335689618,0.47750113135788286,3,3.75,3
raw,shan,10.821028012191611,0.8079710144927537,754.8706744562026,-14.305002154030166,48,23,5873.902536396555,-56218.86016798042,True,"[2, 6, 13, 15, 22, 32, 38, 44, 46]","[517.8685943930341, 513.9187802353317, 9355.938885659345, 52.07764536332979, 2229.1765627265904, 1277.6455231689852, 1861.2676405359828, 957.2668541073963, 97.06712115771006]",9,9.535537552131219,323925.45179043076,0.09217709409304994,7.629339800044169e-07,0.4888189891267539,6,6299.126030541208,430.5983481219961,19020.125479766164,"[5, 18, 30, 33, 38, 43]","[4717.957300362531, 19020.125479766164, 430.5983481219961, 879.4275906274925, 4563.854390398071, 8182.793073970997]","[0, 11, 25, 25, 25, 25]","[11, 25, 31, 36, 40, 47]",0.05,20,2566313265.8783145,11952.898617914341,-11952.898617914341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,5529.292697207875,,,17718.125479766164,,10646.898617914341,0.0,4.5,,,0.0,0.0,,,0.0,0.0,4.5,,6.0,,,,,5529.292697207875,28556.75618324725,5529.292697207875,,,,10646.898617914341,,,,,,,293.5983481219961,,,,,,0.0,,,0.0,1.0,0.8146909919563188,0.0,0.6333333333333334,0.7739597071756198,0.07953997626609097,1.0,0.08728373758875274,0.34858468316476426,0.34858468316476426,0.3378244322243957,0.6141020858515072,0.3353476624325745,0.5,,1.0,0.6896551724137931,0.0,0.0,0.9999999999999999,1.380373652226223,0.48366181913018963,10,2.002078702688177,0.9566694752709471,2,0,0,0.43844853807004597,0.5527390967112707,10,0,0.0,0.5376905010914204,0.9427997021799878,2,4.618802153517006,0.670085560463071,6.0,3.3333333333333335,0.6207570659458213,8,shan,0.8,,,7,7.75,,0.18996605035338068,0.01864783477831633,0.7031742672387207,0.9026398624900893,0.0,0.6333333333333333,0.6758666858143298,0.1639804886659768,0.39631168267990236,0.08728373758875273,0.3535825966766704,0.359822888398035,0.3598228883980349,0.6141020858515072,0.3773506994590424,0.5,,0.8285714285714286,0.3225806451612903,0.21179241877867538,0.21179241877867538,0.467741935483871,1.337260587955239,0.47855158886890853,11,1.6836055333252031,0.8691329047426025,6,3.5355339059327378,0.8690542997802689,8.5,7.764705882352941,0.777119742482727,3,3.0,3.0,,1,0.12244897959183673,,,7,4.0,4
raw,fbsp,10.977446314655957,0.8052536231884058,1227.5546144561324,-21.89612332334372,48,23,14941.226642350734,-82795.98105293057,True,"[1, 17, 30, 39, 45]","[982.8178507135963, 15790.566381990133, 355.32709883988264, 2168.1908059159923, 2055.9785719257634]",5,9.622991323737143,657078.2813770712,0.06366800131836728,7.392075419909154e-07,0.36897332641918923,5,10820.256177931291,190.4189222998666,31526.435773141216,"[8, 17, 30, 38, 43]","[4187.580556282825, 31526.435773141216, 190.4189222998666, 3584.760907994825, 14612.08472993772]","[0, 0, 26, 26, 26]","[11, 26, 31, 40, 47]",0.05,10,13606019751.178104,26235.202308410804,-26235.202308410804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,10050.422844597957,,,30224.435773141216,,24929.202308410804,0.0,-0.5,,,0.0,4.0,,,0.0,0.0,4.0,,7.0,,,,,10050.422844597957,44863.28088965645,10072.291762727988,,,,24929.202308410804,,,,,,,53.41892229986661,,,,,,10.0,,,0.5089614783906553,0.3728353792174012,0.9675147068406659,0.01835591523635538,0.6233333333333333,0.5706161354898879,0.27593908163540837,0.0,0.012494995583590407,0.736590367764492,0.736590367764492,0.7341471007745322,0.9683483025387126,0.673653270254083,0.75,,0.9655172413793104,0.9655172413793104,0.44232319237168616,0.44232319237168616,0.6551724137931033,2.2880148439456867,0.8016854131016752,5,1.4572804022696,0.696344092712238,6,0,0,0.6735564738312498,0.8491327136550639,4,0,0.0,0.41719450376796346,0.7315190673913133,9,2.160246899469287,0.8456966500379081,6.0,5.49618320610687,0.7085626107332397,4,fbsp,0.4,,,4,4.0,,0.6022421269121457,0.017905754038922788,0.2621682445818666,0.9829324400231154,2.5083171958761065e-08,0.6233333333333331,0.498295237840102,0.34236247143936654,0.0,0.012494995583590393,0.7386113496574447,0.7411347059631466,0.7429791290716382,0.9683483025387127,0.6942769151255552,0.75,,0.8,0.4516129032258064,0.5604349123560568,0.5604349123560568,0.3064516129032258,2.2125042407605284,0.7917659649374107,5,1.4204079606327047,0.7332616057075882,13,5.656854249492381,0.7904868796484303,9.0,7.222222222222221,0.7285767731575485,5,11.5,11.5,9.192388155425117,2,0.46938775510204084,0.5199999999999999,0.5154285714285713,2,4.25,5
smoothed,gaus5,5258320.987271211,0.6731141199226306,183.99552435845223,-11.055946162792488,47,22,2086.905720664833,,False,"[6, 11, 16, 25, 33, 37, 43]","[1276.5417978916057, 2872.5869297983836, 4316.736889764422, 5379.249669880448, 417.08574922321657, 2369.7389452308194, 4224.772406442054]",7,8.728851326593908,43755.36772845726,0.11849441287629121,7.939575997314246e-07,0.23528829274018997,6,3669.285887694778,312.9821426088689,8790.342248492201,"[6, 16, 29, 33, 37, 43]","[4254.408704150656, 8790.342248492201, 312.9821426088689, 635.0900250062863, 2797.4653105673588, 5225.426895343299]","[0, 11, 25, 25, 25, 25]","[11, 25, 30, 34, 40, 46]",0.05,10,369379200.2199801,5519.6103862795835,-5519.6103862795835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,3325.7101301190205,,,7561.008915158868,,4290.2770529462505,0.0,16.5,,,0.0,16.5,,,0.0,0.0,3.0,,5.0,,,,,3211.248850657741,17893.381992835337,3211.2488506577415,,,,4290.2770529462505,,,,,,,309.3154759422023,,,,,,10.0,,,0.2600991494979789,0.7982730152461982,0.2132621223985106,0.8429462419416538,0.08750000000000052,0.020923907798583885,0.6255976580693168,,0.6882986844339797,0.8957485895681736,0.8957485895681736,0.8957485895681738,0.8957485895681736,0.8041783705754104,,,0.6666666666666666,0.8,0.6470621691595091,0.6470621691595091,0.8333333333333334,2.434785017010479,0.8898762195775469,2,1.3796806035977391,0.6368608451485082,11,0,0,0.7881450683273729,0.9041283363450331,2,1,0.11111111111111112,0.35092564009821803,0.5913165846215092,11,5.196152422706632,0.6002959674841053,6.5,3.384615384615385,0.5501479837420526,9,gaus,0.5096153846153846,1.0,0.34326923076923077,1,7.0,0.0032474702779460712,0.017777632812954386,0.019618146067882054,0.8919281058518278,0.16200952580611705,0.843220365100447,0.13705996131528042,0.3002184408450537,0.013967369549529665,,0.09217784628929596,0.1659209677836874,0.16431922371501256,0.1643192237150125,0.3824488039852184,0.11995611709290165,0.25,,0.7428571428571429,0.8548387096774193,0.05662218565914731,0.05662218565914731,0.8548387096774194,0.8806098404425617,0.3151347180296094,15,1.2294888513125752,0.6347028419296226,15,0.0,1.0,15.0,15.0,0.7222222222222222,6,14.5625,14.5,6.271297048192397,16,0.5943877551020408,0.3547581335689618,0.47750113135788286,3,5.25,6
raw,morl,17.552043858252425,0.6766304347826086,611.6443226079025,-15.59231405068633,48,23,6103.5226642933885,,False,"[5, 11, 18, 26, 31, 38, 43]","[3253.48298387758, 7333.45858706028, 14693.942946737398, 16025.060682351072, 123.70798429671231, 4466.684247677549, 11190.667822140975]",7,9.160193837457546,345049.3353090415,0.08381857957218136,2.1613981825591044e-07,0.622041536894418,5,10401.93635033785,123.70798429671231,25366.982697668118,"[5, 18, 30, 38, 43]","[7399.832035656546, 25366.982697668118, 123.70798429671231, 4466.684247677549, 14652.474786390325]","[0, 11, 26, 26, 26]","[11, 26, 31, 40, 47]",0.05,10,3208571421.97448,16747.490914935483,-16747.490914935483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,9632.103017004516,,,24064.982697668118,,15441.490914935483,0.0,4.0,,,0.0,4.0,,,0.0,0.0,4.0,,7.0,,,,,9632.103017004516,42771.68175168925,9671.753156619165,,,,15441.490914935483,,,,,,,13.292015703287689,,,,,,10.0,,,0.01288889626057163,0.8936446330538157,0.1587853656855884,0.7898944968605595,0.1499999999999997,1.0,0.09199285511490138,,0.0,0.7006899477819507,0.7006899477819507,0.6992048683547183,0.9229099829217878,0.5070351816520576,0.75,,0.9655172413793104,0.9655172413793104,0.14848860638289424,0.14848860638289424,0.9655172413793103,2.09075035056739,0.7325669511814052,7,1.511190522029495,0.7221044016917223,4,0,0,0.6228382387830155,0.7851937356606332,7,1,0.125,0.43620803528220514,0.764857859526622,6,1.4142135623730951,0.8989847455447789,6.0,5.694915254237289,0.7352066584866752,2,morl,0.2,,,6,3.0,,0.20040649389791707,0.0015460087218512955,0.6283879100194323,0.5580313480880826,1.0793828168693443e-06,0.14999999999999963,0.8732582323707047,0.17529097409874114,,0.0,0.7029863717615058,0.7058536393751256,0.7091977295274295,0.9229099829217879,0.5381883399988664,0.75,,0.8,0.4516129032258064,0.3288322640546618,0.3288322640546618,0.4516129032258065,2.0129772602491522,0.7203633120768069,8,1.196054393120818,0.6174428679086866,16,5.656854249492381,0.7904868796484303,12.0,10.666666666666666,0.673021217601993,7,9.0,9.0,2.8284271247461903,2,0.3673469387755102,0.16,0.6948571428571428,1,5.5,7
smoothed,gaus1,3434807.6542504057,0.7079303675048356,166.09426078257928,-10.15127818766965,47,22,1905.5846752050509,,False,"[6, 11, 17, 25, 29, 33, 37, 43]","[1841.0757602275166, 186.41484092189103, 5505.470098118064, 1174.3374508805887, 340.2873060855668, 364.99839797388154, 2133.00947748839, 2957.6751922594635]",8,8.742160451347758,22748.523366748643,0.16823035129206645,2.025123070222472e-06,0.22519488004935026,6,2882.9214557948867,340.2873060855668,7408.835027281867,"[6, 17, 29, 33, 37, 43]","[3018.0886213583076, 7408.835027281867, 340.2873060855668, 364.99839797388154, 2133.00947748839, 4032.3099045813083]","[0, 0, 25, 25, 25, 25]","[11, 25, 31, 35, 40, 46]",0.05,10,301315835.74631286,5817.194073228194,-5817.194073228194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,2539.345698219129,,,6179.501693948534,,4587.860739894861,0.0,21.0,,,0.0,21.0,,,0.0,0.0,7.5,,5.0,,,,,2424.8844187578497,13175.195401435987,2424.8844187578497,,,,4587.860739894861,,,,,,,336.62063941890017,,,,,,10.0,,,0.13947834811840848,0.896375283141182,0.229347065460413,0.5500171439239423,0.3125000000000005,0.0,0.12180853252415558,,0.8514213899892862,0.5342098195491435,0.5342098195491435,0.5342098195491435,0.5342098195491434,0.5694788983349133,,,1.0,1.0,0.7300760191195659,0.7300760191195659,1.0,1.9800900211808696,0.7236922398328006,7,1.1557933075865845,0.5335144241117373,12,0,0,0.7288992367963552,0.8361639002911524,3,1,0.11111111111111112,0.28093487257567074,0.473380768945894,12,4.358898943540674,0.664700081266102,8.5,6.222222222222221,0.5054269637099741,11,gaus,0.5096153846153846,1.0,0.34326923076923077,1,8.5,0.04239705188170834,0.009533267844175575,0.05812473446256207,0.9444847725991232,0.17422882649003163,0.5508025483831247,0.2651837524177949,0.28526335723149615,0.002719551082242505,,0.10068031822117525,0.09895255353053162,0.09799729954536687,0.0979972995453668,0.2799499711731855,0.08494692211346115,0.25,,1.0,0.9999999999999999,0.06388644224646176,0.06388644224646176,1.0,0.8266912647946403,0.2958394361090411,17,1.1707706159806868,0.6043905452394535,18,0.7071067811865476,0.9738108599560538,17.5,17.485714285714288,0.6628313559039528,8,14.5625,14.5,6.271297048192397,16,0.5943877551020408,0.3547581335689618,0.47750113135788286,3,6.75,8
raw,gaus8,17.690986343423408,0.6829710144927537,679.6017156870585,-16.922927155924892,48,23,7200.984708283733,,False,"[6, 11, 17, 26, 38, 43]","[4127.478325195869, 3639.9462858974016, 16846.664700488236, 18477.155455767952, 3288.976970249454, 13439.445450185063]",6,9.207245172819533,394272.9014228688,0.07569011659370213,2.5042006906688334e-07,0.5676926264197897,4,13030.754343825736,3288.976970249454,23611.67941604466,"[6, 17, 38, 43]","[10032.69322467891, 23611.67941604466, 3288.976970249454, 15189.667764329926]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4318051872.879735,19234.961780677877,-19234.961780677877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,12260.921010492402,,,22309.67941604466,,17928.961780677877,0.0,-5.5,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,12260.921010492402,42885.017375302945,12260.921010492404,,,,17928.961780677877,,,,,,,3151.976970249454,,,,,,10.0,,,0.07449096296293717,0.7837117990307273,0.24100663217012033,0.8061995995265885,0.17333333333333334,0.9077855524892398,0.12101096178936079,,0.9773455761147454,0.9262964426182394,0.9262964426182394,0.9250789877133125,0.9253721087642892,0.45955283636631167,1.0,,0.6206896551724138,0.9310344827586208,0.22552562212699034,0.22552562212699034,0.31034482758620685,2.526419335445802,0.8852187012528869,2,1.4970294232004453,0.7153376891904321,5,0,0,0.7044218836638633,0.8880438224150533,2,1,0.125,0.4376841201860439,0.7674460629724831,5,1.7320508075688772,0.8762820851736516,3.5,2.857142857142857,0.8131410425868257,1,gaus,0.875,1.0,0.0875,1,1.0,,0.2503062592952287,0.0026181761434392672,0.5510859700097712,0.6012298622654727,1.1016635742552373e-06,0.17333333333333328,0.792731206938417,0.20164703817136537,,0.9773455761147454,0.9268619251848815,0.9275679750536487,0.9275679750536489,0.9253721087642893,0.49370666528089446,1.0,,0.5142857142857142,0.4354838709677419,0.3895534238988249,0.3895534238988249,0.14516129032258066,2.517173008594061,0.9007946196653626,2,1.174229025979233,0.6061758909563273,17,10.606601717798213,0.6071628993408069,9.5,3.5789473684210527,0.6276555237444775,9,14.5625,14.5,6.271297048192397,16,0.5943877551020408,0.3547581335689618,0.47750113135788286,3,7.5,9
raw,gaus4,17.69440868505425,0.6693840579710145,647.7485409031434,-17.174034899260285,48,23,7542.482057614678,,False,"[8, 17, 26, 38, 43]","[5161.55698083847, 22074.853575712612, 10371.283091533423, 3361.730253366798, 11355.905230671924]",5,9.166971518635176,332762.24061254895,0.07738643165349052,3.260234418518085e-07,0.6212653368267247,4,13889.564893450364,3361.730253366798,31937.179679945817,"[8, 17, 38, 43]","[5161.55698083847, 31937.179679945817, 3361.730253366798, 15097.792659650375]","[0, 0, 26, 26]","[11, 26, 40, 47]",0.05,10,4736716048.936537,22633.662534181796,-22633.662534181796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWT,mdp.39015083020449,,,13119.73156011703,,,30635.179679945817,,21327.662534181796,0.0,-1.0,,,0.0,3.5,,,0.0,0.0,-1.0,,8.0,,,,,13119.73156011703,46320.25957380146,13119.73156011703,,,,21327.662534181796,,,,,,,3224.730253366798,,,,,,10.0,,,0.09365968283563185,0.7629657341067292,0.1706292278409501,0.8066012162932702,0.12333333333333331,0.9986830120461464,0.0847494094897408,,0.9999999999999999,1.0,1.0,0.9999999999999998,0.9999999999999999,0.6847642185506497,1.0,,0.6206896551724138,0.9310344827586208,0.3307834432589013,0.3307834432589013,0.6206896551724137,2.854005831406471,1.0,1,1.4571988693295252,0.696305133167394,7,0,0,0.7932287415143248,1.0,1,1,0.125,0.428124516563686,0.7506840196969866,7,3.4641016151377544,0.7525641703473033,4.0,1.75,0.7334249423165088,3,gaus,0.875,1.0,0.0875,1,2.5,,0.26583357316337725,0.004982787584269824,0.5364978710087519,0.5642540355886418,1.1022123794927037e-06,0.12333333333333327,0.8721081617980689,0.1687120225790911,,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.7046857014852395,1.0,,0.5142857142857142,0.4354838709677419,0.4725184364978353,0.4725184364978353,0.2903225806451613,2.7943916999961314,1.0,1,1.1509326068142534,0.5941495082567113,19,12.727922061357855,0.5285954792089683,10.0,1.9000000000000001,0.579112554419299,12,14.5625,14.5,6.271297048192397,16,0.5943877551020408,0.3547581335689618,0.47750113135788286,3,9.75,10
