issue_number,dates,page_number,type_of_page,original_volumes,volumes,notes,start_issue,end_issue,link,htid,original_source,record_url,periodical_name,publication_type,id,metadata_schema_version,enumeration_chronology,type_of_resource,title,date_created,pub_date,language,access_profile,isbn,issn,lccn,oclc,page_count,feature_schema_version,access_rights,alternate_title,category,genre_ld,genre,contributor_ld,contributor,handle_url,source_institution_ld,source_institution,lcc,type,is_part_of,last_rights_update_date,pub_place_ld,pub_place,main_entity_of_page,publisher_ld,publisher,lowercase_periodical_name,publication_directory,volume_directory
12-Nov,November-December 1961,135,toc,"v.3,no.7-12 1961",3.0,,1961-11-01,1961-12-01,https://hdl.handle.net/2027/inu.32000013032885,inu.32000013032885,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032885,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,"v.3,no.7-12 1961",http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1961.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,208.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032885,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20181113.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032885
12-Nov,November-December 1961,204,end_of_issue,"v.3,no.7-12 1961",3.0,,1961-11-01,1961-12-01,https://hdl.handle.net/2027/inu.32000013032885,inu.32000013032885,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032885,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,"v.3,no.7-12 1961",http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1961.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,208.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032885,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20181113.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032885
2-Jan,January-February 1962,1,scanner_page,v.4 1962,4.0,,1962-01-01,1962-02-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
2-Jan,January-February 1962,7,cover_page,v.4 1962,4.0,,1962-01-01,1962-02-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
2-Jan,January-February 1962,9,toc,v.4 1962,4.0,,1962-01-01,1962-02-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
4-Mar,March-April 1962,127,cover_page,v.4 1962,4.0,,1962-03-01,1962-04-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
4-Mar,March-April 1962,129,toc,v.4 1962,4.0,,1962-03-01,1962-04-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
8-May,May-August 1962,187,cover_page,v.4 1962,4.0,,1962-05-01,1962-08-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
8-May,May-August 1962,189,toc,v.4 1962,4.0,,1962-05-01,1962-08-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
12-Sep,September-December 1962,263,cover_page,v.4 1962,4.0,,1962-09-01,1962-12-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
12-Sep,September-December 1962,265,toc,v.4 1962,4.0,,1962-09-01,1962-12-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
12-Sep,September-December 1962,342,end_of_issue,v.4 1962,4.0,,1962-09-01,1962-12-01,https://hdl.handle.net/2027/inu.32000013032893,inu.32000013032893,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032893,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.4 1962,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1962.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,350.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032893,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180310.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032893
4-Jan,January-April 1963,1,scanner_page,v.5 1963,5.0,,1963-01-01,1963-04-01,https://hdl.handle.net/2027/inu.32000013032901,inu.32000013032901,"
                       Indiana University
                      ",https://catalog.hathitrust.org/Record/000055797,Afro Asian Bulletin,News/politics magazines,inu.32000013032901,https://schemas.hathitrust.org/EF_Schema_MetadataSubSchema_v_3.0,v.5 1963,http://id.loc.gov/ontologies/bibframe/Text,Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.,20200209.0,1963.0,eng,google,,,"['sn 89044037', '64001216']",2257026.0,224.0,https://schemas.hathitrust.org/EF_Schema_FeaturesSubSchema_v_3.0,ic,,Asia,http://id.loc.gov/vocabulary/marcgt/doc,['document (computer)'],"{'id': 'http://www.viaf.org/viaf/156453588', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': ""Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.""}",Permanent Organization for Afro-Asian Peoples' Solidarity. Permanent Secretariat.,http://hdl.handle.net/2027/inu.32000013032901,"{'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'INU'}",INU,DS35.N251,"['DataFeedItem', 'PublicationVolume']","{'id': 'http://www.worldcat.org/oclc/2257026', 'type': 'CreativeWorkSeries', 'journalTitle': 'Afro-Asian bulletin :  monthly journal of the Permanent Secretariat of Afro-Asian Solidarity.'}",20180601.0,"{'id': 'http://id.loc.gov/vocabulary/countries/ua', 'type': 'http://id.loc.gov/ontologies/bibframe/Place', 'name': 'Egypt'}",Egypt,"['https://catalog.hathitrust.org/Record/000055797', 'http://catalog.hathitrust.org/api/volumes/brief/oclc/2257026.json', 'http://catalog.hathitrust.org/api/volumes/full/oclc/2257026.json']","{'id': 'http://catalogdata.library.illinois.edu/lod/entities/ProvisionActivityAgent/ht/The%20Secretariat', 'type': 'http://id.loc.gov/ontologies/bibframe/Organization', 'name': 'The Secretariat'}",The Secretariat,afro_asian_bulletin,datasets/ht_ef_datasets/afro_asian_bulletin/volumes,inu_32000013032901
