wavelet,error,signal_length,signal_type,decomposition_levels,wavelet_type,htid
bior1.1,Max level too low for wavelet bior1.1 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior1.1,Max level too low for wavelet bior1.1 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior1.3,Max level too low for wavelet bior1.3 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior1.3,Max level too low for wavelet bior1.3 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior1.5,Max level too low for wavelet bior1.5 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior1.5,Max level too low for wavelet bior1.5 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.2,Max level too low for wavelet bior2.2 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.2,Max level too low for wavelet bior2.2 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.4,Max level too low for wavelet bior2.4 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.4,Max level too low for wavelet bior2.4 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.6,Max level too low for wavelet bior2.6 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.6,Max level too low for wavelet bior2.6 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.8,Max level too low for wavelet bior2.8 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior2.8,Max level too low for wavelet bior2.8 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.1,Max level too low for wavelet bior3.1 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.1,Max level too low for wavelet bior3.1 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.3,Max level too low for wavelet bior3.3 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.3,Max level too low for wavelet bior3.3 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.5,Max level too low for wavelet bior3.5 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.5,Max level too low for wavelet bior3.5 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.7,Max level too low for wavelet bior3.7 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.7,Max level too low for wavelet bior3.7 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.9,Max level too low for wavelet bior3.9 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior3.9,Max level too low for wavelet bior3.9 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
bior4.4,Max level too low for wavelet bior4.4 and signal length 65.,65,smoothed,0,SWT,inu.32000013032927
