wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
dmey,1,antireflect,1.379055257687763,62.544277876743905,33959520.96360876,0.6205128205128205,408.09989794152597,719,raw,0.926732255807008,,8.16990421088671,190516.33733608102,0.8474900927707961,2.8147178376793917e-06,0.9999982410684904,476.0399063093305,,,,[],[],15,1131.668149965412,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1333.7403734011127, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1284.2553691326266]","[29, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256974505.95562953,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,523587.95562952757,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.79686283669923,49065.97775051882,477.7968628366995,,0.0,477.79686283669923,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,0.9746731368489828,0.9849747473753847,0.0002456264183435808,0.6265680292766223,0.3060297441056,0.6738523383459156,0.5845248895039644,1.0,0.9498846782055018,0.9498846782055018,0.9498846782000265,,1.0,0.05011532179437972,1.0,,,,,,1.0,0.3333333333333333,0.25,1.0,1.0,3.138287204613832,0.996651147302437,2,1.853183943161995,0.9832255779858218,2,0,0.7902585574782286,0.9915071596526737,2,0,0.5929812159821163,0.9823919897628915,2,0.0,1.0,2.0,2.0,0.9989517819706499,1,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,1.0
dmey,1,antisymmetric,1.3755918309549804,62.55519867975578,34085104.82975844,0.6192307692307693,408.09989794152597,719,raw,0.9313687835627917,,8.181543778229383,196825.06953065292,0.8526618391877533,2.8145710396657143e-06,0.9999982229877716,476.0399063093305,,,,[],[],15,1131.621628534206,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1333.740375256511, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1283.557545809132]","[29, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256974062.21738133,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,523144.21738132834,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.75034140549303,49066.67557198691,477.7503414054931,,0.0,477.75034140549303,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,0.9795495172959782,0.9825010336846834,0.0002864245476945637,0.6429293649396551,0.31798080749333435,0.6585564570883111,0.6434634524277356,1.0,0.934827521298712,0.934827521298712,0.9348275212914848,,1.0,0.06517247870117227,1.0,,,,,,0.9991525048591584,0.3333333333333333,0.25,1.0,1.0,3.1318405942801717,0.9946038453296256,4,1.8848003801511337,1.0,1,0,0.787678406731881,0.9882699432837041,8,0,0.6036095796396276,1.0,1,3.3166247903554,0.99652345409816,3.5,1.6842105263157894,0.9964273454977173,2,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,1.75
dmey,1,reflect,1.3979968546882229,62.4850326174164,34411638.38185018,0.6192307692307693,420.7009068248941,719,raw,0.9508133760647561,,8.180122632909878,136115.6085895231,0.786515867334179,2.8144846061549238e-06,0.9999983368597661,476.0399063093305,,,,[],[],15,1131.6712388457393,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1334.4167712298172, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1283.6253045088254]","[7, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256962341.9531573,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,511423.9531573057,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.7999517170264,49065.931417313914,477.79995171702643,,0.0,477.7999517170264,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,1.0,0.9985035705435702,2.4296929034717252e-05,0.6409317103092191,0.3490550473532464,0.6585564570883111,0.07629270030329639,1.0,0.9508844272361348,0.9508844272361348,0.9508844272306973,,1.0,0.049115572763815285,1.0,,,,,,0.9767679864644774,0.3333333333333333,0.25,1.0,1.0,3.1270710974583698,0.993089157804368,8,1.6880497622714388,0.895611959785408,18,0,0.7884891811887161,0.989287190956897,6,0,0.5319091117895254,0.8812138337948356,14,5.507570547286102,0.9942268652544171,11.5,9.554502369668247,0.9910861789584454,3,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,2.5
dmey,1,symmetric,1.4000919935891412,62.4785288394245,34084649.03096305,0.6192307692307693,408.09989794152597,719,raw,0.9486615996742276,,8.181384232855487,135252.69647925792,0.7858419017352771,2.8146325030847744e-06,0.9999983424641666,476.0399063093305,,,,[],[],15,1131.6886133529945,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1333.979918361923, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1284.3227749855475]","[7, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256964912.64712587,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,513994.64712587,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.8173262242816,49065.67079970508,477.8173262242816,,0.0,477.8173262242816,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,0.9977369098450902,1.0,0.0,0.6427050975473255,0.31793743185550105,0.6585564570883111,0.06823104890647418,1.0,0.9565078716387917,0.9565078716387917,0.9565078716339626,,1.0,0.04349212836111804,1.0,,,,,,0.9816777517501846,0.3333333333333333,0.25,1.0,1.0,3.1317753578624483,0.9945831276749526,5,1.6703573400528546,0.8862250653402968,22,0,0.7898355690296818,0.990976452238985,3,0,0.5264524207489576,0.8721737336628503,15,8.88350531415762,0.9906881495658725,11.25,6.19718309859155,0.9894478483678419,4,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,3.25
dmey,1,periodic,1.393089824238861,62.50030336094781,34087129.73705896,0.6192307692307693,408.09989794152597,719,raw,0.9478286081764321,,8.182597678895984,135336.15557980895,0.7853035934216874,2.814594564613478e-06,0.9999983637694491,476.0399063093305,,,,[],[],15,1131.8229890568603,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1335.3494732287982, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1284.968855676658]","[7, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256964556.5764712,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,513638.5764712095,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.9517019281474,49063.6551641471,477.9517019281473,,0.0,477.9517019281474,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,0.9968608267789864,0.9949987790928437,8.134564323625249e-05,0.6444107965130216,0.3181735057773155,0.6585564570883111,0.06901075539863127,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,,,,,,0.9809976928396767,0.3333333333333333,0.25,1.0,1.0,3.148832179753172,1.0,1,1.6684253590152893,0.8852000331629314,23,0,0.7970275855144175,1.0,1,0,0.5260132094703353,0.8714460923307088,16,11.05667219374799,0.9884101968618993,10.25,1.8993548387096773,0.9888329810305304,5,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,4.0
db33,1,antisymmetric,3.187870110457272e-26,318.9050883825955,33826631.21627827,0.6186224489795918,424.9117987688404,719,raw,1.2731154409168913e-13,-7.250778866208055e-10,8.206282389367225,193749.86114520527,0.8518190273606324,2.82605205029761e-06,1.0,475.99999999999994,,,,[],[],15,1128.7333333333333,178.00000000000017,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1330.9999999999998, 1284.0000000000002, 1487.0000000000002, 1291.9999999999998, 1268.0000000000002, 1257.9999999999998, 178.00000000000017, 1002.0, 1370.0, 1151.0, 249.00000000000028, 1372.9999999999998, 834.0000000000003, 1573.0, 1280.9999999999993]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 493, 324, 581, 111, 660]","[111, 111, 324, 324, 324, 324, 342, 388, 493, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-30.5,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462047,,0.0,474.86204620462047,,,172.00000000000017,0.0,-30.5,0.0,0.0,,5.684341886080802e-14,1.116110321613409e-13,2.1062534622907544e-26,0.9579628836664024,0.6777035716388642,0.2933834238208457,0.6512987175119985,0.6147336922573224,4.510873587564072e-09,4.064702118452713e-09,4.064702118452713e-09,3.953265564969637e-09,,1.4244218474339575e-12,0.9999999959353714,0.0,,,,,,0.0,1.0,0.75,0.0,0.0,0.6750000029464609,0.21436518823920692,18,1.5667341918374584,0.8312467507629795,36,0,0.22916666771086155,0.2875266450946648,23,0,0.4564403269850779,0.7561846968326547,36,9.17877987534291,0.9903786374472296,28.25,25.874999999999996,0.9803832390590446,6,db,466.1900584795322,458.5,265.7659028007395,342,0.6416440627490121,0.8163241603819411,0.3059519079611092,5,5.75
dmey,1,smooth,1.3751493844564422,62.556595772826064,32696243.13042141,0.6076923076923076,379.5838208928292,719,raw,0.9382228738726793,,8.144240024611015,139346.73171914706,0.811149908596593,2.814601411145368e-06,0.9999983607787521,476.0399063093305,,,,[],[],15,1131.6698201079419,179.28061944178575,1576.7250081876073,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1334.1255159804, 1287.1426027481898, 1492.4383731599116, 1295.121802372989, 1271.4324642865909, 1260.5841922885056, 179.28061944178575, 1004.2202036293822, 1373.8325220198117, 1152.8243733400739, 249.88738215015786, 1376.4622912026555, 837.0746721197854, 1576.7250081876073, 1283.8952786912828]","[7, 56, 56, 170, 240, 248, 324, 324, 170, 433, 494, 170, 581, 56, 660]","[56, 111, 170, 324, 324, 324, 342, 388, 494, 494, 511, 581, 608, 660, 714]",256968054.84811506,1576.3039758069658,-1576.3039758069658,0.0,,,,DWT,mdp.39015056038402,517136.84811505675,,0.0,-39.5,86.0,0.0,-30.5,,2.303975806965809,477.798532979229,49065.952698380876,477.7985329792291,,0.0,477.798532979229,,,173.28061944178575,0.0,-39.5,3.7250081876072727,2.303975806965809,,0.03990630933049033,0.9867581772522103,0.9821850212365272,0.0002916438327357218,0.5904927737440736,0.18581116887280233,0.520893525769869,0.10647907500052153,1.0,0.9504252376310199,0.9504252376310199,0.9504252376255496,,1.0,0.049574762368949865,1.0,,,,,,0.987679037599873,0.3333333333333333,0.25,1.0,1.0,3.132342947184022,0.9947633815878868,3,1.524614463833815,0.8088997009389202,50,0,0.7893219038491455,0.9903319762009257,4,0,0.4818444836726772,0.7982717636130829,24,22.0661883130428,0.976869823571234,20.25,6.2015503875969005,0.9778217042384472,7,dmey,8.555555555555555,5.0,7.60116950066092,9,0.011775500841107202,0.023347683977353994,0.9847528442180187,1,5.5
rbio3.1,1,antisymmetric,2.416343827045575e-26,320.1085072495278,34319626.00513341,0.646814404432133,622.4616800611353,719,raw,1.1137590617967726e-13,-6.447632427963965e-10,8.431179733003772,178895.61639072944,0.5275364672798036,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.485102613579787e-14,1.5551994694499792e-26,0.9624586371877178,0.9938339586741078,0.3402987812793264,0.9876509438689618,0.47595971800302606,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,58,1.8299858170381715,0.9709175763703067,5,0,0.2222222232665112,0.27881371649525094,57,0,0.5371717198590336,0.8899323966656405,4,30.605010483034746,0.967919276223234,31.0,8.251076308729019,0.9677122586566904,8,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,7.0
rbio3.1,1,reflect,2.4163332942713188e-26,320.1085261803425,34317040.21516819,0.646814404432133,622.4616800611353,719,raw,1.1136602380504916e-13,-6.447696820899393e-10,8.430422686835495,178550.1658246752,0.5281163500194136,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.484063253503786e-14,1.555191946534125e-26,0.9624587079097907,0.9927698051616167,0.34005270715588065,0.9876509438689618,0.47273238812176116,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,56,1.8280398137009406,0.9698851045193222,9,0,0.2222222232665112,0.27881371649525094,60,0,0.5365235074597295,0.888858503173607,9,28.337254630609507,0.9702963787939104,33.5,15.579598145285937,0.967590537405341,9,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,7.75
rbio3.1,1,symmetric,2.4163332942713188e-26,320.1085261803425,34317188.931193285,0.646814404432133,622.4616800611353,719,raw,1.1136602380504916e-13,-6.447696820899393e-10,8.43045799653993,178528.63130630326,0.5281748164013961,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.484063253503786e-14,1.555191946534125e-26,0.9624587079097907,0.9928194387871128,0.3400668595681063,0.9876509438689618,0.4725312045040463,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,59,1.8279912332727155,0.969859329679325,12,0,0.2222222232665112,0.27881371649525094,59,0,0.5365038792340162,0.8888259850917618,11,27.427176303804956,0.9712503393041877,35.25,19.217766810610733,0.9671503268847983,10,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,8.5
rbio3.1,1,smooth,2.4163332942713188e-26,320.1085261803425,34317443.8576669,0.646814404432133,622.4616800611353,719,raw,1.1136602380504916e-13,-6.447696820899393e-10,8.430683653733515,178547.39568666025,0.5281544921796043,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.484063253503786e-14,1.555191946534125e-26,0.9624587079097907,0.9931366372688373,0.340091119391751,0.9876509438689618,0.47270650844440815,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,57,1.828232084001545,0.9699871154816656,7,0,0.2222222232665112,0.27881371649525094,61,0,0.5365777024119778,0.8889482879518417,7,30.066592756745816,0.9684836553912518,33.0,12.51362467866324,0.9669462302113492,11,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,9.25
rbio3.1,1,antireflect,2.4164737312614e-26,320.1082737762653,34317401.84133335,0.646814404432133,622.4616800611353,719,raw,1.1138578855430535e-13,-6.447490319416813e-10,8.430641455977979,178518.94612197953,0.5282266577037324,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.486141973655788e-14,1.5552922520788492e-26,0.9624577649741679,0.9930773213490749,0.34008712094926813,0.9876509438689618,0.47244072184792985,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,62,1.8280935464204573,0.9699136129598354,8,0,0.2222222232665112,0.27881371649525094,58,0,0.536530553284214,0.8888701759911403,8,30.066592756745816,0.9684836553912518,34.0,14.115799803729145,0.9664221211966741,12,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,10.0
rbio3.1,1,zero,2.416331977674537e-26,320.10852854670014,34317175.64757714,0.646814404432133,622.4616800611353,719,raw,1.1136355321139213e-13,-6.447710143575688e-10,8.43055435188257,178685.23473768614,0.5278164634980845,2.826052050297611e-06,0.9999999999999997,475.9999999999999,,,,[],[],15,1128.7333333333333,177.9999999999999,1573.0,"[39, 88, 153, 199, 247, 290, 340, 375, 427, 466, 510, 545, 599, 652, 710]","[1331.0, 1283.9999999999998, 1486.9999999999995, 1291.9999999999995, 1268.0, 1257.9999999999998, 177.9999999999999, 1001.9999999999999, 1369.9999999999995, 1150.9999999999998, 248.99999999999983, 1372.9999999999995, 833.9999999999998, 1573.0, 1280.9999999999998]","[7, 56, 111, 170, 240, 248, 324, 324, 324, 433, 494, 324, 581, 111, 660]","[111, 111, 581, 324, 324, 324, 342, 388, 433, 493, 511, 581, 608, 660, 714]",256450918.0,1574.0,-1574.0,0.0,,,,DWT,mdp.39015056038402,0.0,,0.0,-35.0,86.0,0.0,-30.5,,0.0,474.86204620462047,49110.0,474.86204620462024,,0.0,474.86204620462047,,,171.9999999999999,0.0,-26.0,0.0,0.0,,1.1368683772161603e-13,9.483803413484785e-14,1.5551910061696432e-26,0.9624587167500716,0.992954882146599,0.3400655954460222,0.9876509438689618,0.4739942530072908,4.5106516503641915e-09,4.064702118452713e-09,4.064702118452713e-09,3.9531919730568505e-09,,2.848843694867915e-12,0.9999999959353714,0.0,,,,,,0.0,0.6666666666666666,1.0,0.0,0.0,0.6666666696137511,0.21171870444553487,61,1.8286435475968832,0.9702054216745502,6,0,0.2222222232665112,0.27881371649525094,62,0,0.5367320558884343,0.8892040053586938,6,32.045540511382654,0.9664092866756995,33.75,10.933269091785112,0.9655159640925668,13,rbio,404.6,340.0,325.56417621694936,135,0.5568741397767243,1.0,0.310188102156293,4,10.75
