wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,error,wavelet_type,htid
bior1.1,2.0,zero,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,constant,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,symmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,periodic,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,smooth,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,periodization,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,reflect,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,antisymmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,2.0,antireflect,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (3,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,zero,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,constant,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,symmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,periodic,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,smooth,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,periodization,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,reflect,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,antisymmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,3.0,antireflect,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (4,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,zero,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,constant,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,symmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,periodic,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,smooth,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,periodization,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,reflect,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
bior1.1,4.0,antisymmetric,,,,,,66.0,raw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"setting an array element with a sequence. The requested array has an inhomogeneous shape after 1 dimensions. The detected shape was (5,) + inhomogeneous part.",DWT,inu.32000013032927
