wavelet,error,signal_length,signal_type,decomposition_levels,wavelet_type,htid
bior1.1,Max level too low for wavelet bior1.1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior1.1,Max level too low for wavelet bior1.1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior1.3,Max level too low for wavelet bior1.3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior1.3,Max level too low for wavelet bior1.3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior1.5,Max level too low for wavelet bior1.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior1.5,Max level too low for wavelet bior1.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.2,Max level too low for wavelet bior2.2 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.2,Max level too low for wavelet bior2.2 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.4,Max level too low for wavelet bior2.4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.4,Max level too low for wavelet bior2.4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.6,Max level too low for wavelet bior2.6 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.6,Max level too low for wavelet bior2.6 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.8,Max level too low for wavelet bior2.8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior2.8,Max level too low for wavelet bior2.8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.1,Max level too low for wavelet bior3.1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.1,Max level too low for wavelet bior3.1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.3,Max level too low for wavelet bior3.3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.3,Max level too low for wavelet bior3.3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.5,Max level too low for wavelet bior3.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.5,Max level too low for wavelet bior3.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.7,Max level too low for wavelet bior3.7 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.7,Max level too low for wavelet bior3.7 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.9,Max level too low for wavelet bior3.9 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior3.9,Max level too low for wavelet bior3.9 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior4.4,Max level too low for wavelet bior4.4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior4.4,Max level too low for wavelet bior4.4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior5.5,Max level too low for wavelet bior5.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior5.5,Max level too low for wavelet bior5.5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior6.8,Max level too low for wavelet bior6.8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
bior6.8,Max level too low for wavelet bior6.8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif1,Max level too low for wavelet coif1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif1,Max level too low for wavelet coif1 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif2,Max level too low for wavelet coif2 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif2,Max level too low for wavelet coif2 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif3,Max level too low for wavelet coif3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif3,Max level too low for wavelet coif3 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif4,Max level too low for wavelet coif4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif4,Max level too low for wavelet coif4 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif5,Max level too low for wavelet coif5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif5,Max level too low for wavelet coif5 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif6,Max level too low for wavelet coif6 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif6,Max level too low for wavelet coif6 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif7,Max level too low for wavelet coif7 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif7,Max level too low for wavelet coif7 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif8,Max level too low for wavelet coif8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif8,Max level too low for wavelet coif8 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif9,Max level too low for wavelet coif9 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif9,Max level too low for wavelet coif9 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif10,Max level too low for wavelet coif10 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
coif10,Max level too low for wavelet coif10 and signal length 151.,151,smoothed,0,SWT,uiug.30112087716855
