amplitude_max,amplitude_max_diff,avg_prominence,avg_prominence_diff,avg_variance_across_levels,correlation,dominant_frequency,dominant_frequency_diff,dynamic_cutoff,dynamic_cutoff_diff,emd_value,frequency_max,frequency_max_diff,htid,is_complex,kl_divergence,lower_envelope,lower_envelope_diff,max_autocorrelation,max_autocorrelation_diff,num_fft_peaks,num_fft_peaks_diff,positive_amplitudes,positive_frequencies,prominence_max,prominence_max_diff,prominence_min,prominence_min_diff,relative_left_bases,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,relative_num_peaks,relative_num_peaks_diff,relative_peaks,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_prominences,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,relative_right_bases,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,scales_used,signal_length,signal_type,smoothness,spectral_bandwidth,spectral_bandwidth_diff,spectral_centroid,spectral_centroid_diff,spectral_magnitude,spectral_magnitude_diff,upper_envelope,upper_envelope_diff,variance_ratio_across_levels,wavelet,wavelet_adaptive_threshold,wavelet_energy_entropy,wavelet_entropy,wavelet_psnr,wavelet_sparsity,wavelet_type,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
,,140054.264523173,139702.35785650634,1357225.3979336754,0.20535471789333165,,,278959.9057287194,278194.9057287194,257595.37248651378,,,mdp.39015065389044,False,,-331058.6131813615,329853.2131813615,26407753269307.703,26407531324052.824,,,[],[],336608.3457507968,335402.94575079676,9692.079968019098,9677.679968019098,"[0, 147, 147]",0.0,-43.5,3,42.0,"[71, 216, 278]",0.0,-34.5,"[336608.3457507968, 9692.079968019098, 73862.36785070319]",139702.35785650634,404326.9935695191,139702.35785650637,"[370, 222, 370]",0.0,-43.5,127,371,smoothed,4.773800887216814e-07,,,,,0.0,0.0,331058.6131813615,329853.2131813615,0.028979594834213075,mexh,2587.4020253820677,25546358958.9025,14.330860301176976,-46.87701886604902,0.6374769191586901,CWT,1.0,0.08334912074596479,0.9345492997972715,0.8789000667485434,1.0,0.941046782812629,0.11802746430831365,,0.38280475520368196,0.9314348334847259,0.9314348334847259,0.9314348334847258,,1.0,0.7970671871162781,1.0,,,,,0.7,,0.7319178692714501,0.02857142857142857,0.02857142857142857,0.3939915889930865,0.3939915889930865,0.3584905660377358,3.2326343394102888,1.0,1,2.0803638545688634,1.0,1,0.0,0.6149793509437397,0.8003953540482748,2,0,0.7079818192018176,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.14285714285714285,,,2,1.25,0.9995697014525212,0.07437571770150864,0.9097927783027373,0.8789000667485434,0.9650349650349649,0.941046782812629,0.11802746430831362,,0.38280475520368196,0.9314348334847258,0.9314348334847258,0.9314348334847257,,1.0,0.7996052014193025,1.0,,,,,0.4666666666666667,,0.7319178692714501,0.22727272727272724,0.22727272727272727,0.39369314753987544,0.39369314753987544,0.4516129032258064,3.1988153638250574,1.0,1,2.0484864484446645,1.0,1,0.0,1.0,1.0,1.0,0.975,1,1.5,1.5,0.7071067811865476,2,0.08108108108108109,0.14242182297397127,0.9005166963510517,1,1.0
,,75285.79162925135,74415.33162925135,1327562.1257269748,0.07548978419927095,,,274652.8348118706,273871.8348118706,257690.4465854474,,,mdp.39015065389044,False,,-332449.04051860963,330932.04051860963,26235726145447.664,26235465630270.664,,,[],[],312560.56447019044,311052.56447019044,13014.444526434992,12778.444526434992,"[0, 142, 142, 142, 142, 296]",0.0,-47.0,6,44.0,"[71, 156, 214, 260, 280, 299]",0.0,-47.0,"[312560.56447019044, 13815.852080736047, 14196.478165962151, 13217.229299080092, 84910.18123310438, 13014.444526434992]",74415.33162925135,408191.7497755081,74415.33162925133,"[370, 159, 220, 265, 370, 370]",0.0,-33.5,127,371,raw,1.4571192390439043e-08,,,,,0.0,0.0,332449.04051860963,330932.04051860963,0.029379912318564017,mexh,2608.739789529497,25450065008.386585,14.343410551516433,-44.85130334858898,0.6404906933803086,CWT,0.9999999999999999,0.07702946077465633,0.9354430486945133,0.8967502709322488,0.99693685202639,0.617810131973851,0.11366408396182776,,0.9999999999999999,0.6126962667797669,0.6126962667797669,0.6126962667797664,,1.0,0.8508185307356984,1.0,,,,,0.45454545454545453,,0.7523896033198605,0.909090909090909,0.375,0.39128018487296934,0.39128018487296934,0.05,3.129770053806029,1.0,1,1.9536787634630022,1.0,1,0.0,0.6437495476983689,0.8378793063850292,2,0,0.6625191211947838,1.0,1,0.5,0.95,1.25,1.1428571428571428,0.9125,1,mexh,0.1,,,2,1.25,1.0,0.1868134945569529,0.9381369384880951,0.8753998480033134,0.9970674486803517,0.5077403007241118,0.11439433103229098,,0.652775866908967,0.29851123232786897,0.29851123232786897,0.29851123232786864,,0.9844553997464002,0.8128985335549024,0.8868286108802036,,,,,0.6,,0.726982248037785,0.6818181818181818,0.06818181818181818,0.39566700951775796,0.39566700951775796,0.04838709677419353,2.6530194884393596,0.8293756240019274,2,1.9665373221545777,0.9599952802459066,2,0.0,1.0,2.0,2.0,0.95,2,1.5,1.5,0.7071067811865476,2,0.08108108108108109,0.14242182297397127,0.9005166963510517,1,1.75
,,119605.83965197051,119253.93298530385,703275.7601560103,0.1794505947631843,,,153680.19104347253,152915.19104347253,153428.74431803063,,,mdp.39015065389044,False,,-267209.0827946757,266003.6827946757,10492760022550.07,10492538077295.19,,,[],[],283319.73422253504,282114.334222535,10532.199097767516,10517.799097767516,"[0, 147, 147, 326]",0.0,-38.5,4,41.0,"[40, 216, 309, 333]",0.0,-34.0,"[283319.73422253504, 10532.199097767516, 171369.1596107144, 13202.265676865034]",119253.93298530385,462587.55860788206,119253.93298530382,"[370, 223, 370, 370]",0.0,-43.0,127,371,smoothed,2.3460121656779275e-06,,,,,0.0,0.0,267209.0827946757,266003.6827946757,0.012344234260518025,gaus2,1299.2622665451636,9793950073.270264,14.359072917379496,-42.856371093384894,0.5730628011121252,CWT,0.5283463659804679,0.33344105009148717,1.0,0.30631085871822894,0.2905563347358577,0.8546152562578568,0.03793224847044985,,0.4559505523611829,0.733198040428528,0.733198040428528,0.7331980404285273,,0.5495278421000891,1.0,0.7237757675203909,,,,,0.6,,0.2754039827684222,0.05714285714285714,0.3142857142857143,0.277081594315852,0.277081594315852,0.3773584905660377,2.5344643912708866,0.7840244596712521,2,1.4849655049938129,0.7138008583126236,3,0.0,0.5076573226187131,0.6607157815121116,3,0,0.47874315917919275,0.6762082672107743,3,0.5,0.95,2.75,2.666666666666667,0.8374999999999999,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,0.528119019306621,0.29754263979922874,0.9735096677083761,0.306310858718229,0.28039702233250596,0.8546152562578568,0.037932248470449834,,0.4559505523611829,0.7331980404285279,0.7331980404285279,0.7331980404285272,,0.5495278421000892,1.0,0.7523346299418434,,,,,0.4,,0.27540398276842215,0.24999999999999997,0.45454545454545453,0.27687171005442146,0.27687171005442146,0.46774193548387094,2.520048246072295,0.7878067220043888,3,1.4460493637091512,0.7059111202844811,6,2.1213203435596424,0.8939339828220179,4.5,4.0,0.834466991411009,3,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,2.75
,,94536.48542297751,93666.0254229775,707097.0138752859,0.07470206450135625,,,155184.2401778899,154403.2401778899,153450.03755407885,,,mdp.39015065389044,False,,-270247.80582955736,268730.80582955736,10501856094055.617,10501595578878.617,,,[],[],258290.86330095172,256782.86330095172,9701.258782365017,9465.258782365017,"[0, 148, 148, 148, 148]",0.0,-47.5,5,45.0,"[40, 155, 279, 310, 332]",0.0,-34.0,"[258290.86330095172, 9701.258782365017, 10665.223770418, 16389.908068498276, 177635.17319265453]",93666.0254229775,429159.4271148875,93666.02542297752,"[370, 159, 292, 327, 370]",0.0,-38.5,127,371,raw,2.4555825243361236e-07,,,,,0.0,0.0,270247.80582955736,268730.80582955736,0.011716020403199344,gaus2,1315.687467770432,9809524699.936295,14.370802328293813,-40.86292077791738,0.5744847931744381,CWT,0.5280182480399062,0.3282923102193252,1.0,0.31172510658488983,0.2641376060320457,0.614159676284212,0.03532095213933204,,0.46856312345303697,1.0,1.0,1.0,,0.5635182900621042,0.9263038815118062,0.7155875423682283,,,,,0.5454545454545454,,0.2850702091464677,0.606060606060606,0.25,0.27664841963931963,0.27664841963931963,0.4833333333333333,2.7969228118904876,0.8936512152032463,2,1.376690707618248,0.7046658505812842,4,0.0,0.5997991693334837,0.7806752078790303,3,0,0.44023627132853027,0.6644884007794526,4,0.9574271077563381,0.9042572892243662,3.25,3.0,0.7896286446121832,2,gaus,0.55,1.0,0.31499999999999995,1,1.75,0.5282153909645744,0.4081895296566898,1.0,0.30687698566508625,0.29551094067223077,0.5051120003703046,0.03840027249513884,,0.3643100960444956,0.48513664850598615,0.48513664850598615,0.485136648505986,,0.5548784665513519,0.8850195896133736,0.6346035061615949,,,,,0.6666666666666667,,0.2756637928221085,0.4545454545454545,0.04545454545454544,0.28186135416308045,0.28186135416308045,0.46774193548387094,2.2439582854716233,0.7014966574339441,5,1.392426113330999,0.6797341102198716,7,1.4142135623730951,0.9292893218813453,6.0,5.833333333333333,0.8146446609406726,4,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,3.5
,,73777.89371258124,73425.98704591457,582262.616587459,0.17843752842346944,,,11883.937845312747,11118.937845312747,49612.73854351792,,,mdp.39015065389044,False,,-149922.44825250542,148717.04825250542,1587616590307.9329,1587394645053.053,,,[],[],179308.83055273816,178103.43055273817,13781.258304831394,13766.858304831394,"[0, 110, 142, 234, 265, 142]",0.0,-42.0,6,39.0,"[25, 122, 214, 242, 278, 342]",0.0,-33.0,"[179308.83055273816, 16482.16625715095, 62327.52801814725, 13781.258304831394, 15250.915507104028, 155516.66363551572]",73425.98704591457,426831.56227548746,73425.98704591457,"[142, 142, 265, 265, 293, 370]",0.0,-42.0,127,371,smoothed,1.2391792825250344e-06,,,,,0.0,0.0,149922.44825250542,148717.04825250542,0.020721478941079462,gaus8,585.2951556292526,2106782731.4018676,14.151093764657997,-34.652297853600736,0.6187575609652567,CWT,0.05828030688000993,0.8437499906008575,0.5175073068205408,0.026887623057325713,0.7938288920056098,0.8512350657838197,0.0231106577952412,,0.7388330832991149,0.28892005361050954,0.28892005361050954,0.2889200536105093,,0.03966665411145419,0.8754549512450667,0.18462994983544337,,,,,0.39999999999999997,,0.019964248984809058,0.11428571428571428,0.11428571428571428,0.062327002747310706,0.062327002747310706,0.4150943396226415,1.332342687208175,0.4121538495601166,6,1.463201397597319,0.7033391752043079,4,0.0,0.2781163444282935,0.3619682996245192,7,0,0.4449428347062007,0.628466469955163,4,1.5,0.85,5.25,4.9411764705882355,0.6625,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,0.05825522894861285,0.7529114950455914,0.5037983662995213,0.02688762305732572,0.7660726370403784,0.8512350657838197,0.023110657795241192,,0.7388330832991149,0.2889200536105095,0.2889200536105095,0.28892005361050926,,0.03966665411145419,0.8770125954260105,0.26893117451869547,,,,,0.26666666666666666,,0.019964248984809065,0.2954545454545454,0.29545454545454547,0.062279791177841076,0.062279791177841076,0.49999999999999994,1.3751348019883896,0.42988876993014075,8,1.390733804638138,0.6789079838404923,8,0.0,1.0,8.0,8.0,0.8,5,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,4.25
,,72296.85944156721,71426.3994415672,974383.2324358727,0.06565164595545037,,,45880.40274843752,45099.40274843752,82041.16510890181,,,mdp.39015065389044,False,,-207569.25801741943,206052.25801741943,3875603382980.9053,3875342867803.9053,,,[],[],201704.92640889453,200196.92640889453,8933.085830959913,8697.085830959913,"[0, 142, 142, 142, 142, 142]",0.0,-47.0,6,44.0,"[35, 155, 216, 279, 310, 342]",0.0,-24.5,"[201704.92640889453, 9105.029317974142, 19517.51614578464, 9053.183008160115, 8933.085830959913, 185467.41593762996]",71426.3994415672,390258.1566494033,71426.39944156722,"[142, 159, 227, 283, 314, 370]",0.0,-38.0,127,371,raw,1.9751448647710374e-07,,,,,0.0,0.0,207569.25801741943,206052.25801741943,0.015931255718238186,gaus4,779.0713135834723,4104263049.5886927,14.184673169921492,-36.535500864773724,0.6123267610416623,CWT,0.20469176615678877,0.6009140657438924,0.5613307193896282,0.09832316721352541,0.68426013195099,0.5722181684585496,0.06906989153180798,,0.3453477454220103,0.5525620915112651,0.5525620915112651,0.5525620915112653,,0.16417379278941946,0.7862561309100585,0.4190363354861714,,,,,0.45454545454545453,,0.08826062622346217,0.6363636363636362,0.375,0.16113700553467852,0.16113700553467852,0.7999999999999999,1.8371829963597144,0.5870025480388138,3,1.282002189371488,0.6561990708744099,6,0.0,0.43206742909595475,0.562362115976363,4,0,0.39868684434931184,0.6017740946560484,7,1.8257418583505538,0.8174258141649446,5.0,4.48,0.6587129070824723,4,gaus,0.55,1.0,0.31499999999999995,1,3.25,0.20502395991339376,0.6483839055994363,0.579635900689194,0.09949465616258846,0.6977216332055042,0.474914433482897,0.07113726955021667,,0.29742836356664715,0.26953509674378345,0.26953509674378345,0.2695350967437834,,0.16185126627959964,0.7512136051652181,0.3716134113075324,,,,,0.6,,0.08559293754856193,0.4772727272727272,0.06818181818181818,0.16718238925026144,0.16718238925026144,0.7741935483870968,1.5332028262128334,0.47930332070791065,7,1.2876121442550184,0.6285675676461769,11,2.8284271247461903,0.8585786437626906,9.0,8.555555555555555,0.7042893218813453,6,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,5.0
,,104034.36391917318,103682.45725250652,788948.4749503412,0.14332228998209856,,,5709.313915370337,4944.313915370337,61126.61200944425,,,mdp.39015065389044,False,,-172606.70165315704,171401.30165315705,2372995100955.018,2372773155700.138,,,[],[],197759.23820381874,196553.83820381874,14867.047902550094,14852.647902550094,"[0, 142, 227, 142]",0.0,-43.0,4,41.0,"[26, 214, 244, 342]",0.0,-43.0,"[197759.23820381874, 31167.013675755014, 14867.047902550094, 172344.1558945689]",103682.45725250652,400301.6556766927,103682.4572525065,"[142, 227, 252, 370]",0.0,-38.5,127,371,smoothed,1.4343849761142975e-06,,,,,0.0,0.0,172606.70165315704,171401.30165315705,0.023594327824827545,gaus6,653.1114367565045,2946890781.3622475,14.130467974074834,-36.40197911765533,0.614831164972303,CWT,0.11041370466131874,0.7349164921675492,0.46965735110525914,0.05742497175613069,0.7505843852267408,0.7340697925733058,0.04842537238468109,,0.8333684210365617,0.5822407206415477,0.5822407206415477,0.5822407206415473,,0.017464367229417257,0.7830461569244014,0.2802685777935527,,,,,0.6,,0.042492451838084234,0.3142857142857143,0.05714285714285714,0.10386240525169985,0.10386240525169985,0.037735849056603765,1.6618979408359467,0.514100193942479,4,1.350846988203511,0.649332079692118,5,0.0,0.35144652626680256,0.4574074989488348,5,0,0.41507029569642656,0.586272534744436,6,0.816496580927726,0.9183503419072274,5.0,4.8979591836734695,0.7091751709536137,3,gaus,0.8392857142857143,1.0,0.11249999999999998,1,2.5,0.11036619380458122,0.655795058981265,0.45721597181127693,0.05742497175613071,0.7243401759530783,0.7340697925733058,0.04842537238468108,,0.8333684210365617,0.5822407206415476,0.5822407206415476,0.5822407206415472,,0.017464367229417257,0.785759527665177,0.35468171122024295,,,,,0.4,,0.042492451838084234,0.4545454545454545,0.25,0.10378373137128394,0.10378373137128394,0.17741935483870966,1.6816781128356229,0.525719030817933,6,1.2866415016782633,0.6280937336222847,12,4.242640687119285,0.7878679656440357,9.0,8.0,0.6689339828220179,7,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,5.75
,,,,8347201.250300266,-0.05390505887146063,,,0.0,781.0,233836.6319200205,,,mdp.39015065389044,False,,-662751.2390707991,661234.2390707991,34572358122021.355,34572097606844.355,,,[],[],,,,,[],,,0,50.0,[],,,[],,,,[],,,127,371,raw,1.7865868571404433e-07,,,,,0.0,0.0,662751.2390707991,661234.2390707991,0.022836401657986876,gaus1,1034.1167168704985,28210427549.581306,13.946498264618924,-46.07401876179424,0.550692955833351,CWT,0.8919942338931959,0.0,0.0,1.0,0.0,0.01816771812035667,1.0,,,,,,,0.0022553214738436408,,,,,,,1.0,,1.0,,,1.0,1.0,,1.3011276607369218,0.4157262796845588,5,1.1748653574161012,0.6013605611055465,8,0.6428571428571429,0.7683082071519115,1.0,1,0,0.4157374217162219,0.6275100724134316,6,2.943920288775949,0.7056079711224051,5.0,2.6815642458100557,0.6028039855612026,6,gaus,0.55,1.0,0.31499999999999995,1,4.75,0.8920393470199702,0.11894641173968479,0.04172888804544417,0.975737124213865,0.04263478457026759,0.07600231991198542,0.9741539796457299,,,,,,,0.0024942101837733804,,,,,,,1.0,,0.9661145055865858,,,1.0,1.0,,1.2843043578851796,0.40149374434335683,10,1.28482909093065,0.6272089775874135,13,2.1213203435596424,0.8939339828220179,11.5,11.304347826086955,0.659466991411009,8,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,6.5
,,48817.696572598776,47947.23657259878,805574.9422382126,0.0868079450502602,,,5125.575864884725,4344.575864884725,60942.233785734934,,,mdp.39015065389044,False,,-175610.17054751914,174093.17054751914,2386021891877.5767,2385761376700.5767,,,[],[],173946.44181050154,172438.44181050154,8078.611589061489,7842.611589061489,"[0, 110, 141, 141, 141, 227, 141, 141, 141]",0.0,-45.5,9,41.0,"[24, 123, 155, 186, 215, 242, 279, 310, 342]",0.0,-18.5,"[173946.44181050154, 9485.232056317938, 8078.611589061489, 9355.532005605512, 33927.89917315513, 18522.871809642493, 13327.542519052606, 8904.120384057358, 163811.0178059949]",47947.23657259878,395836.269153389,47947.23657259877,"[141, 141, 158, 189, 227, 253, 293, 314, 370]",0.0,-32.0,127,371,raw,1.5866331107145545e-07,,,,,0.0,0.0,175610.17054751914,174093.17054751914,0.023460761821204636,gaus6,696.7476436203159,2997265821.200692,14.165851992756885,-34.42806337690354,0.6236602500159178,CWT,0.10915961444202239,0.733679852086102,0.516972960942543,0.05691659028600947,0.8100848256361923,0.6702608257728256,0.04775528434589002,,0.20828959134263486,0.08018600317511546,0.08018600317511546,0.08018600317511543,,0.015274941330959508,0.8063377914686722,0.27356181370572685,,,,,0.18181818181818182,,0.04401783549743106,0.9999999999999999,0.75,0.10223903300655304,0.10223903300655304,0.9999999999999999,1.1928733571916832,0.38113769915494655,6,1.3711409455005075,0.7018251777841334,5,0.0,0.33745258790729,0.4392151284680578,5,0,0.4206899933587979,0.6349854364959725,5,0.5,0.95,5.25,5.217391304347826,0.7124999999999999,3,gaus,0.55,1.0,0.31499999999999995,1,2.5,0.10953171119850118,0.7653576780544424,0.537129142178294,0.05925606974089032,0.8181818181818181,0.5455044016445931,0.05046176847562288,,0.22303272447088202,0.041916882621907514,0.041916882621907514,0.04191688262190735,,0.015307870509611474,0.770400249355171,0.24260244323851882,,,,,0.4,,0.042865012677774095,0.75,0.13636363636363635,0.10870887321425876,0.10870887321425876,0.9677419354838709,1.1258910996103604,0.3519712679709185,13,1.3559259214726216,0.6619159831406857,9,2.8284271247461903,0.8585786437626906,11.0,10.636363636363637,0.6542893218813453,9,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,7.25
,,,,8558225.035826778,-0.0766834770211076,,,0.0,765.0,238814.54736495338,,,mdp.39015065389044,False,,-662025.632382738,660820.232382738,35753636113756.45,35753414168501.57,,,[],[],,,,,[],,,0,45.0,[],,,[],,,,[],,,127,371,smoothed,2.166596929371512e-06,,,,,0.0,0.0,662025.632382738,660820.232382738,0.022618510710922527,gaus1,1056.9086049245484,28877919592.330856,13.96645220125,-48.216995959903116,0.5466816647919011,CWT,0.9149627421544072,0.0,0.0891556954410751,1.0,0.0,0.0,1.0,,,,,,,0.002436678487245281,,,,,,,1.0,,1.0,,,1.0,1.0,,1.3012183392436225,0.4025256811078102,7,1.2190666703668596,0.5859872385734658,8,0.6428571428571429,0.768344478554592,1.0,1,0,0.42915977679935474,0.6061734428197488,5,3.095695936834452,0.6904304063165548,5.25,2.7250608272506085,0.5827152031582774,6,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.75,0.9145690350154609,0.0,0.08679393144315023,0.9999999999999999,0.0,0.0,0.9999999999999999,,,,,,,0.00243667848724528,,,,,,,0.6666666666666667,,1.0,,,0.9992425182121939,0.9992425182121939,,1.1675820131951669,0.36500450335433043,11,1.2177676762262133,0.5944719220138442,15,2.8284271247461903,0.8585786437626906,13.0,12.692307692307692,0.6042893218813452,10,10.625,10.5,4.964876634922564,16,0.5743243243243243,1.0,0.2979729729729729,2,8.0
