signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,smoothness_normalized,across_emd_value_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,mexh,6097617480.366756,0.6499744506898314,1722.2402288785784,-45.89143636430684,209,103,141891.87017623696,,False,13.273566051610256,879237.8215724855,0.017637522543499134,5.4022861904196794e-06,0.48711876999580633,156929.50170418815,,,,[],[],2,126080.38806476924,18278.893904887227,233881.88222465126,"[41, 95]","[18278.893904887227, 233881.88222465126]","[0, 0]","[56, 208]",5181163764827.605,247270.99990730677,-247270.99990730677,0.0,,,,CWT,uc1.b3747696,5181121194265.046,,0.0,-22.0,21.0,0.0,-22.0,,246473.99990730677,125861.21415172577,247119.77612953848,125861.21415172576,,0.0,125861.21415172577,,,18275.693904887226,0.0,-22.0,233084.88222465126,246473.99990730677,,156489.70170418816,0.9973924283461822,0.002665375337580489,0.5363431974376056,1.0,0.5777548918640579,0.705503623665527,0.17201691856007936,,0.29490377400797185,1.0,1.0,1.0,,0.9999999999999999,0.8034164923100887,1.0,,,,,0.6666666666666666,,0.9981416615140153,0.33333333333333326,0.33333333333333326,0.8018540323966116,0.8018540323966116,0.08333333333333331,3.559991822073088,1.0,1,1.9510987260610715,0.9428344700665088,2,0,0.7226311899494262,1.0,1,0,0.6239595544013791,0.9625850882360012,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.16326530612244897,,,2,1.25,0.9999999999999999,0.9973924283461826,1.0,0.002400161636418985,0.5363431974376055,0.9999999999999999,0.4434782608695664,0.7055036236655269,0.17201691856007936,,0.4551704286181859,0.9977458488188973,0.9977458488188973,0.9977458488188969,,0.9965248120425606,0.8066324068191404,1.0,,,,,0.2,,0.9981416615140153,0.8823529411764707,0.8823529411764706,0.8017337632661502,0.8017337632661502,0.5769230769230769,3.6277205416366916,0.9646112205540363,2,1.8972289454425781,0.9322641358303505,2,0.0,1.0,2.0,2.0,0.95,1,1.5,1.5,0.7071067811865476,2,0.10344827586206896,0.11111111111111112,0.8942528735632183,1,1.0
raw,mexh,6071764944.345482,0.6514609560087332,1729.867080420222,-44.45706047491807,209,103,141731.4994342105,,False,13.282673579965433,855479.3254310368,0.017622457064918048,3.7862797608167305e-07,0.3661007256217731,157410.11810967803,,,,[],[],2,126523.52749821395,20296.419958361716,232750.6350380662,"[42, 93]","[20296.419958361716, 232750.6350380662]","[0, 0]","[57, 208]",5136283588969.642,246321.43232920382,-246321.43232920382,0.0,,,,CWT,uc1.b3747696,5136234135362.642,,0.0,-24.5,28.0,0.0,-24.5,,245385.43232920382,126107.16083154728,240556.0549964279,126107.16083154728,,0.0,126107.16083154728,,,20285.419958361716,0.0,-29.0,231815.6350380662,245385.43232920382,,157034.11810967803,1.0,0.0,0.5042063295481675,1.0,0.32597793380140466,0.6807016445982415,0.16428052104796037,,0.5231802041075521,1.0,1.0,1.0,,1.0,0.8270629178775217,1.0,,,,,0.75,,1.0000000000000002,0.909090909090909,0.25,0.7949927125288758,0.7949927125288758,0.7692307692307692,3.858237849937821,1.0,1,1.5204872045531264,0.8901048456906955,2,0,0.8298964446688936,1.0,1,0,0.5250237755708249,0.9046881812464288,2,0.5773502691896257,0.9422649730810374,1.5,1.3333333333333333,0.8961324865405187,1,mexh,0.125,,,2,1.25,,0.9959030807876063,0.034980482705044585,0.117313554602823,0.5557786311928891,0.9951970419682663,0.468774703557313,0.582396816900089,0.16351659444633784,,0.5231802041075521,1.0,1.0,0.9999999999999999,,1.0,0.784554119498988,0.9941418607556569,,,,,0.9,,0.9887806237452648,0.5882352941176471,0.05882352941176472,0.7962243301927925,0.7962243301927925,0.3846153846153846,3.760811054585355,1.0,1,1.6410162843515628,0.8063658484072214,4,2.1213203435596424,0.8939339828220179,2.5,1.6,0.8844669914110089,2,1.5,1.5,0.7071067811865476,2,0.10344827586206896,0.11111111111111112,0.8942528735632183,1,1.75
smoothed,gaus2,2795719912.717378,0.6402657128257537,1158.41459523793,-41.94405727797114,209,103,87495.93360932471,,False,13.227252661006515,603256.7387820402,0.023272776182497224,4.995788961683236e-06,0.6697219049861787,81165.69034297689,,,,[],[],4,71609.26309368147,13753.75723722659,188205.89962094612,"[33, 94, 148, 185]","[66000.96435963099, 188205.89962094612, 18476.43115692221, 13753.75723722659]","[0, 0, 135, 173]","[60, 208, 208, 208]",2094492356438.5325,172528.89341460727,-172528.89341460727,0.0,,,,CWT,uc1.b3747696,2094449785875.9724,,0.0,-21.0,19.0,0.0,-16.5,,171731.89341460727,71390.089180638,281396.05237472587,71390.089180638,,0.0,71390.089180638,,,13750.557237226589,0.0,-21.0,187408.89962094612,171731.89341460727,,80725.89034297688,0.49222263054705556,0.35384910949257076,0.43751058336729576,0.3865640326560999,0.3625128733264684,0.8912584751035856,0.07327629798319663,,0.0,0.4996331943341597,0.4996331943341597,0.4996331943341597,,0.5144898488636607,0.9206285478506022,0.7891850625766439,,,,,0.0,,0.3544272293326476,0.9999999999999999,0.9999999999999999,0.4235142633098652,0.4235142633098652,1.0,2.3084409245364674,0.6484399515255612,2,1.5698043077685448,0.7585805848026324,3,0,0.5660470570175546,0.7833139018773461,2,0,0.4858874529478207,0.7495806634730652,3,0.5773502691896257,0.9422649730810374,2.5,2.4000000000000004,0.8461324865405186,2,gaus,1.0,1.0,0.0,1,1.75,0.8899056211062928,0.49222263054705556,0.9219139235353669,0.3186399475190129,0.4375105833672957,0.3865640326560999,0.27826086956521867,0.8912584751035855,0.07327629798319663,,0.3020383495996337,0.4985069455790331,0.4985069455790331,0.49850694557903297,,0.5128996269872402,0.9219269874174368,0.789185062576644,,,,,0.0,,0.35442722933264764,1.0,1.0,0.4234507409103656,0.4234507409103656,1.0,2.3978675054221505,0.6375931868469062,4,1.5245804998086325,0.7491514008217603,5,0.7071067811865476,0.9646446609406726,4.5,4.444444444444445,0.8698223304703363,3,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,2.75
raw,gaus4,861158064.1456572,0.6513680494263019,670.3863377937947,-33.93792719530134,209,103,35753.24145008255,,False,13.274774352251493,405484.3883558059,0.026177224949937593,8.991909268749882e-07,0.6088367412921615,19512.8946809551,,,,[],[],4,75454.38923630783,20362.176548645395,135063.77609909035,"[26, 95, 159, 186]","[135063.77609909035, 101166.57819572333, 20362.176548645395, 45225.02610177228]","[0, 62, 134, 134]","[134, 134, 170, 208]",460780870116.56104,106363.15280474334,-106363.15280474334,0.0,,,,CWT,uc1.b3747696,460731416509.56104,,0.0,-28.0,26.0,0.0,-23.5,,105427.15280474334,75038.02256964117,289326.55694523134,75038.02256964118,,0.0,75038.02256964117,,,20351.176548645395,0.0,-28.0,134128.77609909035,105427.15280474334,,19136.8946809551,0.0037995336789121946,0.9547313238745305,0.48461863635629365,0.022758858934769612,0.32397191574724293,1.0,0.0,,0.5254054282541006,0.521461391701708,0.521461391701708,0.5214613917017082,,0.11975692614806212,0.9999999999999999,0.541260074798733,,,,,0.25,,0.010906404116848541,0.27272727272727265,0.75,0.08235782155419416,0.08235782155419416,0.9230769230769231,1.882729824049379,0.48797660934245435,4,1.3572561683728206,0.7945481479190064,3,0,0.43730234623824676,0.5269360400895785,5,0,0.39855432408453567,0.6867639207232403,3,0.9574271077563381,0.9042572892243662,3.75,3.582089552238806,0.764628644612183,2,gaus,0.71875,1.0,0.196875,1,1.75,,0.011693256748821036,0.1349780116098649,0.9600419531829734,0.5389217067930959,0.02715560321471345,0.4671936758893294,0.8293224380395978,0.0025172284970355376,,0.5254054282541007,0.5319409946313461,0.5319409946313461,0.5319409946313461,,0.1197569261480621,0.9486027030596131,0.5432736389818384,,,,,0.7,,0.013721027298067557,0.17647058823529416,0.1764705882352941,0.08787071980317948,0.08787071980317948,0.46153846153846145,1.8917957692642549,0.503028666371763,8,1.4226785443916796,0.6990786151232229,7,0.7071067811865476,0.9646446609406726,7.5,7.466666666666667,0.7948223304703363,4,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,3.5
raw,gaus2,2769196433.2485204,0.6413341385237145,1163.32395079712,-40.489879425843085,209,103,86985.8663610122,,False,13.249437980588562,587949.3926783078,0.022764402236014097,1.1411922078562141e-06,0.5208563794337561,81146.51680391809,,,,[],[],4,72717.42456749846,17010.11659358435,185583.28792547138,"[34, 96, 147, 185]","[68322.71999556165, 185583.28792547138, 19953.573755376427, 17010.11659358435]","[0, 0, 135, 173]","[59, 208, 208, 208]",2067060629728.3528,171438.12505642424,-171438.12505642424,0.0,,,,CWT,uc1.b3747696,2067011176121.3528,,0.0,-28.0,26.0,0.0,-23.5,,170502.12505642424,72301.05790083179,278378.6982699938,72301.05790083179,,0.0,72301.05790083179,,,16999.11659358435,0.0,-28.0,184648.28792547138,170502.12505642424,,80770.51680391809,0.48538854823664634,0.36006692893345615,0.4217921053711241,0.3806084599291966,0.10732196589769452,0.8842693995307782,0.06661285164216774,,0.41197064216648005,0.49581491893655844,0.49581491893655844,0.49581491893655844,,0.5131844922816768,0.961179593009473,0.778500961937053,,,,,0.25,,0.3507117938180186,0.27272727272727265,0.75,0.4137043907841492,0.4137043907841492,0.9230769230769231,2.4239829084177282,0.6282616579630499,2,1.1861386913094842,0.6943746673002024,5,0,0.5375860869567766,0.6477749006037241,2,0,0.38658003707729494,0.6661305771712739,4,1.5,0.85,3.25,2.7586206896551726,0.7625,3,gaus,0.71875,1.0,0.196875,1,2.5,,0.48748568538246545,0.1814652425068095,0.4351397522081734,0.4848539780031827,0.381636424833036,0.2964426877470373,0.7398235417181497,0.06779962966091412,,0.4119706421664801,0.5068561585794396,0.5068561585794396,0.5068561585794394,,0.5131844922816768,0.911777560054525,0.7764436140372428,,,,,0.7,,0.348705004074061,0.17647058823529416,0.1764705882352941,0.417226665711516,0.417226665711516,0.46153846153846145,2.4293095468345505,0.6459536285059106,3,1.3366406747602362,0.656801155476975,8,3.5355339059327378,0.8232233047033631,5.5,4.363636363636364,0.7741116523516816,5,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,4.25
smoothed,gaus4,851328514.7955742,0.6450039485297533,650.1473386537447,-35.27408863923564,209,103,35378.92317775264,,False,13.250179647017006,398448.7079824796,0.026315413265841865,3.5269511461428583e-06,0.7766184043023229,18925.446605492576,,,,[],[],4,77411.9038871323,19507.08159779352,134855.54926150813,"[26, 95, 159, 186]","[134855.54926150813, 100610.9558323911, 19507.08159779352, 54674.02885683644]","[0, 62, 134, 134]","[134, 134, 169, 208]",454459504923.53986,104696.6386286129,-104696.6386286129,0.0,,,,CWT,uc1.b3747696,454416934360.97986,,0.0,-21.0,19.0,0.0,-21.0,,103899.6386286129,77192.72997408883,304606.6155485292,77192.72997408881,,0.0,77192.72997408883,,,19503.88159779352,0.0,-21.0,134058.54926150813,103899.6386286129,,18485.646605492577,0.008216999184750683,0.9472515778180067,0.48643669157556035,0.025329441442404024,0.4675592173017499,1.0,0.0,,0.3749449335196149,0.5529357255336967,0.5529357255336967,0.5529357255336966,,0.11564151216000575,1.0,0.5429495109494152,,,,,0.0,,0.012404164324008817,0.9999999999999999,0.9999999999999999,0.08015172221165345,0.08015172221165345,0.24999999999999997,1.727683915637588,0.485305585514381,4,1.5613499183492414,0.7544951483962558,4,0,0.43678933871267445,0.604442964526958,4,0,0.42836054027919646,0.6608336478749176,4,0.0,1.0,4.0,4.0,0.8,3,gaus,1.0,1.0,0.0,1,2.5,0.4920903949110999,0.008216999184750686,0.6397575547577713,0.8529968988082728,0.48643669157556024,0.025329441442404024,0.35889328063241116,1.0,0.0,,0.4967326948330026,0.551689324814911,0.551689324814911,0.5516893248149107,,0.11559979670388877,0.9999999999999998,0.5429495109494152,,,,,0.0,,0.012404164324008819,1.0,1.0,0.08013970035038456,0.08013970035038456,0.6538461538461537,1.8438420476813615,0.4902777674600972,9,1.5056308842296668,0.7398399009975151,6,2.1213203435596424,0.8939339828220179,7.5,7.199999999999999,0.7594669914110089,6,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,5.0
raw,gaus5,791441084.7463948,0.6826775677056719,631.7983373497563,-33.95337931647756,209,103,36612.94499599484,,False,13.196642688393691,484497.3081358924,0.02460541817175013,4.2481673756059053e-07,-0.030497027639609264,2201.449104002292,,,,[],[],3,79761.71282357036,31578.88390624417,124284.2361242357,"[48, 125, 164]","[124284.2361242357, 83422.01844023122, 31578.88390624417]","[6, 76, 142]","[76, 142, 180]",454736841742.6687,122541.55576353217,-122541.55576353217,0.0,,,,CWT,uc1.b3747696,454687388135.6687,,0.0,-24.0,27.0,0.0,-28.5,,121605.55576353217,79345.34615690369,226794.13847071107,79345.3461569037,,0.0,79345.34615690369,,,31567.88390624417,0.0,-28.5,123349.2361242357,121605.55576353217,,1825.4491040022922,0.011880786283233967,0.9533288676345448,0.29087576482007854,0.009683548886212732,1.0,0.15901140418353954,0.02884539927351058,,0.9049824098040875,0.5618227665964267,0.5618227665964267,0.5618227665964268,,0.009252307646052019,0.7782640416455544,0.4906390863108342,,,,,0.5,,0.009627801554209154,0.9999999999999999,0.5,0.16473447313818262,0.16473447313818262,0.15384615384615385,1.867689851480839,0.4840784638279723,5,1.2009839347016629,0.7030651863912325,4,0,0.4543963604908955,0.5475338078742914,4,0,0.3505179672973029,0.603990670676998,5,0.5773502691896257,0.9422649730810374,4.5,4.444444444444445,0.7461324865405188,4,gaus,0.71875,1.0,0.196875,1,3.25,,0.019677240367183386,0.043853111853982524,0.9588040240696754,0.3721890085374529,0.014203383522287597,1.0,0.1789538160906008,0.030786502078374273,,0.9049824098040877,0.5714184885282598,0.5714184885282598,0.5714184885282598,,0.009252307646051991,0.7382633735990722,0.4935212764553844,,,,,0.8,,0.012460566504536351,0.6470588235294118,0.11764705882352938,0.16975247903267332,0.16975247903267332,0.07692307692307687,1.8922763199521615,0.503156444843197,7,1.2714338434056152,0.6247596928854003,10,2.1213203435596424,0.8939339828220179,8.5,8.23529411764706,0.7344669914110089,7,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,5.75
smoothed,gaus5,781168336.2675922,0.6690203000882613,615.545524197661,-35.34744841264458,209,103,36494.6422720878,,False,13.179132067244332,477534.2339718717,0.02484782485121996,2.543615921427284e-06,-0.05395253300197697,2142.4977568530044,,,,[],[],3,74801.15430312423,26422.783914362393,119351.03482883566,"[48, 124, 164]","[119351.03482883566, 78629.64416617464, 26422.783914362393]","[6, 76, 143]","[76, 143, 179]",454544748662.9359,121969.85115039868,-121969.85115039868,0.0,,,,CWT,uc1.b3747696,454502178100.3759,,0.0,-21.5,20.0,0.0,-21.5,,121172.85115039868,74581.98039008076,219362.4629093727,74581.98039008076,,0.0,74581.98039008076,,,26419.583914362393,0.0,-21.5,118554.03482883566,121172.85115039868,,1702.6977568530044,0.01857857442102968,0.9407250297973985,0.33482140405793487,0.012294882949127483,1.0,0.15509347046060418,0.02829525065952137,,0.8256421970182175,0.5289536170232353,0.5289536170232353,0.5289536170232353,,0.008092909659417696,0.7084968541456509,0.47138929366274374,,,,,0.3333333333333333,,0.012421941605112731,0.6666666666666666,0.6666666666666666,0.16758762071040734,0.16758762071040734,0.16666666666666666,1.6909864622470026,0.47499728841014344,5,1.2846523525400633,0.620785869955456,6,0,0.41295804442249984,0.5714644623233063,5,0,0.33944696420309106,0.5236662916434588,6,0.5773502691896257,0.9422649730810374,5.5,5.454545454545455,0.6961324865405187,4,gaus,1.0,1.0,0.0,1,3.25,0.22576710127911237,0.01857857442102969,0.45086379578631297,0.8471197639986101,0.3348214040579348,0.012294882949127482,0.7675889328063257,0.15509347046060418,0.028295250659521366,,0.7307622836359169,0.5277612756026736,0.5277612756026736,0.5277612756026735,,0.008468745653667106,0.7132655613846424,0.4713892936627438,,,,,0.10000000000000003,,0.012421941605112733,0.9411764705882354,0.9411764705882353,0.16756248444295144,0.16756248444295144,0.6153846153846153,1.715323815258015,0.45610475781988913,14,1.2030537745354803,0.5911589585268144,13,0.7071067811865476,0.9646446609406726,13.5,13.481481481481481,0.6448223304703362,8,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,6.5
raw,gaus8,792134072.7740616,0.6489524782830863,589.0572553251898,-33.86607074699382,209,103,37410.5075977837,,False,13.124877603648184,466376.14123766276,0.026440466359871805,6.489206930746571e-07,0.5058352026609156,10903.3731092936,,,,[],[],4,73376.770896569,19420.35799017563,121144.85659824696,"[26, 96, 160, 186]","[121144.85659824696, 114200.10404034506, 19420.35799017563, 38741.76495750831]","[0, 62, 134, 62]","[62, 134, 168, 208]",450414953470.323,98887.78855651556,-98887.78855651556,0.0,,,,CWT,uc1.b3747696,450365499863.323,,0.0,-28.0,26.0,0.0,-23.5,,97951.78855651556,72960.40422990233,281016.083586276,72960.40422990233,,0.0,72960.40422990233,,,19409.35799017563,0.0,-28.0,120209.85659824696,97951.78855651556,,10527.3731092936,0.019377911174089546,0.9612531161361132,0.11292008196223635,0.009813517702988193,0.27181544633901694,0.8645103331783015,0.022229869864697424,,0.49353398557537825,0.5019932623634997,0.5019932623634997,0.5019932623634997,,0.06479953437322997,0.9705315927389262,0.4758964817827254,,,,,0.25,,0.008713514413478276,0.27272727272727265,0.75,0.044295011664474124,0.044295011664474124,0.9230769230769231,1.7644308100078445,0.45731519896739387,7,1.1073543026193133,0.6482536832314738,8,0,0.41456065107909873,0.4995329884133885,8,0,0.32313146805106335,0.5567999655192182,8,0.5,0.95,7.75,7.724137931034484,0.5874999999999999,6,gaus,0.71875,1.0,0.196875,1,4.75,,0.027084127052224856,0.08690235639789562,0.9657986508119687,0.21904256790948232,0.014332128818711846,0.4260869565217395,0.7245431005580847,0.02430310384318768,,0.4935339855753783,0.5128992013540311,0.5128992013540311,0.512899201354031,,0.06479953437322995,0.9206488922768971,0.479031646225387,,,,,0.7,,0.01155925195332655,0.17647058823529416,0.1764705882352941,0.05003657899921124,0.05003657899921124,0.46153846153846145,1.775305580860097,0.47205391472553837,11,1.2003357482555193,0.5898233693628714,14,2.1213203435596424,0.8939339828220179,12.5,12.32,0.6344669914110089,9,11.125,11.5,5.315072906367325,16,0.7672413793103449,0.8351831321318283,0.2123760948432101,2,7.25
smoothed,morl,758432039.3307552,0.6365959028197148,556.6137335056194,-35.14591484679749,209,103,37099.93713460609,,False,13.103802952826134,451986.1627251651,0.025689558088643764,1.710024761442413e-06,0.6527666135722385,9003.50687208735,,,,[],[],4,74615.94389875665,20355.361370801962,118637.47568195456,"[24, 96, 160, 187]","[112922.23535743597, 118637.47568195456, 20355.361370801962, 46548.703184834114]","[0, 61, 133, 133]","[61, 133, 168, 208]",438107248367.3991,88862.43602396123,-88862.43602396123,0.0,,,,CWT,uc1.b3747696,438064677804.8391,,0.0,-21.0,19.0,0.0,-21.0,,88065.43602396123,74396.76998571318,293422.7755950266,74396.76998571318,,0.0,74396.76998571318,,,20352.16137080196,0.0,-21.0,117840.47568195456,88065.43602396123,,8563.70687208735,0.024199889221466597,0.9586547266073019,0.17406933653492862,0.008070868721091999,0.28115345005149395,0.8740105366284247,0.01915465165927147,,0.43022744205965885,0.5272522910737772,0.5272522910737772,0.5272522910737772,,0.052059673113330235,0.9617554468166531,0.46809590141757285,,,,,0.0,,0.00899395891137185,0.9999999999999999,0.9999999999999999,0.0,0.0,0.24999999999999997,1.5990477847137616,0.4491717578672945,6,1.1432503606945075,0.5524558207030532,7,0,0.4109206639671371,0.5686450705177778,6,0,0.2924141824279974,0.45110861691020193,8,0.9574271077563381,0.9042572892243662,6.75,6.653465346534654,0.6146286446121831,5,morl,0.8163265306122449,,,3,4.5,0.0,0.024199889221466604,0.2907351197282929,0.8632653964087982,0.17406933653492865,0.008070868721091999,0.2158102766798429,0.8740105366284245,0.01915465165927147,,0.5254387549523585,0.526063784699114,0.526063784699114,0.5260637846991139,,0.05226481060084642,0.9623810904167689,0.4680959014175729,,,,,0.0,,0.008993958911371851,1.0,1.0,0.0,0.0,0.6538461538461537,1.7077261441574212,0.45408453638618257,15,1.1471000291452327,0.5636642957355812,15,0.0,1.0,15.0,15.0,0.625,10,14.5,14.5,6.363961030678928,2,1.0,1.0,0.0,3,8.25
