signal_type,wavelet,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,wavelet_psnr,signal_length,scales_used,emd_value,kl_divergence,is_complex,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,dynamic_cutoff,dominant_frequency,amplitude_max,num_fft_peaks,positive_frequencies,positive_amplitudes,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,max_autocorrelation,upper_envelope,lower_envelope,spectral_magnitude,spectral_centroid,spectral_bandwidth,frequency_max,wavelet_type,htid,max_autocorrelation_diff,frequency_max_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_num_peaks_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,spectral_centroid_diff,lower_envelope_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,spectral_bandwidth_diff,spectral_magnitude_diff,avg_prominence_diff,num_fft_peaks_diff,amplitude_max_diff,prominence_min_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_max_diff,upper_envelope_diff,dominant_frequency_diff,dynamic_cutoff_diff,emd_value_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,correlation_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,spectral_centroid_diff_normalized,dynamic_cutoff_diff_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,amplitude_max_diff_normalized,frequency_max_diff_normalized,spectral_bandwidth_diff_normalized,num_fft_peaks_diff_normalized,relative_num_peaks_diff_normalized,dominant_frequency_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_weighted_score,reconstruction_normalized_weighted_score,reconstruction_normalized_weighted_rank,signal_weighted_score,signal_normalized_weighted_score,signal_normalized_weighted_rank,reconstruction_missing_metrics_count,reconstruction_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_score,reconstruction_normalized_dynamically_weighted_rank,signal_missing_metrics_count,signal_dynamically_weighted_score,signal_normalized_dynamically_weighted_score,signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,across_emd_value_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_correlation_normalized,across_avg_variance_across_levels_normalized,across_kl_divergence_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_spectral_centroid_diff_normalized,across_spectral_magnitude_diff_normalized,across_dynamic_cutoff_diff_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_amplitude_max_diff_normalized,across_frequency_max_diff_normalized,across_spectral_bandwidth_diff_normalized,across_num_fft_peaks_diff_normalized,across_relative_num_peaks_diff_normalized,across_dominant_frequency_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_upper_envelope_diff_normalized,across_lower_envelope_diff_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_weighted_score,across_reconstruction_normalized_weighted_score,across_reconstruction_normalized_weighted_rank,across_signal_weighted_score,across_signal_normalized_weighted_score,across_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank
smoothed,mexh,16079175369.602371,0.5924945552018763,1718.446121218234,-44.5524021976102,470,127,178777.29044488372,,False,14.789593993189282,886101.7314382812,0.014276827318699446,1.9078273634554465e-07,0.20676851695417459,205684.24154429632,,,,[],[],5,106915.70235231899,9306.68907242809,288010.91911799175,"[45, 70, 235, 353, 402]","[9740.308897347597, 288010.91911799175, 9306.68907242809, 208516.6507451182, 19003.943928709225]","[0, 0, 217, 217, 379]","[47, 469, 237, 469, 469]",17752060586780.848,281421.22886252555,-281421.22886252555,0.0,,,,CWT,mdp.39015050659344,17751836083433.168,,0.0,-55.5,53.0,0.0,-46.5,,280274.22886252555,106540.15752473279,512796.91176159494,106540.15752473279,,0.0,106540.15752473279,,,9281.089072428089,0.0,-55.5,286863.91911799175,280274.22886252555,,205004.5415442963,1.0,0.13930163941410034,1.0,0.6953788761500584,0.0,0.7729924329093182,0.1118808128466999,,0.035851235021358584,0.7329601849320326,0.7329601849320326,0.7329601849320325,,1.0,1.0,1.0,,,,,0.5555555555555556,,0.6190521978684823,0.16000000000000003,0.1481481481481482,0.3288848735111726,0.3288848735111726,0.4888888888888888,2.9623144000987622,1.0,1,1.5852197200258966,0.9304580998653351,3,0,0.5617247376643486,1.0,1,0,0.5313648230457396,1.0,1,1.0,0.9,1.5,1.2,0.875,1,mexh,0.14285714285714285,,,2,1.25,0.9497819517739068,0.11360662463962157,1.0,0.6533685346695612,0.16802337716551807,0.7729924329093181,0.10857669847915646,,0.02036536040649605,0.3788984299205117,0.3788984299205117,0.37889842992051165,,0.0,1.0,1.0,1.0,,,,,0.2941176470588235,,0.5921302284702324,0.4878048780487805,0.4651162790697674,0.31544470933306523,0.31544470933306523,0.6229508196721312,2.6068905314885624,0.7228507405672624,3,1.5996198310723226,0.9833862460311078,2,0.7071067811865476,0.9646446609406726,2.5,2.4000000000000004,0.9198223304703363,1,1.5,1.5,0.7071067811865476,2,0.12972972972972974,0.07142857142857144,0.8877606177606178,1,1.0
raw,mexh,17279233577.460033,0.5899313117775171,1752.6510207476192,-42.27103640173218,470,127,186583.33579336765,,False,14.73078578459583,886494.9554906448,0.01586274609686536,1.2075423025057155e-08,0.08093706723349446,200456.57674418483,,,,[],[],5,103161.96804490418,7834.136237714556,286543.9368973105,"[47, 71, 306, 330, 379]","[11300.293600992765, 286543.9368973105, 7834.136237714556, 11570.865685906436, 198560.60780259667]","[0, 0, 215, 215, 215]","[49, 469, 307, 334, 469]",18804653029910.754,295909.6525836854,-295909.6525836854,0.0,,,,CWT,mdp.39015050659344,18804366233201.754,,0.0,-63.5,61.0,0.0,-50.0,,294374.6525836854,102245.05895399509,455293.8402245209,102245.05895399509,,1933812.749028611,102245.05895399509,,,7823.136237714556,0.0,-54.5,285008.9368973105,294374.6525836854,,200277.47674418482,1.0,0.12771070382871197,1.0,0.7065386226527242,0.15194593334886863,0.5838738491834167,0.10865115634437869,,0.012473618490338725,0.357727545097273,0.357727545097273,0.357727545097273,,1.0,1.0,1.0,,,,,0.6666666666666667,,0.6290122611260639,0.1333333333333333,0.5945945945945945,0.34399961550752156,0.34399961550752156,0.8378378378378379,2.784829879927715,0.9087235619374385,2,1.5676841091742548,0.9076671477389275,2,0,0.5453642984539786,0.8981738148025683,2,0,0.5255314664797287,1.0,1,0.5,0.95,1.75,1.6,0.8875,1,mexh,0.15384615384615385,,,2,1.25,1.0,0.24220302955277623,0.9281338222039008,0.7065386226527242,0.13608849926946265,0.41065999558407656,0.10865115634437869,,0.012473618490338727,0.357727545097273,0.357727545097273,0.357727545097273,,1.0,0.9769214958626652,0.8858724508030357,0.9921674741987672,,,,,0.7647058823529411,,0.6290122611260638,0.09756097560975613,0.5116279069767441,0.3439996155075216,0.3439996155075216,0.5081967213114753,3.2737241487950444,0.9077534698084084,2,1.5248179006391454,0.9374008261609059,4,1.4142135623730951,0.9292893218813453,3.0,2.6666666666666665,0.8896446609406726,2,1.5,1.5,0.7071067811865476,2,0.12972972972972974,0.07142857142857144,0.8877606177606178,1,1.75
smoothed,gaus1,22513602846.575054,0.62703970514324,852.041115962345,-46.56784164798221,470,127,174613.1270267875,,False,14.055849282806847,5300323.367419097,0.022345730044593823,9.994627450534516e-07,-0.06167766240013265,185.34977276773245,,,,[],[],1,108961.96088255935,108961.96088255935,108961.96088255935,[186],[108961.96088255935],[3],[253],28053777770738.86,588724.9056174504,-588724.9056174504,0.0,,,,CWT,mdp.39015050659344,28053553267391.18,,0.0,-57.5,57.0,0.0,-57.5,,587577.9056174504,108586.41605497315,87180.36088255934,108586.41605497315,,0.0,108586.41605497315,,,108936.36088255934,0.0,-57.5,107814.96088255935,587577.9056174504,,494.35022723226757,0.9710668705352464,0.0,0.0,1.0000000000000002,0.5173105870546914,0.0,1.0,,1.0,0.757249649529977,0.757249649529977,0.757249649529977,,0.0010331180344010024,0.0,0.0,,,,,1.0,,0.9999999999999999,0.0,0.0,1.0,1.0,0.0,2.28204124359418,0.7703575432499999,3,1.3982442959824506,0.8207112959496369,5,0,0.5194844333303096,0.9248024850931896,3,0,0.49833963679856264,0.9378483768310455,4,0.9574271077563381,0.9042572892243662,3.75,3.582089552238806,0.764628644612183,2,gaus,0.8392857142857143,1.0,0.11249999999999998,1,1.75,0.9229929504274179,0.0,0.10333218653488946,0.9384539353874709,0.5984136923398033,0.0,0.9444195663233634,,0.559788630477226,0.38898460208834806,0.38898460208834806,0.38898460208834795,,0.0,0.0015391165514177137,0.15526992643911486,0.24397896140058545,,,,,0.5294117647058824,,0.9531158683337703,0.3902439024390244,0.3720930232558139,0.9377683948003366,0.9377683948003366,0.2622950819672131,1.9105394401505393,0.5297632687350299,7,1.414924249554672,0.8698423332593969,7,0.0,1.0,7.0,7.0,0.825,3,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,2.75
raw,morl,1332532989.8787918,0.6507287652873178,440.77675416386415,-28.827331737003774,470,127,31140.310342849738,,False,14.469656263702474,312690.591583474,0.018179444847189613,8.66739778319456e-09,0.16065621627281593,3098.197067652452,,,,[],[],11,45359.294341198256,11437.041265419335,158337.32687060419,"[22, 115, 156, 187, 211, 258, 284, 330, 377, 424, 457]","[158337.32687060419, 22301.99951909362, 18944.955873484047, 76214.33261232683, 14156.767599180113, 20485.0969137535, 71127.73550898788, 27677.098357813753, 22718.181960361275, 11437.041265419335, 55551.701272156235]","[0, 84, 84, 84, 206, 215, 215, 310, 362, 84, 84]","[84, 121, 165, 392, 215, 273, 392, 392, 392, 426, 469]",854059699349.9233,126042.5093005758,-126042.5093005758,0.0,,,,CWT,mdp.39015050659344,853772902640.9233,,0.0,-51.5,55.0,0.0,-47.0,,124507.5093005758,44442.38525028917,438436.2377531808,44442.38525028917,,1933812.749028611,44442.38525028917,,,11426.041265419335,0.0,-47.0,156802.32687060419,124507.5093005758,,2919.097067652452,0.0,0.9999999999999999,0.6561793396344455,0.0,0.9976695408995568,1.0,0.0,,0.03197575597385924,0.07281353735047931,0.07281353735047931,0.07281353735047931,,0.013693249851573722,0.9622319936685475,0.45438347650649447,,,,,0.16666666666666669,,0.0,0.9333333333333332,1.0,0.0,0.0,1.0,1.250279270420897,0.407981198500682,5,1.7271574861770453,1.0,1,0,0.3414803634322796,0.562392370702682,3,0,0.5219784115048575,0.993239120392407,2,1.707825127659933,0.8292174872340067,2.75,1.9672131147540985,0.7771087436170033,2,morl,0.3076923076923077,,,3,2.25,0.0,1.0,0.6090222385461496,0.0,0.8935504070131501,0.6402117780441047,0.0,,0.03197575597385924,0.07281353735047931,0.07281353735047931,0.0728135373504793,,1.0,0.013377230128220622,0.8524148144722473,0.45082450620310344,,,,,0.4117647058823529,,0.0,0.6829268292682926,0.8604651162790697,0.0,0.0,0.6065573770491803,1.7737897381268886,0.4918446748446665,8,1.5180159932959767,0.9332192687695061,5,2.1213203435596424,0.8939339828220179,6.5,6.153846153846153,0.784466991411009,4,11.0,11.0,9.899494936611665,2,0.9513513513513514,1.0,0.03405405405405401,3,3.75
smoothed,gaus2,7801830326.837055,0.6183782878204054,945.6904061678821,-41.43328033323242,470,127,118729.65975378006,,False,14.552756177110119,803725.3007829041,0.013653007562846577,1.5422130788646087e-06,0.19495980288061174,126270.45439567967,,,,[],[],4,129412.39005382071,27984.486960072303,236934.67096079624,"[33, 68, 353, 432]","[27984.486960072303, 236934.67096079624, 31910.813532330154, 220819.58876208414]","[0, 0, 218, 218]","[49, 218, 380, 469]",8669984976336.1875,221224.07524507452,-221224.07524507452,0.0,,,,CWT,mdp.39015050659344,8669760472988.508,,0.0,-56.0,54.0,0.0,-51.5,,220077.07524507452,129036.84522623451,495867.96021528286,129036.84522623451,,0.0,129036.84522623451,,,27958.886960072305,0.0,-56.0,235787.67096079624,220077.07524507452,,125590.75439567967,0.5827815341522553,0.35488677602536867,0.677220410957756,0.30350964482456577,0.38760662318113376,0.738989167736353,0.09530708939840098,,0.2165559327136495,1.0,1.0,1.0,,0.6120890464087401,0.9602248749223959,0.7147358540336488,,,,,0.6666666666666667,,0.28320559280162966,0.12000000000000002,0.11111111111111113,0.19742136226766266,0.19742136226766266,0.2666666666666666,2.672174119915478,0.9020562165266418,2,1.3668927058784137,0.8023092154131404,6,0,0.5247213192757026,0.9341253537408621,2,0,0.4486144637536906,0.844268277268091,6,2.309401076758503,0.7690598923241497,4.0,2.9999999999999996,0.6845299461620749,4,gaus,0.8392857142857143,1.0,0.11249999999999998,1,3.25,0.5634820163662639,0.28942580233121434,0.7105739316623241,0.2866303537137344,0.49050302650803534,0.7389891677363529,0.0929785346985875,,0.12146627189133068,0.4897864052228015,0.4897864052228015,0.4897864052228014,,0.0,0.6122855317685605,0.9664007556673022,0.7843343040913442,,,,,0.3529411764705882,,0.2738824240526618,0.46341463414634143,0.441860465116279,0.19353886398345782,0.19353886398345782,0.4590163934426229,2.19662195885426,0.6090895611168776,4,1.3702905205738274,0.8424031915732006,8,2.8284271247461903,0.8585786437626906,6.0,5.333333333333333,0.7792893218813453,5,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,4.25
raw,gaus1,23902708315.480656,0.5858267716535434,565.2346134143462,-44.23931113848954,470,127,171823.88788088376,,False,13.971292388778023,5593852.644644843,0.022853280473205315,1.2811358413716616e-07,-0.030918259118564637,0.0,,,,[],[],1,51568.26349611384,51568.26349611384,51568.26349611384,[196],[51568.26349611384],[4],[229],29391807593843.273,619842.8963518674,-619842.8963518674,0.0,,,,CWT,mdp.39015050659344,29391520797134.273,,0.0,-65.5,65.0,0.0,-65.5,,618307.8963518674,50651.35440520475,8947.73650388616,50651.35440520475,,1933812.749028611,50651.35440520475,,,51557.26349611384,0.0,-65.5,50033.26349611384,618307.8963518674,,179.10000000000005,0.9050491466586755,0.0,0.0,1.0000000000000002,0.09484968538802185,0.0,0.9999999999999999,,0.24920174647500226,0.10341804355327464,0.10341804355327464,0.10341804355327464,,0.0,0.0,0.0,,,,,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,1.4678367631404479,0.4789728311082078,3,1.2094546181528114,0.7002572885405275,7,0,0.32567541979534487,0.5363628220883566,4,0,0.4285569760066712,0.815473484161394,4,1.7320508075688772,0.8267949192431123,4.5,4.097560975609757,0.6883974596215562,4,gaus,1.0,1.0,0.0,1,3.25,0.9050491466586756,0.13125499329935808,0.0,0.9999999999999999,0.08495094969734951,0.08857189189523335,1.0,,0.24920174647500232,0.10341804355327462,0.10341804355327462,0.10341804355327461,,1.0,0.0,0.0,0.0,,,,,1.0,,0.9999999999999999,0.0,0.0,1.0,1.0,0.0,2.067836763140448,0.5733794026075857,5,1.3196768766142504,0.8112878225558025,9,2.8284271247461903,0.8585786437626906,7.0,6.428571428571429,0.7542893218813453,6,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,5.0
raw,gaus8,1765400482.5002325,0.6431898140392025,461.3057490279663,-30.81842655031895,470,127,37065.16393225325,,False,14.365632762633819,399531.015553461,0.015513397193285306,1.192670816620033e-07,0.10463801824009021,5075.65716225803,,,,[],[],13,38522.54648640722,5529.7086942984315,179404.13002269925,"[22, 93, 162, 186, 210, 236, 259, 283, 328, 352, 378, 434, 457]","[179404.13002269925, 10923.631803258522, 12688.477458655338, 57742.921872633306, 6799.926268725427, 10132.881376952198, 19031.2247992518, 71644.75066218838, 14548.48962534216, 19665.915312923335, 10008.670148877583, 82672.37627748825, 5529.7086942984315]","[0, 85, 122, 122, 206, 217, 122, 122, 313, 344, 362, 122, 452]","[122, 122, 166, 217, 217, 240, 270, 362, 362, 362, 382, 469, 469]",1349208108683.7012,148786.74520519996,-148786.74520519996,0.0,,,,CWT,mdp.39015050659344,1348921311974.7012,,0.0,-50.5,53.0,0.0,-59.5,,147251.74520519996,37605.63739549813,440277.1043232939,37605.63739549814,,1933812.749028611,37605.63739549813,,,5518.7086942984315,0.0,-50.5,177869.13002269925,147251.74520519996,,4896.55716225803,0.03811591785627953,0.8708086248075813,0.5192150136225722,0.01917873859537232,0.8927988813796307,0.7075904923227256,0.016443431028526675,,0.0,0.039114659661056386,0.039114659661056386,0.03911465966105642,,0.023575689313507266,0.9663562966584651,0.5440387282487702,,,,,0.0,,0.017350647681253148,1.0,0.8108108108108107,0.04605957488296114,0.04605957488296114,0.3243243243243244,1.0752336505450788,0.3508617024978492,7,1.449849948242758,0.8394428185306424,3,0,0.27827997327044457,0.45830610086509693,6,0,0.43773587137324127,0.8329394133245988,3,2.0615528128088303,0.793844718719117,4.75,4.097560975609757,0.6594223593595585,6,gaus,1.0,1.0,0.0,1,4.75,0.038115917856279546,0.887765637892797,0.4819010151391684,0.01917873859537232,0.7996242955541637,0.4789070305201655,0.016443431028526675,,0.0,0.03911465966105637,0.03911465966105637,0.039114659661056414,,1.0,0.023031597670144975,0.85606842086978,0.5397775308728918,,,,,0.2941176470588235,,0.017350647681253127,0.7317073170731707,0.6976744186046511,0.04605957488296117,0.04605957488296117,0.19672131147540983,1.6716706168815634,0.4635286095835329,10,1.3126239378009747,0.8069519404365961,10,0.0,1.0,10.0,10.0,0.75,7,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,5.75
raw,gaus7,1959406126.7165787,0.650896297537276,458.06135400941594,-31.488077145567416,470,127,38113.5549886255,,False,14.299030149105853,469250.098115047,0.018440471993753153,1.0995331201282359e-07,0.01115758055220552,0.0,,,,[],[],11,33279.785907991434,5846.82550891199,169745.62821382808,"[72, 96, 164, 199, 261, 285, 309, 333, 357, 380, 404]","[169745.62821382808, 6784.038062395535, 10546.213274762173, 40392.512868610735, 15195.325416640813, 5846.82550891199, 62293.11800376482, 17630.779394249694, 21321.451293470993, 9516.15166470233, 6805.601286568613]","[4, 91, 132, 132, 230, 230, 230, 325, 350, 375, 401]","[415, 415, 168, 230, 275, 289, 415, 415, 415, 415, 415]",1559073229610.929,222311.7723705733,-222311.7723705733,0.0,,,,CWT,mdp.39015050659344,1558786432901.929,,0.0,-56.0,55.0,0.0,-60.5,,220776.7723705733,32362.876817082342,305561.6449879058,32362.876817082346,,1933812.749028611,32362.876817082342,,,5835.82550891199,0.0,-60.5,168210.62821382808,220776.7723705733,,179.10000000000005,0.04486045369720079,0.8273586189514931,0.43152154071718957,0.027774402626226415,1.0,0.2196317624506634,0.029644897270444295,,0.0017165192169579617,0.0132726729095409,0.0132726729095409,0.013272672909540914,,0.0,0.6645379135417937,0.5029344655433272,,,,,0.16666666666666669,,0.0247045959221276,0.6333333333333333,0.2702702702702703,0.1949558274849994,0.1949558274849994,0.2702702702702703,0.8976122609623792,0.2929017017878389,9,1.2392319430402072,0.7174979426937895,5,0,0.211725979175955,0.3486966986074615,9,0,0.36868452510188826,0.701546051222243,7,1.9148542155126762,0.8085145784487324,7.5,7.078651685393258,0.5292572892243662,8,gaus,1.0,1.0,0.0,1,6.25,0.044860453697200806,0.8500186622642069,0.4005097369491614,0.0277744026262264,0.8956376539344612,0.20972953232819325,0.029644897270444295,,0.0017165192169579617,0.0132726729095409,0.0132726729095409,0.0132726729095409,,1.0,0.0,0.5886958301208046,0.4989952183656298,,,,,0.4117647058823529,,0.02470459592212758,0.46341463414634143,0.2325581395348837,0.1949558274849994,0.1949558274849994,0.16393442622950818,1.5137305595489206,0.41973425534076153,12,1.1916162366686178,0.7325609466230026,13,0.7071067811865476,0.9646446609406726,12.5,12.48,0.6698223304703363,8,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,6.5
smoothed,gaus4,3563100202.770845,0.6192829619701793,637.4877563984905,-36.99324764005058,470,127,64931.34450507092,,False,14.491507548191557,741413.1376088379,0.023817405128988868,1.2268507070088598e-06,0.1963884436457543,27074.309060890453,,,,[],[],8,58954.9679217402,11096.159299704712,195330.3844561755,"[32, 64, 196, 234, 303, 330, 353, 433]","[195330.3844561755, 12026.526520204789, 12695.845869671059, 11096.159299704712, 14438.838386254647, 12885.518164327768, 39176.65042356495, 173989.8202540182]","[0, 50, 189, 218, 218, 218, 218, 218]","[218, 218, 218, 238, 312, 342, 380, 469]",3119096178696.66,172918.6383086253,-172918.6383086253,0.0,,,,CWT,mdp.39015050659344,3118871675348.98,,0.0,-45.0,50.0,0.0,-36.0,,171771.6383086253,58579.42309415399,449858.14337392163,58579.423094154,,0.0,58579.42309415399,,,11070.559299704712,0.0,-49.5,194183.3844561755,171771.6383086253,,26394.609060890452,0.20898409543690594,0.6617696412477737,0.593746379660632,0.10283806390915724,0.4011540391369804,0.7431029476510355,0.0827701956328438,,0.053164072348037814,0.16365745811279847,0.16365745811279847,0.16365745811279853,,0.1275475995012355,0.8521233061597713,0.4823732258751814,,,,,0.22222222222222224,,0.07793895136925508,1.0,0.5925925925925927,0.09192796315823057,0.09192796315823057,0.9555555555555555,1.4092629199812032,0.4757303680980719,5,1.2988601081329745,0.762376907716331,8,0,0.35988184473419355,0.640672949940895,4,0,0.3991950518107613,0.7512636036435532,7,1.8257418583505538,0.8174258141649446,6.0,5.5721393034825875,0.6087129070824724,5,gaus,0.8392857142857143,1.0,0.11249999999999998,1,4.0,0.21738533500802104,0.5397023003271478,0.6357254545380138,0.09882808532558761,0.5017741598831146,0.7431029476510354,0.08117958542416687,,0.030051570319513766,0.14249612903144823,0.14249612903144823,0.14249612903144823,,0.0,0.12798951567362296,0.8750841095344031,0.6086632686192901,,,,,0.11764705882352938,,0.07937202266564033,1.0,0.7441860465116278,0.09571505054964675,0.09571505054964675,0.9672131147540983,1.4360225168218885,0.39818700755464403,14,1.2867364278138225,0.7910372707314245,11,2.1213203435596424,0.8939339828220179,12.5,12.32,0.6344669914110089,9,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,7.25
raw,gaus6,2258303237.1287737,0.6375272239906182,483.2703607385096,-32.07830350154384,470,127,40905.67547319535,,False,14.265649156454442,490420.2724986369,0.02077085697673307,1.4933940438106876e-07,0.09097950275513164,0.0,,,,[],[],12,40762.683341878044,5878.158888405444,192401.99772808788,"[31, 111, 162, 186, 210, 236, 259, 283, 328, 352, 378, 434]","[192401.99772808788, 5878.158888405444, 13825.30866590387, 49970.421509380154, 7157.684725722866, 8451.498180927638, 16135.971574053627, 44528.78123169216, 16544.22302747807, 22763.8052941966, 7310.409649147489, 104183.9396275407]","[0, 103, 122, 122, 206, 217, 122, 122, 313, 340, 362, 122]","[122, 122, 166, 217, 217, 240, 270, 362, 340, 362, 382, 469]",1803320134000.4624,163931.23994363123,-163931.23994363123,0.0,,,,CWT,mdp.39015050659344,1803033337291.4624,,0.0,-51.0,54.0,0.0,-60.0,,162396.23994363123,39845.774250968956,428636.20010253653,39845.774250968956,,1933812.749028611,39845.774250968956,,,5867.158888405444,0.0,-55.5,190866.99772808788,162396.23994363123,,179.10000000000005,0.06282279376667312,0.7890620224793017,0.38756988447471874,0.04101741496885315,0.8140293637846656,0.6362943791163359,0.03365351775413463,,0.001886123430781473,0.05015647362047834,0.05015647362047834,0.05015647362047834,,0.0,0.9402758534245675,0.5993545297411065,,,,,0.08333333333333337,,0.033263326810512216,0.9666666666666667,0.5405405405405405,0.07672883949991699,0.07672883949991699,0.29729729729729737,1.1063585675892382,0.36101813815132977,6,1.3001686056014234,0.7527794170520402,4,0,0.26903891222186255,0.4430867711833452,7,0,0.39492133947781194,0.7514703964791901,5,1.2909944487358056,0.8709005551264195,5.5,5.266457680250784,0.6604502775632097,5,gaus,1.0,1.0,0.0,1,4.0,0.06282279376667313,0.8167486853053612,0.35971671824864504,0.04101741496885314,0.72907534961386,0.4395772507481357,0.03365351775413463,,0.001886123430781473,0.05015647362047834,0.05015647362047834,0.05015647362047833,,1.0,0.0,0.8329644747041377,0.5946600699228235,,,,,0.3529411764705882,,0.033263326810512195,0.7073170731707317,0.4651162790697674,0.076728839499917,0.076728839499917,0.180327868852459,1.7013275143891453,0.4717520121650145,9,1.1901855631684202,0.7316814222414423,14,3.5355339059327378,0.8232233047033631,11.5,10.956521739130435,0.6241116523516816,10,11.5625,11.5,5.0723925978444,16,1.0,0.512389028968032,0.14628329130959042,2,8.0
