wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank
bior2.8,1,symmetric,5.368778504812236e-29,341.88143662410107,271611.53111767344,0.6274509803921569,12.267756928909074,85,smoothed,2.842170943040402e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666652, 7.199999999999992, 20.19999999999994, 27.26666666666666, 19.733333333333352, 2.9333333333332816, 34.60000000000002, 0.9333333333332803, 9.333333333333316, 14.733333333333402, 31.266666666666715, 2.133333333333328, 1.8666666666666738, 20.399999999999974, 11.466666666666644, 7.733333333333351, 6.533333333333418, 6.79999999999996, 2.5333333333334096, 5.933333333333358, 505.5333333333334]",22,3.3541049540706642,8930.076194112056,0.6864526957226019,3.4244153930183933e-05,0.9999999999999998,24,31.847222222222218,2.0000000000000004,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666652, 7.199999999999992, 27.26666666666677, 14.866666666666674, 39.066666666666606, 2.0000000000000004, 30.59999999999991, 5.599999999999911, 2.9333333333332816, 27.53333333333336, 8.866666666666562, 9.333333333333316, 5.000000000000055, 68.13333333333338, 5.19999999999999, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000136, 9.266666666666652, 12.866666666666678, 5.933333333333358]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666633,178.4666666666667,13.854738562091502,5.684341886080802e-14,0.0,13.854738562091502,12.600000000000023,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.9131597458233467,0.4780605384768152,0.6687831785876905,0.5720265903116155,0.7158676200318639,,0,,21,1.6364753901636528,0.8553982141478308,23,0,0,0.6695795346462664,0.839101177335909,23,1.1547005383792515,0.9983551274382062,22.333333333333332,22.292307692307695,0.9832706311455038,1,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,2.0
bior2.8,1,reflect,5.353697340447716e-29,341.8936533376244,279918.91915066395,0.6372549019607843,13.837395239332437,85,smoothed,2.7951497325856897e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666652, 7.199999999999992, 20.19999999999994, 27.26666666666666, 19.733333333333352, 2.9333333333332816, 34.60000000000002, 0.9333333333332803, 9.333333333333316, 14.733333333333402, 31.266666666666715, 2.133333333333328, 1.8666666666666738, 20.399999999999974, 11.466666666666644, 7.733333333333351, 6.533333333333418, 6.79999999999996, 2.5333333333334096, 5.933333333333358, 505.5333333333334]",22,3.388645976835272,9065.745709363287,0.7262188598154357,3.4244153930183933e-05,0.9999999999999998,24,31.847222222222218,2.0000000000000004,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666652, 7.199999999999992, 27.26666666666677, 14.866666666666674, 39.066666666666606, 2.0000000000000004, 30.59999999999991, 5.599999999999911, 2.9333333333332816, 27.53333333333336, 8.866666666666562, 9.333333333333316, 5.000000000000055, 68.13333333333338, 5.19999999999999, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000136, 9.266666666666652, 12.866666666666678, 5.933333333333358]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666633,178.4666666666667,13.854738562091502,5.684341886080802e-14,0.0,13.854738562091502,12.600000000000023,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.913267326480973,0.49236254738390883,0.7040532940626245,0.631268732941511,0.7334075023212283,,0,,25,1.6920388107169462,0.8844416394256646,18,0,0,0.6948718806380493,0.8707969449051852,19,3.7859388972001824,0.9946069246478629,20.666666666666668,20.244672454617206,0.98258361427075,2,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,2.75
bior2.8,1,periodic,5.369497216551483e-29,341.8808552783599,270818.10176686855,0.6176470588235294,13.103897606001347,85,smoothed,2.849028202898381e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666652, 7.199999999999992, 20.19999999999994, 27.26666666666666, 19.733333333333352, 2.9333333333332816, 34.60000000000002, 0.9333333333332803, 9.333333333333316, 14.733333333333402, 31.266666666666715, 2.133333333333328, 1.8666666666666738, 20.399999999999974, 11.466666666666644, 7.733333333333351, 6.533333333333418, 6.79999999999996, 2.5333333333334096, 5.933333333333358, 505.5333333333334]",22,3.4164401341251383,9065.653008416568,0.6761567125218244,3.4244153930183933e-05,0.9999999999999998,24,31.847222222222218,2.0000000000000004,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666652, 7.199999999999992, 27.26666666666677, 14.866666666666674, 39.066666666666606, 2.0000000000000004, 30.59999999999991, 5.599999999999911, 2.9333333333332816, 27.53333333333336, 8.866666666666562, 9.333333333333316, 5.000000000000055, 68.13333333333338, 5.19999999999999, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000136, 9.266666666666652, 12.866666666666678, 5.933333333333358]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666633,178.4666666666667,13.854738562091502,5.684341886080802e-14,0.0,13.854738562091502,12.600000000000023,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.9131546264795047,0.5038709583488595,0.6654145692591076,0.51278444768172,0.7333955175825008,,0,,22,1.6310075257973746,0.8525401195854376,24,0,0,0.6657240238703386,0.834269542759411,24,1.1547005383792515,0.9983551274382062,23.333333333333332,23.294117647058822,0.9825583804332532,3,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,3.5
bior2.8,1,antisymmetric,5.365298236112732e-29,341.8842528170186,271656.41755115584,0.6274509803921569,12.211796378265689,85,smoothed,2.8264972062221646e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666652, 7.199999999999992, 20.19999999999994, 27.26666666666666, 19.733333333333352, 2.9333333333332816, 34.60000000000002, 0.9333333333332803, 9.333333333333316, 14.733333333333402, 31.266666666666715, 2.133333333333328, 1.8666666666666738, 20.399999999999974, 11.466666666666644, 7.733333333333351, 6.533333333333418, 6.79999999999996, 2.5333333333334096, 5.933333333333358, 505.5333333333334]",22,3.353252853007934,8746.519318227802,0.700768073784647,3.4244153930183933e-05,0.9999999999999998,24,31.847222222222218,2.0000000000000004,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666652, 7.199999999999992, 27.26666666666677, 14.866666666666674, 39.066666666666606, 2.0000000000000004, 30.59999999999991, 5.599999999999911, 2.9333333333332816, 27.53333333333336, 8.866666666666562, 9.333333333333316, 5.000000000000055, 68.13333333333338, 5.19999999999999, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000136, 9.266666666666652, 12.866666666666678, 5.933333333333358]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666633,178.4666666666667,13.854738562091502,5.684341886080802e-14,0.0,13.854738562091502,12.600000000000023,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.9131845452823412,0.4777077186697133,0.6689737498822894,0.5720265903116155,0.6921366736180629,,0,,26,1.6269167670172775,0.850401848655097,25,0,0,0.6648058555528046,0.8331189160207334,25,0.5773502691896258,0.999177563719103,25.333333333333332,25.324675324675322,0.9815450971492001,4,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,4.25
bior2.8,1,antireflect,5.382749941536108e-29,341.8701494451308,280082.13929317583,0.6274509803921569,13.663021080021187,85,smoothed,2.8764731890475193e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.266666666666652, 7.199999999999992, 20.19999999999994, 27.26666666666666, 19.733333333333352, 2.9333333333332816, 34.60000000000002, 0.9333333333332803, 9.333333333333316, 14.733333333333402, 31.266666666666715, 2.133333333333328, 1.8666666666666738, 20.399999999999974, 11.466666666666644, 7.733333333333351, 6.533333333333418, 6.79999999999996, 2.5333333333334096, 5.933333333333358, 505.5333333333334]",22,3.385453120739487,9291.233516849636,0.708234351129019,3.4244153930183933e-05,0.9999999999999998,24,31.847222222222218,2.0000000000000004,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.266666666666652, 7.199999999999992, 27.26666666666677, 14.866666666666674, 39.066666666666606, 2.0000000000000004, 30.59999999999991, 5.599999999999911, 2.9333333333332816, 27.53333333333336, 8.866666666666562, 9.333333333333316, 5.000000000000055, 68.13333333333338, 5.19999999999999, 4.1333333333333275, 23.066666666666656, 19.333333333333375, 11.86666666666656, 4.600000000000136, 9.266666666666652, 12.866666666666678, 5.933333333333358]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666633,178.4666666666667,13.854738562091502,5.684341886080802e-14,0.0,13.854738562091502,12.600000000000023,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.9130603506681727,0.4910405177314523,0.7047462667817713,0.5720265903116155,0.7625594425612563,,0,,27,1.6795640158066643,0.8779209686277686,20,0,0,0.6886866336108537,0.8630457401653703,20,4.041451884327381,0.9942429460337217,22.333333333333332,21.89189189189189,0.9812145404432615,5,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,5.0
bior3.7,1,periodic,1.2005712544525468e-28,338.3863120868615,341822.13768843585,0.61,12.108517734241806,85,smoothed,4.4937909602621785e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.26666666666664, 7.199999999999985, 20.199999999999925, 27.266666666666655, 19.73333333333335, 2.9333333333332767, 34.60000000000002, 0.9333333333332812, 9.333333333333313, 14.733333333333402, 31.2666666666667, 2.133333333333326, 1.8666666666666698, 20.399999999999974, 11.466666666666637, 7.733333333333348, 6.533333333333415, 6.799999999999954, 2.5333333333334416, 5.933333333333355, 505.5333333333333]",22,3.2317186462542424,11045.721367570732,0.7843325383392801,3.424415393018395e-05,0.9999999999999998,24,31.847222222222214,2.0000000000000013,404.3999999999999,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.3999999999999, 15.26666666666664, 7.199999999999985, 27.266666666666758, 14.866666666666676, 39.066666666666606, 2.0000000000000013, 30.59999999999991, 5.599999999999912, 2.9333333333332767, 27.533333333333353, 8.866666666666564, 9.333333333333313, 5.000000000000057, 68.13333333333338, 5.199999999999994, 4.133333333333325, 23.06666666666666, 19.333333333333368, 11.86666666666656, 4.600000000000136, 9.26666666666665, 12.86666666666667, 5.933333333333355]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666642,178.46666666666675,13.854738562091505,5.684341886080802e-14,0.0,13.854738562091505,12.600000000000136,26.078594771241846,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.8823815995171936,0.42738543031845844,0.9668716019864603,0.46657557643040115,0.9893864517296916,,0,,31,1.8089422871268128,0.9455479814762302,13,0,0,0.7465201319964411,0.9355213074039027,13,10.392304845413264,0.9851961469438557,19.0,16.12,0.9790653099391643,6,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,5.75
bior2.6,1,antireflect,5.363218894091887e-29,341.88593626826537,273079.4914215956,0.6428571428571429,11.948943676349012,85,smoothed,2.3520791260965363e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.26666666666665, 15.26666666666664, 7.199999999999992, 20.19999999999994, 27.26666666666665, 19.73333333333335, 2.9333333333332816, 34.60000000000002, 0.9333333333332794, 9.333333333333314, 14.733333333333405, 31.26666666666671, 2.133333333333325, 1.8666666666666738, 20.399999999999977, 11.46666666666664, 7.733333333333348, 6.5333333333334185, 6.799999999999956, 2.533333333333424, 5.933333333333302, 505.5333333333334]",22,3.0211535883571163,8398.639105556673,0.7534293690040735,3.4244153930183933e-05,1.0,24,31.847222222222214,1.9999999999999987,404.4,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.4, 15.26666666666664, 7.199999999999992, 27.266666666666772, 14.866666666666674, 39.066666666666606, 1.9999999999999987, 30.59999999999991, 5.599999999999913, 2.9333333333332816, 27.53333333333336, 8.866666666666559, 9.333333333333314, 5.0000000000000595, 68.13333333333338, 5.19999999999999, 4.133333333333326, 23.066666666666663, 19.33333333333337, 11.86666666666656, 4.600000000000136, 9.266666666666653, 12.86666666666668, 5.933333333333302]","[4, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.6000000001,505.5333333333334,-505.5333333333334,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666615,178.4666666666667,13.854738562091505,5.684341886080802e-14,0.0,13.854738562091505,12.600000000000136,26.078594771241843,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.9131993697923753,0.3401991488325179,0.6750155983598674,0.6651213858728805,0.647161367487194,,0,,18,1.5804400968156473,0.8261081373478733,29,0,0,0.648139374068967,0.8122328770791112,29,6.3508529610858835,0.9909532009101341,25.333333333333332,24.092307692307692,0.9774329157447157,7,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,6.5
bior3.7,1,reflect,1.2018954842308087e-28,338.38152445975766,340101.1995139578,0.62,13.567480549262362,85,smoothed,4.502199266992796e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.26666666666664, 7.199999999999985, 20.199999999999925, 27.266666666666655, 19.73333333333335, 2.9333333333332767, 34.60000000000002, 0.9333333333332812, 9.333333333333313, 14.733333333333402, 31.2666666666667, 2.133333333333326, 1.8666666666666698, 20.399999999999974, 11.466666666666637, 7.733333333333348, 6.533333333333415, 6.799999999999954, 2.5333333333334416, 5.933333333333355, 505.5333333333333]",22,3.273913216424471,10918.002089305806,0.7937406582015385,3.424415393018395e-05,0.9999999999999998,24,31.847222222222214,2.0000000000000013,404.3999999999999,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.3999999999999, 15.26666666666664, 7.199999999999985, 27.266666666666758, 14.866666666666676, 39.066666666666606, 2.0000000000000013, 30.59999999999991, 5.599999999999912, 2.9333333333332767, 27.533333333333353, 8.866666666666564, 9.333333333333313, 5.000000000000057, 68.13333333333338, 5.199999999999994, 4.133333333333325, 23.06666666666666, 19.333333333333368, 11.86666666666656, 4.600000000000136, 9.26666666666665, 12.86666666666667, 5.933333333333355]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666642,178.46666666666675,13.854738562091505,5.684341886080802e-14,0.0,13.854738562091505,12.600000000000136,26.078594771241846,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.8823394395638382,0.44485645665482776,0.9595651311802309,0.5270025619128949,0.9728744069810903,,0,,34,1.8315652452134263,0.9573731748536235,10,0,0,0.7573275992585764,0.9490649688129509,10,13.856406460551018,0.9802615292584743,18.0,13.076923076923077,0.9773102518087243,8,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,7.25
bior3.7,1,antireflect,1.200640859826537e-28,338.38606030377525,340256.0258833819,0.62,12.912257728145365,85,smoothed,4.488566381322766e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.26666666666664, 7.199999999999985, 20.199999999999925, 27.266666666666655, 19.73333333333335, 2.9333333333332767, 34.60000000000002, 0.9333333333332812, 9.333333333333313, 14.733333333333402, 31.2666666666667, 2.133333333333326, 1.8666666666666698, 20.399999999999974, 11.466666666666637, 7.733333333333348, 6.533333333333415, 6.799999999999954, 2.5333333333334416, 5.933333333333355, 505.5333333333333]",22,3.2713445451130783,11127.816271354744,0.7784448247010558,3.424415393018395e-05,0.9999999999999998,24,31.847222222222214,2.0000000000000013,404.3999999999999,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.3999999999999, 15.26666666666664, 7.199999999999985, 27.266666666666758, 14.866666666666676, 39.066666666666606, 2.0000000000000013, 30.59999999999991, 5.599999999999912, 2.9333333333332767, 27.533333333333353, 8.866666666666564, 9.333333333333313, 5.000000000000057, 68.13333333333338, 5.199999999999994, 4.133333333333325, 23.06666666666666, 19.333333333333368, 11.86666666666656, 4.600000000000136, 9.26666666666665, 12.86666666666667, 5.933333333333355]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666642,178.46666666666675,13.854738562091505,5.684341886080802e-14,0.0,13.854738562091505,12.600000000000136,26.078594771241846,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.8823793823095997,0.4437928761052507,0.9602224670247188,0.5270025619128949,1.0,,0,,36,1.8422363257159025,0.9629510303225853,9,0,0,0.7626794574704928,0.955771790473691,8,15.88500340992514,0.9773717900143517,17.666666666666668,11.368421052631579,0.9761027990907466,9,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,8.0
bior3.7,1,antisymmetric,1.199382162646883e-28,338.3906156374909,318617.96169187344,0.63,12.912257728145365,85,smoothed,4.465055776095409e-15,,"[7, 10, 12, 16, 22, 26, 29, 33, 35, 37, 43, 48, 50, 52, 54, 59, 61, 65, 69, 73, 76, 78]","[404.2666666666666, 15.26666666666664, 7.199999999999985, 20.199999999999925, 27.266666666666655, 19.73333333333335, 2.9333333333332767, 34.60000000000002, 0.9333333333332812, 9.333333333333313, 14.733333333333402, 31.2666666666667, 2.133333333333326, 1.8666666666666698, 20.399999999999974, 11.466666666666637, 7.733333333333348, 6.533333333333415, 6.799999999999954, 2.5333333333334416, 5.933333333333355, 505.5333333333333]",22,2.8359663135520194,8825.721404907616,0.7826268345529122,3.424415393018395e-05,0.9999999999999998,24,31.847222222222214,2.0000000000000013,404.3999999999999,"[7, 10, 12, 16, 20, 22, 24, 26, 28, 30, 34, 36, 39, 44, 48, 50, 52, 54, 59, 61, 63, 68, 73, 77]","[404.3999999999999, 15.26666666666664, 7.199999999999985, 27.266666666666758, 14.866666666666676, 39.066666666666606, 2.0000000000000013, 30.59999999999991, 5.599999999999912, 2.9333333333332767, 27.533333333333353, 8.866666666666564, 9.333333333333313, 5.000000000000057, 68.13333333333338, 5.199999999999994, 4.133333333333325, 23.06666666666666, 19.333333333333368, 11.86666666666656, 4.600000000000136, 9.26666666666665, 12.86666666666667, 5.933333333333355]","[3, 9, 11, 14, 17, 21, 23, 25, 27, 29, 33, 35, 37, 43, 33, 49, 51, 49, 56, 60, 62, 65, 69, 76]","[78, 33, 21, 21, 21, 33, 25, 33, 33, 33, 43, 43, 43, 46, 78, 53, 53, 78, 78, 78, 69, 69, 78, 78]",0.05,30,431035.59999999986,505.5333333333333,-505.5333333333333,DWT,inu.32000013032919,0.0,-15.5,1.0666666666666642,178.46666666666675,13.854738562091505,5.684341886080802e-14,0.0,13.854738562091505,12.600000000000136,26.078594771241846,0.0,5.684341886080802e-14,0.0,-15.5,0.0,-15.5,7.0,0.8824194966820862,0.26352075769765254,0.868355201446442,0.5874295473953886,0.7023762272485412,,0,,35,1.6113119874388708,0.842245110910202,26,0,0,0.6608202460940221,0.8281242448633597,27,4.932882862316248,0.9929731013357318,29.333333333333332,28.826750097770827,0.9755938631085117,10,bior,261.4592592592593,201.0,225.44078757168091,135,0.4639121487246002,1.0,0.37526149589277985,5,8.75
