wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,max_autocorrelation_diff,prominence_min_diff,prominence_max_diff,avg_prominence_diff,upper_envelope_diff,prominence_threshold_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,distance_factor_diff,lower_envelope_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,relative_num_peaks_diff,emd_value_normalized,wavelet_mse_normalized,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,kl_divergence_normalized,prominence_min_diff_normalized,avg_prominence_diff_normalized,relative_prominences_avg_diff_normalized,relative_prominences_wasserstein_normalized,relative_prominences_total_diff_normalized,prominence_max_diff_normalized,relative_num_peaks_diff_normalized,max_autocorrelation_diff_normalized,relative_right_bases_global_alignment_score_normalized,relative_right_bases_array_alignment_score_normalized,relative_left_bases_global_alignment_score_normalized,relative_left_bases_array_alignment_score_normalized,upper_envelope_diff_normalized,lower_envelope_diff_normalized,relative_peaks_array_alignment_score_normalized,relative_peaks_global_alignment_score_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,top_wavelet_rank
db30,1,smooth,3.5868602683741694e-27,324.49583383651367,151482944.05443716,0.6,122.7833648888015,201,smoothed,4.1315762309433694e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181315, 110.24645928771983, 239.1805461143127, 54.2464592877197, 191.57979262105317, 372.0275787728024, 286.0821530959066, 337.7150261891861, 232.7440988128665, 275.0927450207706, 248.1560143178497, 6.164306191813068, 380.82625190877314, 41.16263221844562, 278.2717380096219, 328.9605584289774, 293.16902714151985, 479.6480058453607, 348.0960929675057, 63.78636438270703, 142.43176920677132]",21,4.314255547918921,2101965.3993515125,0.9992642575765118,3.5215713845328254e-05,1.0,22,356.9232557061676,4.748819762573021,876.7884843111178,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.462695926309, 53.83097285847987, 110.24645928771983, 488.07743214619967, 305.91312595438654, 9.91784690409338, 644.3493931333433, 576.9131259543866, 629.2464592877199, 232.7440988128665, 501.24645928771974, 461.410765479533, 166.5797926210531, 4.748819762573021, 474.5118023742673, 88.49763952514661, 490.5165233239742, 420.2417383380126, 876.7884843111178, 153.84041475789377, 43.251180237426645, 577.9763952514653]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595428,516.6221696796545,-516.6221696796545,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.5845135707603077,1.1368683772161603e-13,0.0,442.04449698701217,0.0,5.743410960499091,126.35504113097977,11.802127862039919,0.0,442.04449698701217,0.5,38.5,0.9545454545454546,83.5,0.0,5.763314374751364e-14,6.891440933477228e-27,0.9668226700292083,0.15186184273378656,0.5322202819743244,0.27414548641542474,0.5504320917162183,,4.505898147967852e-10,0.0,3.7272034977839277e-10,2.670711323094826e-11,0.9999999893264686,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919968883,0.9999999919968883,1.0,1.0,2.1999999896001157,0.8735612209874272,128,1.2519656956242549,0.7276834249566857,47,0,0,0.6249999981210315,0.9999999965165614,123,0,0,0.3536403389812886,0.7064486057489794,47,45.36794022214365,0.9519915976485253,86.25,68.38100958761694,0.930360878189342,1,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,1.0,1
db28,1,constant,2.9536365176678062e-27,325.3394079321621,2081756.2882437257,0.62109375,111.46129046140675,201,smoothed,3.714441689551868e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181315, 110.24645928771983, 239.1805461143128, 54.2464592877198, 191.57979262105323, 372.0275787728023, 286.0821530959065, 337.71502618918595, 232.74409881286647, 275.0927450207705, 248.15601431784958, 6.164306191813068, 380.82625190877303, 41.162632218445694, 278.27173800962186, 328.9605584289772, 293.16902714152, 479.6480058453606, 348.0960929675057, 63.78636438270699, 142.43176920677138]",21,6.35852385610292,47715.49367949052,0.9720866425764744,3.521571384532826e-05,1.0,22,356.92325570616754,4.748819762573191,876.7884843111177,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.462695926309, 53.83097285847989, 110.24645928771983, 488.0774321461997, 305.9131259543864, 9.91784690409338, 644.349393133343, 576.9131259543865, 629.2464592877197, 232.74409881286647, 501.24645928771963, 461.41076547953287, 166.57979262105312, 4.748819762573191, 474.5118023742673, 88.49763952514664, 490.5165233239742, 420.24173833801274, 876.7884843111177, 153.8404147578938, 43.25118023742665, 577.9763952514653]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595428,516.6221696796543,-516.6221696796543,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.584513570760137,0.0,5.684341886080802e-14,442.0444969870123,0.0,5.743410960499148,126.35504113098068,11.802127862039942,0.0,442.0444969870123,0.5,38.5,0.9545454545454546,83.5,0.0,4.959210211321674e-14,5.4976236540262965e-27,0.9699472070744877,0.9184715252888038,0.0032659967189076346,0.4011147020157755,0.005345957346103095,,4.499539872124059e-10,3.2482294075998564e-15,3.7272980320750936e-10,2.670875339927703e-11,0.9999999893265547,0.0,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919969813,0.9999999919969813,1.0,1.0,2.19999998959998,0.8735612209873734,139,1.2054213489933145,0.7006303278253895,100,0,0,0.6249999981210059,0.9999999965165205,137,0,0,0.3283064840634467,0.6558405033574044,115,18.661457606521523,0.9802524258132047,122.75,120.521253755205,0.9251791229595123,2,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,1.75,2
db30,1,antisymmetric,3.6990629769282166e-27,324.36206116764697,1550502.5520924488,0.6115384615384616,126.57273516245628,201,smoothed,4.230115428750895e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181318, 110.24645928771977, 239.18054611431268, 54.246459287719716, 191.57979262105317, 372.02757877280237, 286.0821530959066, 337.7150261891861, 232.7440988128665, 275.0927450207706, 248.1560143178497, 6.164306191813068, 380.82625190877314, 41.16263221844562, 278.2717380096219, 328.9605584289774, 293.1690271415199, 479.6480058453607, 348.0960929675057, 63.78636438270702, 142.4317692067713]",21,6.424848978870894,38212.576734622366,0.9130025411641972,3.521571384532825e-05,1.0,22,356.9232557061676,4.748819762573021,876.7884843111178,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.462695926309, 53.83097285847981, 110.24645928771977, 488.0774321461996, 305.9131259543865, 9.917846904093437, 644.3493931333433, 576.9131259543866, 629.2464592877199, 232.7440988128665, 501.24645928771974, 461.410765479533, 166.5797926210531, 4.748819762573021, 474.5118023742673, 88.49763952514661, 490.5165233239742, 420.2417383380126, 876.7884843111178, 153.84041475789377, 43.25118023742665, 577.9763952514653]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595428,516.6221696796547,-516.6221696796547,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.5845135707603077,1.1368683772161603e-13,0.0,442.04449698701194,0.0,5.743410960499091,126.35504113097977,11.802127862039928,0.0,442.04449698701194,0.5,38.5,0.9545454545454546,83.5,0.0,5.953266947256471e-14,7.138415362041182e-27,0.9663271858012358,0.9433437404999993,0.0013850950708234472,0.3435987325557879,0.0028244003298821766,,4.505898147967852e-10,0.0,3.7272034977839277e-10,2.6707744064920864e-11,0.9999999893264686,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.999999991996702,0.999999991996702,1.0,1.0,2.199999989600041,0.8735612209873975,133,1.1907299824204387,0.6920912248911723,122,0,0,0.6249999981210083,0.9999999965165243,132,0,0,0.3224970220368269,0.6442352482536468,148,10.719919153924002,0.9886561702074879,133.75,133.120196200299,0.9235608893365481,3,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,2.5,3
db30,1,symmetric,3.1999691281961487e-27,324.9915205358102,1586739.3543685635,0.6192307692307693,115.02250923206199,201,smoothed,4.032153273514252e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181318, 110.24645928771979, 239.18054611431268, 54.2464592877198, 191.57979262105317, 372.02757877280237, 286.0821530959066, 337.7150261891861, 232.7440988128665, 275.0927450207706, 248.1560143178497, 6.164306191813068, 380.82625190877314, 41.16263221844562, 278.2717380096219, 328.9605584289774, 293.1690271415199, 479.6480058453606, 348.09609296750585, 63.78636438270701, 142.43176920677138]",21,6.278122938793637,38218.6908897432,0.9523544852457843,3.5215713845328254e-05,1.0,22,356.9232557061676,4.748819762573021,876.7884843111178,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.4626959263089, 53.83097285847991, 110.24645928771979, 488.0774321461997, 305.9131259543865, 9.917846904093409, 644.3493931333433, 576.9131259543866, 629.2464592877199, 232.7440988128665, 501.24645928771974, 461.410765479533, 166.5797926210531, 4.748819762573021, 474.5118023742673, 88.49763952514661, 490.5165233239742, 420.2417383380127, 876.7884843111178, 153.84041475789377, 43.25118023742665, 577.9763952514654]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595427,516.6221696796543,-516.6221696796543,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.5845135707603077,1.1368683772161603e-13,0.0,442.0444969870123,0.0,5.743410960499091,126.35504113097977,11.802127862039917,0.0,442.0444969870123,0.5,38.5,0.9545454545454546,83.5,0.0,5.5716581917305186e-14,6.0398374428547486e-27,0.9686586574816368,0.8883208246939513,0.0015133913188954545,0.3899008966493629,0.0028260226939239384,,4.505898147967852e-10,0.0,3.7272034977839277e-10,2.670698706415374e-11,0.9999999893264686,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919969813,0.9999999919969813,1.0,1.0,2.199999989600153,0.8735612209874419,125,1.1832030702327372,0.6877163372570795,142,0,0,0.6249999981210431,0.99999999651658,120,0,0,0.3216028275482609,0.6424489632061446,156,16.45954636879968,0.9825824906150268,135.75,134.29198443202347,0.9194658484821165,4,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,3.25,4
db32,1,symmetric,3.1717114241285303e-27,325.0300417557782,1585645.7341509839,0.6136363636363636,118.69709050766612,201,smoothed,3.825353522061683e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181318, 110.24645928771986, 239.18054611431276, 54.24645928771977, 191.57979262105317, 372.0275787728025, 286.0821530959067, 337.7150261891858, 232.74409881286635, 275.0927450207705, 248.15601431784958, 6.164306191813125, 380.82625190877314, 41.16263221844565, 278.2717380096217, 328.9605584289771, 293.16902714152013, 479.6480058453608, 348.09609296750574, 63.78636438270698, 142.43176920677135]",21,6.363174164189335,38157.63560701741,0.9589969820531583,3.521571384532827e-05,1.0,22,356.9232557061676,4.748819762573248,876.788484311118,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.462695926309, 53.8309728584799, 110.24645928771986, 488.0774321461997, 305.91312595438654, 9.91784690409338, 644.3493931333433, 576.9131259543867, 629.2464592877197, 232.74409881286635, 501.24645928771974, 461.4107654795331, 166.57979262105317, 4.748819762573248, 474.5118023742672, 88.49763952514661, 490.51652332397407, 420.24173833801285, 876.788484311118, 153.84041475789377, 43.25118023742662, 577.9763952514654]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595427,516.6221696796543,-516.6221696796543,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.5845135707600804,3.410605131648481e-13,0.0,442.0444969870123,0.0,5.743410960499091,126.35504113097977,11.8021278620399,0.0,442.0444969870123,0.5,38.5,0.9545454545454546,83.5,0.0,5.1730133310471506e-14,5.977638139428239e-27,0.968801337276382,0.9202154114468183,0.0015095193610537537,0.3562265954903991,0.0028098219444669297,,4.497420446842795e-10,0.0,3.7272034977839277e-10,2.6705725396208532e-11,0.9999999893264686,1.7477119889759744e-13,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919969813,0.9999999919969813,1.0,1.0,2.1999999895999562,0.8735612209873639,144,1.185757834743727,0.6892012499793788,132,0,0,0.6249999981209973,0.9999999965165067,146,0,0,0.3213660979313103,0.6419760609679102,161,11.89887949906769,0.9874085931226797,145.75,145.0289660598719,0.9165878944449377,5,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,4.0,5
db30,1,reflect,3.164250605318455e-27,325.04026970197566,1516665.3063068257,0.6115384615384616,118.2297401652887,201,smoothed,3.96896446057041e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181324, 110.24645928771977, 239.18054611431268, 54.246459287719745, 191.57979262105317, 372.0275787728024, 286.0821530959066, 337.7150261891861, 232.7440988128665, 275.0927450207706, 248.1560143178497, 6.164306191813068, 380.82625190877314, 41.16263221844562, 278.2717380096219, 328.9605584289774, 293.16902714151985, 479.64800584536056, 348.0960929675058, 63.786364382706985, 142.43176920677135]",21,6.371445076724467,37139.26095084694,0.9528516491367065,3.521571384532826e-05,1.0,22,356.9232557061676,4.748819762573021,876.7884843111178,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.462695926309, 53.83097285847991, 110.24645928771977, 488.07743214619967, 305.9131259543866, 9.917846904093409, 644.3493931333433, 576.9131259543866, 629.2464592877199, 232.7440988128665, 501.24645928771974, 461.410765479533, 166.5797926210531, 4.748819762573021, 474.5118023742673, 88.49763952514661, 490.51652332397424, 420.2417383380126, 876.7884843111178, 153.84041475789374, 43.251180237426674, 577.9763952514654]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595427,516.6221696796546,-516.6221696796546,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.5845135707603077,1.1368683772161603e-13,0.0,442.04449698701205,0.0,5.743410960499091,126.35504113097977,11.802127862039917,0.0,442.04449698701205,0.5,38.5,0.9545454545454546,83.5,0.0,5.449850039855042e-14,5.961215795565212e-27,0.9688392208445901,0.9233170403316444,0.0012652944425476111,0.3435987325557879,0.0025396007298329384,,4.505898147967852e-10,0.0,3.7272034977839277e-10,2.670698706415374e-11,0.9999999893264686,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919967951,0.9999999919967951,1.0,1.0,2.1999999896000784,0.8735612209874124,131,1.1820500332081147,0.6870461544125241,148,0,0,0.6249999981210198,0.9999999965165427,126,0,0,0.31993712698635113,0.6391214812708366,172,20.758532382292028,0.9780332990663576,144.25,142.142339653075,0.9126938982104275,6,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,4.75,6
db35,1,periodic,4.4960087252574636e-27,323.51470696668366,1716213.543576964,0.6259259259259259,101.78808885018785,201,smoothed,4.436915180203464e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181315, 110.24645928771982, 239.1805461143128, 54.2464592877198, 191.5797926210533, 372.0275787728025, 286.08215309590634, 337.7150261891861, 232.74409881286647, 275.09274502077056, 248.1560143178496, 6.164306191813182, 380.82625190877303, 41.16263221844571, 278.2717380096219, 328.9605584289772, 293.16902714152025, 479.64800584536056, 348.0960929675058, 63.78636438270695, 142.4317692067715]",21,6.34620700933788,40231.047439302376,0.9632503870715452,3.5215713845328254e-05,1.0,22,356.9232557061677,4.748819762573078,876.7884843111176,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.4626959263092, 53.83097285847991, 110.24645928771982, 488.07743214619984, 305.9131259543864, 9.917846904093523, 644.349393133343, 576.913125954386, 629.24645928772, 232.74409881286647, 501.2464592877197, 461.41076547953315, 166.57979262105306, 4.748819762573078, 474.5118023742673, 88.49763952514664, 490.5165233239743, 420.241738338013, 876.7884843111176, 153.8404147578937, 43.25118023742654, 577.9763952514654]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595428,516.6221696796546,-516.6221696796546,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.584513570760251,1.1368683772161603e-13,1.1368683772161603e-13,442.04449698701205,0.0,5.743410960498977,126.35504113097795,11.802127862039935,0.0,442.04449698701205,0.5,38.5,0.9545454545454546,83.5,0.0,6.351911807939838e-14,8.892608494511593e-27,0.9631886475210295,0.9138526531227458,0.0019717941484561647,0.4302009283604372,0.0033599926113837882,,4.5037787226865876e-10,6.496458815199713e-15,3.727014429201597e-10,2.6708248732098948e-11,0.9999999893262965,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919967951,0.9999999919967951,1.0,1.0,2.199999989599925,0.8735612209873516,170,1.209249780536966,0.7028555374997707,95,0,0,0.624999998120995,0.9999999965165032,150,0,0,0.33036771653773095,0.659958118479529,105,35.823642100341125,0.9620913840208031,130.0,122.70260492040521,0.9122626232273328,7,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,5.5,7
db15,1,reflect,2.4703041883156765e-27,326.11547407345137,1442826.845461122,0.6304347826086957,122.4793592850135,201,smoothed,3.399823264265057e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181313, 110.24645928771982, 239.18054611431276, 54.24645928771976, 191.57979262105317, 372.02757877280237, 286.08215309590656, 337.7150261891859, 232.74409881286647, 275.0927450207705, 248.1560143178496, 6.164306191813182, 380.826251908773, 41.16263221844564, 278.2717380096219, 328.9605584289771, 293.1690271415201, 479.64800584536056, 348.0960929675059, 63.78636438270702, 142.43176920677138]",21,6.118793242701265,38313.14538716181,0.9485545596281975,3.521571384532826e-05,1.0,22,356.92325570616765,4.748819762573191,876.7884843111176,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.4626959263089, 53.83097285847991, 110.24645928771982, 488.07743214619967, 305.9131259543864, 9.917846904093352, 644.349393133343, 576.9131259543865, 629.2464592877197, 232.74409881286647, 501.24645928771963, 461.410765479533, 166.57979262105306, 4.748819762573191, 474.5118023742672, 88.49763952514664, 490.516523323974, 420.2417383380128, 876.7884843111176, 153.84041475789383, 43.251180237426674, 577.9763952514655]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595426,516.6221696796543,-516.6221696796543,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.584513570760137,1.1368683772161603e-13,5.684341886080802e-14,442.0444969870123,0.0,5.743410960499034,126.35504113097886,11.802127862039917,0.0,442.0444969870123,0.5,38.5,0.9545454545454546,83.5,0.0,4.352724867717924e-14,4.433739124084427e-27,0.9728216995708244,0.8285714819809754,0.001003869678360849,0.45734100522043974,0.002851085777402546,,4.499539872124059e-10,3.2482294075998564e-15,3.7271089634927624e-10,2.670698706415374e-11,0.9999999893263826,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.9999999919969813,0.9999999919969813,1.0,1.0,2.199999989599917,0.8735612209873483,174,1.1825575319713129,0.6873411292983825,146,0,0,0.6249999981209976,0.9999999965165072,144,0,0,0.3232270203182924,0.6456935272204242,139,15.777093099385155,0.983304663386894,150.75,149.61587682975377,0.9118904269315422,8,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,6.25,8
db35,1,reflect,4.9677710946663515e-27,323.08136265875874,1598273.7665528278,0.6259259259259259,105.52102274421793,201,smoothed,4.8372582887847136e-14,,"[7, 19, 30, 36, 46, 57, 67, 77, 85, 93, 103, 114, 125, 133, 139, 146, 156, 163, 174, 183, 194]","[214.16430619181318, 110.24645928771974, 239.18054611431282, 54.246459287719745, 191.5797926210531, 372.0275787728025, 286.08215309590634, 337.7150261891861, 232.74409881286647, 275.09274502077056, 248.1560143178496, 6.164306191813182, 380.82625190877303, 41.16263221844571, 278.2717380096219, 328.9605584289772, 293.16902714152025, 479.6480058453605, 348.0960929675057, 63.78636438270692, 142.43176920677132]",21,6.363738519145764,37655.591191824606,0.9618583798738874,3.521571384532825e-05,0.9999999999999999,22,356.92325570616765,4.748819762573078,876.7884843111176,"[7, 16, 22, 30, 44, 50, 57, 67, 77, 85, 93, 103, 111, 122, 129, 137, 146, 156, 163, 177, 186, 194]","[541.4626959263089, 53.83097285847993, 110.24645928771974, 488.07743214619984, 305.9131259543864, 9.917846904093551, 644.3493931333433, 576.913125954386, 629.24645928772, 232.74409881286647, 501.2464592877197, 461.41076547953315, 166.57979262105306, 4.748819762573078, 474.5118023742673, 88.49763952514661, 490.5165233239743, 420.24173833801296, 876.7884843111176, 153.84041475789377, 43.2511802374266, 577.9763952514653]","[0, 14, 19, 25, 41, 46, 0, 64, 74, 80, 90, 98, 108, 121, 125, 135, 125, 149, 125, 174, 183, 174]","[46, 19, 25, 46, 46, 51, 125, 74, 125, 125, 125, 125, 125, 125, 139, 139, 160, 160, 200, 183, 187, 200]",0.05,30,8166774.220595426,516.6221696796547,-516.6221696796547,DWT,mdp.39015067403850,0.5909090909090909,47.5,31867716.112737924,2.584513570760251,1.1368683772161603e-13,5.684341886080802e-14,442.04449698701194,0.0,5.743410960499034,126.35504113097886,11.802127862039926,0.0,442.04449698701194,0.5,38.5,0.9545454545454546,83.5,0.0,7.12364737157045e-14,9.931025865217164e-27,0.9615835717482467,0.9204270470585746,0.001554228857364807,0.4302009283604372,0.002676606677520123,,4.5037787226865876e-10,3.2482294075998564e-15,3.7271089634927624e-10,2.6707617898126344e-11,0.9999999893263826,5.825706629919915e-14,0.0,0.9999999957661827,1.0,1.0,1.0,1.0,0.999999991996702,0.999999991996702,1.0,1.0,2.1999999895999327,0.8735612209873546,164,1.211091795022122,0.7039261765868184,92,0,0,0.6249999981209893,0.9999999965164938,164,0,0,0.33092034038603074,0.6610620659201961,101,39.14396505209967,0.9585778147596828,130.25,121.33832311489769,0.9103735634644975,9,db,330.7163742690058,303.0,230.93048736584498,342,0.42583751873075154,0.9002650864281295,0.43183421096003505,1,7.0,9
