wavelet,wavelet_level,wavelet_mode,wavelet_mse,wavelet_psnr,wavelet_energy_entropy,wavelet_sparsity,wavelet_adaptive_threshold,signal_length,signal_type,emd_value,kl_divergence,change_point_indices,change_point_prominences,num_change_points,wavelet_entropy,avg_variance_across_levels,variance_ratio_across_levels,smoothness,correlation,fft_frequency_max,fft_amplitude_max,fft_spectral_centroid,fft_spectral_bandwidth,fft_spectral_magnitude,fft_variance_magnitude,fft_num_peaks,fft_peak_amplitude,fft_dominant_frequency,fft_positive_frequencies,fft_positive_amplitudes,fft_snr_threshold,fft_stationarity_threshold,fft_dynamic_cutoff,fft_dynamic_cutoff_percentile,stft_frequency_max,stft_amplitude_max,stft_spectral_centroid,stft_spectral_bandwidth,stft_spectral_magnitude,stft_variance_magnitude,stft_peak_freq_over_time,stft_num_peaks,stft_peak_amplitude,stft_dominant_frequency,stft_positive_frequencies,stft_positive_amplitudes,stft_snr_threshold,stft_stationarity_threshold,stft_window,stft_nperseg,stft_noverlap,stft_dynamic_cutoff,stft_dynamic_cutoff_percentile,relative_num_peaks,avg_prominence,prominence_min,prominence_max,relative_peaks,relative_prominences,relative_left_bases,relative_right_bases,prominence_threshold,distance_factor,max_autocorrelation,upper_envelope,lower_envelope,wavelet_type,htid,stft_amplitude_max_diff,stft_frequency_max_diff,avg_prominence_diff,fft_variance_magnitude_diff,stft_noverlap_diff,prominence_max_diff,stft_spectral_magnitude_diff,upper_envelope_diff,relative_peaks_array_alignment_score,relative_peaks_global_alignment_score,stft_num_peaks_diff,fft_peak_amplitude_diff,relative_left_bases_array_alignment_score,relative_left_bases_global_alignment_score,stft_window_diff,stft_nperseg_diff,prominence_threshold_diff,relative_right_bases_array_alignment_score,relative_right_bases_global_alignment_score,stft_dominant_frequency_diff,relative_num_peaks_diff,max_autocorrelation_diff,stft_variance_magnitude_diff,fft_amplitude_max_diff,fft_dominant_frequency_diff,relative_prominences_avg_diff,relative_prominences_total_diff,relative_prominences_wasserstein,fft_snr_threshold_diff,stft_stationarity_threshold_diff,stft_dynamic_cutoff_percentile_diff,lower_envelope_diff,fft_stationarity_threshold_diff,stft_dynamic_cutoff_diff,fft_frequency_max_diff,fft_num_peaks_diff,fft_dynamic_cutoff_percentile_diff,fft_dynamic_cutoff_diff,prominence_min_diff,fft_spectral_centroid_diff,stft_peak_amplitude_diff,fft_spectral_bandwidth_diff,stft_spectral_bandwidth_diff,fft_spectral_magnitude_diff,distance_factor_diff,stft_snr_threshold_diff,stft_spectral_centroid_diff,wavelet_psnr_normalized,wavelet_entropy_normalized,wavelet_energy_entropy_normalized,wavelet_sparsity_normalized,avg_variance_across_levels_normalized,max_autocorrelation_diff_normalized,reconstruction_signal_weighted_score,reconstruction_signal_normalized_weighted_score,reconstruction_signal_normalized_weighted_rank,wavelet_signal_weighted_score,wavelet_signal_normalized_weighted_score,wavelet_signal_normalized_weighted_rank,reconstruction_signal_num_missing_metrics,reconstruction_signal_missing_metrics_count,reconstruction_signal_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_score,reconstruction_signal_normalized_dynamically_weighted_rank,wavelet_signal_num_missing_metrics,wavelet_signal_missing_metrics_count,wavelet_signal_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_score,wavelet_signal_normalized_dynamically_weighted_rank,rank_variability,normalized_rank_stability,average_rank,harmonic_average_rank,stability_score_weighted,stability_rank,wavelet_family,normalized_family_mean_rank,normalized_family_std_dev,final_family_stability_score,final_family_stability_rank,family_informed_rank,kl_divergence_normalized,across_smoothness_normalized,across_wavelet_psnr_normalized,across_wavelet_entropy_normalized,across_wavelet_energy_entropy_normalized,across_wavelet_sparsity_normalized,across_avg_variance_across_levels_normalized,across_prominence_min_diff_normalized,across_avg_prominence_diff_normalized,across_relative_prominences_avg_diff_normalized,across_relative_prominences_wasserstein_normalized,across_relative_prominences_total_diff_normalized,across_prominence_max_diff_normalized,across_relative_num_peaks_diff_normalized,across_max_autocorrelation_diff_normalized,across_relative_right_bases_global_alignment_score_normalized,across_relative_right_bases_array_alignment_score_normalized,across_relative_left_bases_global_alignment_score_normalized,across_relative_left_bases_array_alignment_score_normalized,across_relative_peaks_array_alignment_score_normalized,across_relative_peaks_global_alignment_score_normalized,across_reconstruction_signal_weighted_score,across_reconstruction_signal_normalized_weighted_score,across_reconstruction_signal_normalized_weighted_rank,across_wavelet_signal_weighted_score,across_wavelet_signal_normalized_weighted_score,across_wavelet_signal_normalized_weighted_rank,across_rank_variability,across_normalized_rank_stability,across_average_rank,across_harmonic_average_rank,across_stability_score_weighted,across_stability_rank,family_mean_stability_rank,family_median_stability_rank,family_rank_std_dev,family_wavelet_count,across_normalized_family_mean_rank,across_normalized_family_std_dev,across_final_family_stability_score,across_final_family_stability_rank,across_family_informed_rank,across_top_wavelet_rank
coif6,1,antireflect,9.368867251886481e-28,332.10802446370343,435690.02347804484,0.7735849056603774,37.39571582643849,72,smoothed,1.0922589992961524e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333334, 13.733333333333352, 30.46666666666669, 10.93333333333316, 6.866666666666667, 54.33333333333331, 20.466666666666534, 31.533333333333353, 18.333333333333307, 6.000000000000005, 64.60000000000004, 3.0666666666666273, 54.600000000000016, 38.13333333333345, 37.799999999999955, 3.9333333333333957, 7.799999999999983, 677.4666666666669]",18,3.7300415960954623,15328.493554717697,0.5484163088894141,1.5964814918359913e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192983,3.0666666666666273,556.3333333333335,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333335, 34.93333333333317, 66.66666666666674, 23.733333333333235, 27.733333333333356, 62.733333333333356, 20.466666666666534, 44.533333333333296, 41.13333333333338, 41.59999999999997, 12.19999999999999, 123.00000000000013, 3.0666666666666273, 70.93333333333328, 38.13333333333345, 29.79999999999997, 62.0, 29.066666666666727, 7.799999999999983]","[5, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888893,677.4666666666669,-677.4666666666669,DWT,uc1.l0063473003,,,30.877443609022535,,,307.5333333333332,,2.2737367544323206e-13,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022535,91.26666666666642,56.38771929824558,,,,2.2737367544323206e-13,,,,,,,2.0666666666666273,,,,,,0.0,,,0.8410619084125673,0.6484576482327822,0.5403512615592767,0.9999999999999999,0.47125945145584686,0.7468136410609715,0.37340682053048574,0.7468136410609715,428,1.6875453805259086,0.9152819933731584,21,0,0,0.7468136410609715,0.7468136410609715,389,0,0,0.7002260539320947,0.9212507047708471,18,225.15624204834592,0.652536663505639,214.0,37.0090246800433,0.661144874962696,236,coif,0.7498563218390805,0.6405016032222469,0.2829500937459696,5,178.25,,0.9999999999960556,0.8533465114751442,0.403884936281491,0.023068600210421397,0.9999999999999998,0.016758470156166966,0.9999999999666846,0.9999999999963454,0.9999999999963454,0.9999999999999999,0.999999999976507,0.9999999999968762,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974451,0.9999999999960457,270,1.4321880631923258,0.7794800860636257,255,10.606601717798213,0.9918158937362668,262.5,262.2857142857143,0.8946347987199852,1,534.324074074074,554.0,358.43600632466564,108,0.646620501098113,0.9211456854169581,0.2710219436062335,2,1.25,1
coif6,1,periodic,1.2328800308458274e-27,330.9156871351422,436229.44286617247,0.7641509433962265,38.110632273624155,72,smoothed,1.3026616822268503e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333334, 13.73333333333335, 30.46666666666669, 10.93333333333317, 6.866666666666664, 54.333333333333314, 20.466666666666523, 31.533333333333353, 18.333333333333307, 6.000000000000005, 64.60000000000004, 3.0666666666666273, 54.600000000000016, 38.13333333333345, 37.799999999999955, 3.933333333333394, 7.799999999999912, 677.4666666666669]",18,3.7255700317873393,14855.565295591716,0.5666426524076679,1.5964814918359913e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192983,3.0666666666666273,556.3333333333334,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333334, 34.93333333333318, 66.66666666666674, 23.733333333333235, 27.733333333333352, 62.73333333333335, 20.466666666666523, 44.533333333333296, 41.13333333333338, 41.59999999999997, 12.19999999999999, 123.00000000000014, 3.0666666666666273, 70.93333333333328, 38.13333333333345, 29.79999999999997, 62.0, 29.06666666666675, 7.799999999999912]","[3, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888893,677.4666666666669,-677.4666666666669,DWT,uc1.l0063473003,,,30.877443609022535,,,307.5333333333333,,2.2737367544323206e-13,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022535,91.26666666666642,56.38771929824558,,,,2.2737367544323206e-13,,,,,,,2.0666666666666273,,,,,,0.0,,,0.8295503317697439,0.6463658158949125,0.5416926577100754,0.9618473895582329,0.4418739074563837,0.7468136410609715,0.37340682053048574,0.7468136410609715,333,1.653247954670187,0.8966799358124841,24,0,0,0.7468136410609715,0.7468136410609715,386,0,0,0.6842660204778698,0.900252925574678,22,195.48124377204752,0.6983314139320254,191.25,43.143016791738575,0.7015962625215683,115,coif,0.7498563218390805,0.6405016032222469,0.2829500937459696,5,87.5,,0.9999999999960556,0.8427246847234204,0.40258206080027104,0.02312586690660212,0.9618473895582329,0.01571349002767003,0.9999999999666846,0.9999999999963454,0.9999999999963454,0.9999999999999999,0.999999999976507,0.9999999999968765,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974451,0.9999999999960457,283,1.4095131265206666,0.7671390660240398,308,17.67766952966369,0.986359822893778,295.5,294.97123519458546,0.8791752818172593,2,534.324074074074,554.0,358.43600632466564,108,0.646620501098113,0.9211456854169581,0.2710219436062335,2,2.0,2
coif5,1,reflect,6.001259336468847e-28,334.04247137183836,439120.7811455635,0.75,37.454602814099495,72,smoothed,9.893320730548611e-15,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333336, 13.733333333333347, 30.46666666666669, 10.933333333333167, 6.866666666666671, 54.33333333333334, 20.46666666666653, 31.533333333333367, 18.333333333333314, 6.0000000000000036, 64.60000000000005, 3.066666666666613, 54.60000000000001, 38.13333333333346, 37.79999999999996, 3.933333333333394, 7.799999999999812, 677.4666666666667]",18,3.694206704227303,15744.05464069348,0.5631143323213794,1.596481491835992e-05,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192982,3.066666666666613,556.3333333333335,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333335, 34.93333333333317, 66.66666666666674, 23.733333333333242, 27.73333333333335, 62.733333333333334, 20.46666666666653, 44.53333333333332, 41.133333333333375, 41.599999999999966, 12.199999999999998, 123.00000000000017, 3.066666666666613, 70.93333333333328, 38.13333333333346, 29.79999999999998, 62.00000000000001, 29.066666666666723, 7.799999999999812]","[4, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888891,677.4666666666667,-677.4666666666667,DWT,uc1.l0063473003,,,30.87744360902255,,,307.5333333333332,,0.0,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.87744360902255,91.26666666666665,56.387719298245564,,,,0.0,,,,,,,2.066666666666613,,,,,,0.0,,,0.8597382790260238,0.6316938088985905,0.5488826663081983,0.904618473895582,0.49708046836647535,0.7468136410609715,0.37340682053048574,0.7468136410609715,339,1.6668107819238316,0.9040360707690581,22,0,0,0.7468136410609715,0.7468136410609715,388,0,0,0.688402739298974,0.9056953896303651,21,198.4649423281939,0.6937269408515526,192.5,40.56763650018776,0.6983295198084924,122,coif,0.7498563218390805,0.6405016032222469,0.2829500937459696,5,92.75,,0.999999999996056,0.8705793527411397,0.3934437575865138,0.02343282174442546,0.904618473895582,0.017676692040018552,0.9999999999666778,0.9999999999963458,0.9999999999963458,0.9999999999999996,0.9999999999765095,0.9999999999968762,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.0999999999744503,0.9999999999960455,305,1.3997039676832106,0.7618003509688472,333,19.79898987322333,0.9847230016410313,319.0,318.3855799373041,0.8692905131661947,3,534.324074074074,554.0,358.43600632466564,108,0.646620501098113,0.9211456854169581,0.2710219436062335,2,2.75,3
db18,1,periodic,4.694927590225775e-28,335.1086063327724,302940.3687810327,0.6886792452830188,63.55514603533464,72,smoothed,1.2644206669342056e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333333, 13.733333333333379, 30.46666666666669, 10.93333333333316, 6.866666666666678, 54.3333333333333, 20.46666666666655, 31.533333333333367, 18.333333333333325, 6.000000000000007, 64.60000000000002, 3.0666666666666202, 54.60000000000002, 38.133333333333454, 37.79999999999994, 3.9333333333333824, 7.800000000000026, 677.4666666666667]",18,4.407015023057796,12337.134237950684,0.595070651188693,1.5964814918359923e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192982,3.0666666666666202,556.3333333333333,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333333, 34.93333333333315, 66.66666666666676, 23.733333333333242, 27.73333333333334, 62.73333333333335, 20.46666666666655, 44.53333333333331, 41.13333333333338, 41.59999999999996, 12.199999999999989, 123.0000000000001, 3.0666666666666202, 70.93333333333328, 38.133333333333454, 29.79999999999996, 62.000000000000014, 29.066666666666727, 7.800000000000026]","[5, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888888,677.4666666666667,-677.4666666666667,DWT,uc1.l0063473003,,,30.87744360902255,,,307.5333333333334,,0.0,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.87744360902255,91.26666666666665,56.38771929824558,,,,0.0,,,,,,,2.0666666666666202,,,,,,0.0,,,0.870031418408983,0.9651510487561281,0.21023729133564212,0.6566265060240961,0.28539041291813283,0.7468136410609715,0.37340682053048574,0.7468136410609715,184,1.4865197886681665,0.8062507894968912,53,0,0,0.7468136410609715,0.7468136410609715,424,0,0,0.5974873354885964,0.7860827597310515,58,173.74766185477145,0.7318708921994268,179.75,91.11082474226805,0.7272394584453924,85,db,0.6133868135376757,0.6061585471677683,0.38878166637329653,2,64.25,,0.9999999999960563,0.8800769173797157,0.6011340461342661,0.008975420931097045,0.656626506024096,0.010148776227128467,0.9999999999666812,0.9999999999963458,0.9999999999963458,0.9999999999999999,0.9999999999765095,0.9999999999968769,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974452,0.999999999996046,207,1.3998109968598178,0.7618586024750127,332,88.38834764831844,0.9317991144688901,269.5,255.00556586270872,0.8619257918023462,4,509.21604938271605,546.5,333.80823027945394,324,0.6162356386236983,0.8578546955466115,0.31127864429942764,1,3.25,4
db18,1,antisymmetric,4.47122526338758e-28,335.32062981343597,301670.8808261734,0.660377358490566,58.31675136519465,72,smoothed,1.230497185626215e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333336, 13.733333333333357, 30.4666666666667, 10.933333333333172, 6.866666666666678, 54.3333333333333, 20.46666666666655, 31.533333333333367, 18.333333333333325, 6.000000000000007, 64.60000000000002, 3.0666666666666202, 54.600000000000016, 38.133333333333454, 37.79999999999994, 3.9333333333333877, 7.800000000000026, 677.4666666666667]",18,4.429581594695265,12373.030331009268,0.5381180205141838,1.5964814918359916e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192983,3.0666666666666202,556.3333333333335,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333335, 34.933333333333174, 66.66666666666676, 23.73333333333325, 27.733333333333334, 62.73333333333335, 20.46666666666655, 44.53333333333331, 41.13333333333338, 41.59999999999996, 12.199999999999989, 123.0000000000001, 3.0666666666666202, 70.93333333333328, 38.133333333333454, 29.79999999999996, 62.00000000000001, 29.066666666666727, 7.800000000000026]","[5, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888892,677.4666666666667,-677.4666666666667,DWT,uc1.l0063473003,,,30.877443609022535,,,307.5333333333332,,0.0,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022535,91.26666666666642,56.38771929824557,,,,0.0,,,,,,,2.0666666666666202,,,,,,0.0,,,0.8720784268262084,0.9757078653539255,0.20708040396078475,0.5421686746987949,0.2876208277889449,0.7468136410609715,0.37340682053048574,0.7468136410609715,180,1.4465569917481758,0.7845759777568379,57,0,0,0.7468136410609715,0.7468136410609715,422,0,0,0.5769312397257317,0.7590381823370309,60,171.3600011671335,0.7355555537544236,179.75,94.93126356640137,0.7290817892228908,80,db,0.6133868135376757,0.6061585471677683,0.38878166637329653,2,60.5,,0.9999999999960558,0.8819657089363999,0.6077092468594896,0.008840647538415847,0.5421686746987949,0.01022809207094423,0.9999999999666812,0.9999999999963454,0.9999999999963454,0.9999999999999998,0.999999999976507,0.9999999999968762,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.0999999999744503,0.9999999999960455,328,1.358413079267505,0.7393274466882621,438,77.78174593052023,0.9399832207326233,383.0,375.1018276762402,0.8222292646872993,5,509.21604938271605,546.5,333.80823027945394,324,0.6162356386236983,0.8578546955466115,0.31127864429942764,1,4.0,5
coif6,1,reflect,1.0725221390567339e-27,331.5208326613777,436012.81659521785,0.7264150943396226,36.354650573068014,72,smoothed,1.231113976195451e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333336, 13.733333333333345, 30.466666666666697, 10.93333333333317, 6.86666666666666, 54.33333333333331, 20.46666666666653, 31.533333333333353, 18.333333333333307, 6.000000000000005, 64.60000000000005, 3.0666666666666273, 54.600000000000016, 38.13333333333345, 37.799999999999955, 3.933333333333394, 7.799999999999997, 677.4666666666669]",18,3.7272801365507844,14921.487202618293,0.563142811372897,1.596481491835991e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192983,3.0666666666666273,556.3333333333335,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333335, 34.93333333333318, 66.66666666666676, 23.733333333333235, 27.73333333333336, 62.73333333333335, 20.46666666666653, 44.533333333333296, 41.13333333333338, 41.59999999999997, 12.19999999999999, 123.00000000000014, 3.0666666666666273, 70.93333333333328, 38.13333333333345, 29.79999999999997, 62.00000000000001, 29.066666666666748, 7.799999999999997]","[2, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888894,677.4666666666669,-677.4666666666669,DWT,uc1.l0063473003,,,30.877443609022535,,,307.5333333333332,,2.2737367544323206e-13,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022535,91.26666666666642,56.38771929824557,,,,2.2737367544323206e-13,,,,,,,2.0666666666666273,,,,,,0.0,,,0.8353927883786699,0.6471658161182843,0.5411539643438079,0.8092369477911643,0.445969985586792,0.7468136410609715,0.37340682053048574,0.7468136410609715,426,1.5974783366094305,0.8664319035062944,36,0,0,0.7468136410609715,0.7468136410609715,391,0,0,0.6557839004437438,0.8627804936257933,33,216.40471344219839,0.6660421088854963,221.5,63.506407192114665,0.6621105606155877,232,coif,0.7498563218390805,0.6405016032222469,0.2829500937459696,5,175.25,,0.9999999999960554,0.8481155676432821,0.4030803324146506,0.023102869085024735,0.8092369477911643,0.01585915077334571,0.9999999999666846,0.9999999999963454,0.9999999999963454,0.9999999999999998,0.999999999976507,0.9999999999968762,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974451,0.9999999999960457,279,1.3519993807604274,0.7358367387339313,445,117.37972567696688,0.9094292240146861,362.0,342.9696132596685,0.8150541181801825,6,534.324074074074,554.0,358.43600632466564,108,0.646620501098113,0.9211456854169581,0.2710219436062335,2,5.0,6
coif5,1,periodic,3.7955165942592073e-28,336.032186372847,439901.79290935653,0.72,36.63625788377158,72,smoothed,8.511709855459532e-15,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333334, 13.733333333333348, 30.466666666666704, 10.933333333333167, 6.866666666666671, 54.33333333333334, 20.46666666666653, 31.533333333333367, 18.333333333333314, 6.0000000000000036, 64.60000000000005, 3.066666666666613, 54.60000000000001, 38.13333333333346, 37.79999999999996, 3.933333333333394, 7.799999999999841, 677.4666666666667]",18,3.6860005868153314,15662.274296175858,0.566761822508783,1.5964814918359923e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.2035087719298,3.066666666666613,556.3333333333334,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333334, 34.93333333333317, 66.66666666666676, 23.733333333333235, 27.73333333333335, 62.733333333333334, 20.46666666666653, 44.53333333333332, 41.133333333333375, 41.599999999999966, 12.199999999999998, 123.00000000000017, 3.066666666666613, 70.93333333333328, 38.13333333333346, 29.799999999999976, 62.0, 29.066666666666713, 7.799999999999841]","[2, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.968888889,677.4666666666667,-677.4666666666667,DWT,uc1.l0063473003,,,30.877443609022563,,,307.5333333333333,,0.0,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022563,91.26666666666688,56.38771929824557,,,,0.0,,,,,,,2.066666666666613,,,,,,0.0,,,0.8789482426687164,0.6278549237595499,0.5508248400541529,0.7832931726907628,0.4919990213060794,0.7468136410609715,0.37340682053048574,0.7468136410609715,342,1.626825705106818,0.8823491749755656,30,0,0,0.7468136410609715,0.7468136410609715,380,0,0,0.6665840400958523,0.8769896710910656,29,192.01974724838416,0.7036732295549627,195.25,54.516971279373365,0.7011807505799506,117,coif,0.7498563218390805,0.6405016032222469,0.2829500937459696,5,89.0,,0.9999999999960563,0.8883045446979511,0.3910527488845595,0.0235157367533686,0.7832931726907628,0.01749599056305355,0.9999999999666778,0.9999999999963463,0.9999999999963463,0.9999999999999998,0.999999999976512,0.9999999999968765,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974452,0.999999999996046,205,1.360582634938078,0.7405082451352543,433,161.22034611053283,0.8756015847912555,319.0,278.26018808777434,0.8147298047413067,7,534.324074074074,554.0,358.43600632466564,108,0.646620501098113,0.9211456854169581,0.2710219436062335,2,5.75,7
db15,1,periodic,8.326125553567592e-28,332.620465762848,287230.0604839583,0.67,43.22149741871008,72,smoothed,1.437738816889577e-14,,"[6, 11, 13, 19, 22, 26, 29, 33, 36, 39, 42, 44, 48, 51, 54, 57, 63, 65]","[556.1333333333333, 13.733333333333334, 30.466666666666697, 10.933333333333175, 6.866666666666681, 54.333333333333314, 20.466666666666523, 31.53333333333336, 18.33333333333332, 6.000000000000007, 64.60000000000002, 3.0666666666665705, 54.60000000000002, 38.133333333333425, 37.79999999999993, 3.9333333333333744, 7.799999999999912, 677.4666666666666]",18,4.258851155098285,11886.39472471696,0.6184140807292603,1.596481491835993e-05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68.20350877192979,3.0666666666665705,556.3333333333333,"[6, 11, 14, 16, 21, 25, 28, 32, 35, 37, 39, 42, 44, 48, 51, 53, 55, 61, 64]","[556.3333333333333, 34.93333333333315, 66.66666666666674, 23.733333333333235, 27.733333333333356, 62.73333333333335, 20.466666666666523, 44.5333333333333, 41.133333333333404, 41.599999999999966, 12.19999999999999, 123.00000000000011, 3.0666666666665705, 70.93333333333328, 38.133333333333425, 29.79999999999995, 61.999999999999986, 29.0666666666667, 7.799999999999912]","[5, 9, 13, 15, 19, 22, 26, 26, 26, 26, 38, 26, 43, 46, 50, 52, 54, 57, 63]","[65, 13, 26, 22, 22, 26, 29, 33, 36, 40, 40, 65, 65, 65, 65, 65, 65, 65, 65]",0.05,30,831746.9688888887,677.4666666666666,-677.4666666666666,DWT,uc1.l0063473003,,,30.877443609022578,,,307.5333333333334,,1.1368683772161603e-13,0.0,-12.0,,,0.0,-12.0,,,0.0,0.0,-12.0,,5.0,25958322.826666668,,,,30.877443609022578,91.2666666666671,56.38771929824557,,,,1.1368683772161603e-13,,,,,,,2.0666666666665705,,,,,,0.0,,,0.8460093399394905,0.8958388463712621,0.17116982816806173,0.5810843373493977,0.2573835735237082,0.7468136410609715,0.37340682053048574,0.7468136410609715,432,1.3764971055825987,0.7465772649488054,74,0,0,0.7468136410609715,0.7468136410609715,372,0,0,0.5502971850703842,0.7239971531088845,74,190.94850963894254,0.7053263740139776,238.0,124.88286812425177,0.6690212116983467,204,db,0.6133868135376757,0.6061585471677683,0.38878166637329653,2,153.5,,0.9999999999960569,0.8579115473668831,0.557963679464935,0.007307558277371284,0.5810843373493977,0.009152824250547267,0.9999999999666571,0.9999999999963467,0.9999999999963467,0.9999999999999998,0.9999999999765146,0.9999999999968769,1.0,0.9999999999998945,0.0,0.0,0.0,0.0,0.0,0.0,3.099999999974448,0.9999999999960447,484,1.333477411930078,0.7257560054636321,473,7.7781745930520225,0.9939983220732623,478.5,478.4367816091954,0.8123926795551497,8,509.21604938271605,546.5,333.80823027945394,324,0.6162356386236983,0.8578546955466115,0.31127864429942764,1,6.25,8
